,ten_san_pham,thanh_phan_hoat_chat,dang_bao_che,dang_dong_goi,khoi_luong_the_tich,cong_dung,han_dung,so_dang_ky
250,NUTRIVIT,"A, B1, D3, E, PP,
Vitamin C",Thuốc bột uống,"Gói, Hộp","100g, 500g,
1kg, 5kg, 10kg","Tăng cường sức đề kháng, tăng khả năng chịu đựng stress trên tôm, cá",24 tháng,BD.TS6-21
251,ANCLEAN,Praziquantel,Thuốc bột uống,"Gói, Hộp","100g, 500g,
1kg, 5kg, 10kg",Trị ký sinh trùng trên cá,36 tháng,BD.TS6-22
252,COTRIM-S,"Sulfamethoxazol, Trimethoprim",Thuốc bột uống,"Gói, Hộp","50g, 100g,
250g, 500g,
1kg, 5kg, 10kg","Trị nhiễm khuẩn do Vibrio spp trên cá, tôm",36 tháng,BD.TS6-23
253,FLOR-WS,Florfenicol,Thuốc bột uống,"Gói, Hộp","50g, 100g,
250g, 500g,
1kg, 5kg, 10kg","Trị nhiễm khuẩn đường tiêu hóa do vi khuẩn
Edwardsiella ictaluri trên tôm, cá",36 tháng,BD.TS6-24
254,TETRA-LIUM,Oxytetracycline HCL,Thuốc bột uống,"Gói, Lon","50g,100g,250g,
500g, 1kg, 5kg, 10kg","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm; trị đốm đỏ, hậu môn sưng đỏ, xuất huyết trên cá nuôi nước ngọt.",36 tháng,BD.TS6-25
255,OXYLIN,Oxytetracycline,Dạng bột,"Gói, Hộp","100, 500g; 1 kg","Trị bệnh đốm đỏ, xuất huyết trên thân, hậu môn sưng đỏ do vi khuẩn Aeromonas hydrophyla và Pseudomonas fluorescens trên cá. Trị bệnh do vi khuẩn Vibrio gây ra trên tôm",36 tháng,BD.TS6-26
256,SULTRIM,"Sulfadimidine, Trimethoprim",Dạng bột,"Gói , Hộp","100, 500g; 1 kg","Trị bệnh đốm đỏ, xuất huyết trên thân, hậu môn sưng đỏ do vi khuẩn Aeromonas hydrophyla và Pseudomonas fluorescens trên cá. Trị bệnh do vi khuẩn Vibrio gây ra trên tôm.",36 tháng,BD.TS6-27
257,PRAZIL,Praziquantel,Dạng bột,"Gói, Hộp, Bao","10, 50, 100,
250, 500g; 1,
5, 10 kg","Trị ngoại ký sinh trùng: sán lá đơn chủ. Trị nội ký sinh trùng: sán lá gan, sán dây trên cá",36 tháng,BD.TS6-28
258,MULTI VITA - GOLD,"B2, B5, B6, C,
D3, E, Methionine, Niacin, Vitamin A",Dạng bột,"Gói, Hộp, Bao","100g, 250g, 500g; 1 kg, 2
kg, 5 kg, 10
kg, 20 kg","Cung cấp acid amin và vitamin cần thiết giúp tăng sức kháng bệnh, chống stress do môi trường thay đổi; tăng hiệu quả tiêu hóa và hấp thu thức ăn trên tôm, cá.",24 tháng,BD.TS6-29
259,B.K.C,Benzalkonium chloride,Dung dịch dùng ngoài,"Chai, Can","60ml, 120ml, 250ml, 500ml, 1 lít, 2 lít, 5lít","Khử trùng nguồn nước, cải thiện môi trường nước nuôi, sát trùng bể ương và vệ sinh dụng cụ nuôi trồng thủy sản.",24 tháng,BD.TS6-3
260,ANTRIM,"Sulfadimidine, Trimethoprim",Dung dịch,"Chai, Can","60, 120, 250,
500ml; 1, 2, 5
lít","Trị bệnh đốm đỏ, xuất huyết trên thân, hậu môn sưng đỏ do vi khuẩn Aeromonas hydrophyla và Pseudomonas fluorescens trên cá. Trị bệnh do vi khuẩn Vibrio gây ra trên tôm.",36 tháng,BD.TS6-30
261,HEPA - PRO,"Betaine, Lysine, Methionine, Sorbitol",Dung dịch,"Chai, Can","60, 120, 250,
500ml; 1, 2, 5
lít","Tăng cường chức năng gan, tăng khả năng hấp thu các chất dinh dưỡng, tăng hiệu quả sử dụng thức ăn trên tôm, cá.",24 tháng,BD.TS6-31
262,VIT NERAL,"B1, B2, B6, D3,
E, Methionine, Niacin, Vitamin A, Zn",Dạng bột,"Gói, Hộp, Bao","100g, 250g, 500g; 1 kg, 2
kg, 5 kg, 10
kg, 20 kg","Cung cấp vitamin, khoáng và acid amin cần thiết giúp tăng sức kháng bệnh, chống stress do môi trường thay đổi;
tăng hiệu quả tiêu hóa và hấp thu thức ăn trên tôm, cá",24 tháng,BD.TS6-32
263,AQUAKON,"Organic acid (Malic acid) , Peroxygen (Potassium monopersulfate triple salt)",Thuốc bột sát trùng,"Gói, Hộp Nhựa","5, 10, 20, 50,
100, 250,
500g, 1kg, 2kg, 5kg, 10,
20, 25kg","Diệt virus, vi khuẩn, nấm trong môi trường nước ao nuôi",24 tháng,BD.TS6-33
264,BROPOL,Bronopol,Dung dịch,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2,
5lít","Trị nấm thủy mi ( Saprolegnia spp) trên cá, nguyên sinh động vật đặc biệt trên trứng cá và cá giống.",24 tháng,BD.TS6-34
265,LEVA,Levamisole,Dạng bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg",Trị nội kí sinh trùng trên cá nuôi,36 tháng,BD.TS6-35
266,AQUADOX,Doxycycline,Dạng bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg",Trị bệnh đỏ thân trên tôm hùm gây ra do vi khuẩn Vibrio alginolyticus,36 tháng,BD.TS6-36
267,FLOFE 400,Flofenicol,Dung dịch,"Chai, Can, Xô, Phuy","20,50,100,200,
250,500ml;1,2,
5,10,20,30,50,
100, 200lít.",Trị bệnh xuất huyết đường ruột do vi khuẩn Edwardsiella ictaluri gây ra trên cá tra và cá ba sa.,36 tháng,BD.TS6-37
268,FENBEN,Fenbendazol,Thuốc bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg","Trị nội ký sinh trùng trên cá như giun tròn
đường ruột, trong ống mật, giun đầu gai, sán
lá, sán dây",36 tháng,BD.TS6-38
269,PRAZI 100,Praziquantel,Thuốc bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg","Trị ngoại ký sinh trùng: sán lá đơn chủ, rận cá; ký sinh trùng: sán lá gan, sán dây trên tôm, cá",36 tháng,BD.TS6-39
270,EXTRADIN,Povidon Iodine,Dung dịch dùng ngoài,"Chai, Can","60ml, 120ml, 250ml, 500ml, 1 lít, 2 lít, 5lít","Khử trùng nguồn nước, sát trùng bể ương và vệ sinh dụng cụ nuôi trồng thủy sản.",24 tháng,BD.TS6-4
271,CEFOTRIM-S,"Sulfamethoxazole, Trimethoprim",Thuốc bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm; nhiễm khuẩn do Aeromonas, Pseudomonas, (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nuôi nước ngọt; Ngừng sử dụng 4 tuần trước thu hoạch",36 tháng,BD.TS6-40
272,GLUTA FORT,"Benzalkonium chloride, Glutaraldehyde",Dung dịch sát trùng,"Chai, Can, Xô, Phuy","20,50,100,200,
250,500ml;1,2,
5,10,20,30,50,
100, 200lít.","Diệt vi khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi. Sát trùng dụng cụ dùng trong nuôi trồng thủy sản.",24 tháng,BD.TS6-41
273,SEKOX 90,Povidone Iodine,Dung dịch sát trùng,"Chai, Can, Xô, Phuy","20,50,100,200,
250,500ml;1,2,
5,10,20,30,50,
100, 200lít.","Sát trùng, diệt khuẩn, xử lý nước, dụng cụ chăn nuôi, dọn tẩy ao nuôi tôm, cá.",24 tháng,BD.TS6-43
274,BENKON,Benzalkonium chloride,Dung dịch sát trùng,"Chai, Can, Xô, Phuy","20,50,100,200,
250,500ml;1,2,
5,10,20,30,50,
100, 200lít.","Diệt vi khuẩn, nguyên sinh động vật, nấm trong nước ao nuôi, Sát trùng dụng cụ, bể ương",24 tháng,BD.TS6-44
275,TRIFAXIM,"Sulfadiazine, Trimethoprim",Hỗn dịch uống,"Chai, Can, Xô, Phuy","20,50,100,200,
250,500ml;1,2,
5,10,20,30,50,
100, 200lít.","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị nhiễm khuẩn do Aeromonas, Pseudomonas như đốm đỏ, hậu môn sưng đỏ, xuất huyết,... trên cá nuôi nước ngọt, ngừng sử dụng 4 tuần trước khi thu hoạch.",36 tháng,BD.TS6-45
276,GLUCANMOS,Beta-glucan,Thuốc bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg","Giải độc gan, giúp gan cá khỏe mạnh, ngăn ngừa các bệnh về gan.",24 tháng,BD.TS6-46
277,AQUA BACI 888,"Bacillus subtilis, Saccharomyces cerevisiae",Thuốc bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg","Cung cấp vi sinh vật có lợi vào đường ruột cho tôm, cá, giúp ổn định đường ruột, tiêu hóa tốt thức ăn, ngăn ngừa các bệnh về đường ruột, rối loạn tiêu hóa.",24 tháng,BD.TS6-47
278,HEPA POWDER,"Lysine, Methionine, Sorbitol, Vitamin C",Thuốc bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg","Trị các bệnh do thiếu acid amin gây ra trên
tôm, cá. Tăng đề kháng, chống stress",24 tháng,BD.TS6-48
279,GOLDMINE C,"C, D3, E, Vitamin A",Thuốc bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg","Trị các bệnh thiếu vitamin ở tôm, cá. Phòng chống stress cho tôm, cá",24 tháng,BD.TS6-49
280,AMOX,Amoxicillin trihydrate,Thuốc bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg",Trị xuất huyết do vi khẩn Aeromonas hydrophila gây trên cá,36 tháng,BD.TS6-50
281,LACZYME LIQUID,"Amylase, Cellulase, Protease",Dung dịch,"Chai, Can, Xô, Phuy","20,50,100,200,
250,500ml;1,2,
5,10,20,30,50,
100, 200lít.","Cung cấp vi sinh vật đường ruột, nâng cao khả năng hấp thụ thức ăn, Ổn định đường ruột giúp hạn chế mắc các bệnh về đường ruột cho tôm, cá",24 tháng,BD.TS6-51
282,AQUANER,"acid citric, B1, B2, B3, B5, B6,
Cl, D3, Folic acid, Inositol, K3, Mn, Na, vitamin A, Zn",Thuốc bột,"Gói, Lon, Hộp, Xô","20,50,100,200,
500g;
1,2,5,10,20,
25kg","Cung cấp vitamin, khoáng, chất điện giải cần thiết cho tôm cá. Tăng sức đề kháng cho tôm cá, và hạn chế bệnh gù lưng, dị hình trên cá.",24 tháng,BD.TS6-52
283,AQUAMINE,"Beta glucan, D3, E, Lysine, Methionine, Sorbitol, Vitamin A",Dung dịch,"Chai, Can, Xô, Phuy","20,50,100,200,
250,500ml;1,2,
5,10,20,30,50,
100, 200lít.","Cung cấp vitamin và acid amin cần thiết cho tôm, cá. Tăng cường khả năng miễn dịch, tăng sức đề kháng và hồi phục bệnh nhanh",24 tháng,BD.TS6-53
284,BACILAC-LQ,"Bacillus subtilis, Lactobacillus acidophilus",Dung dịch,"Chai, Can, Xô, Phuy","20,50,100,200,
250,500ml;1,2,
5,10,20,30,50,
100, 200lít.","Cung cấp vi sinh vật có lợi vào thức ăn, phòng trị bệnh về đường tiêu hóa ở tôm cá",24 tháng,BD.TS6-54
285,GLU-BENCO,"Alkyl dimethyl benzyl ammonium chloride, Glutaraldehyde",Dung dịch sát trùng,"Chai, Can, Xô, Phuy","20,50,100,200,
250,
500ml;1,2,5,10
,20,30,50,100,
200lít.","Diệt khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi.
Sát trùng dụng cụ nuôi trồng thủy sản",24 tháng,BD.TS6-55
286,WOR-F FS,Ivermectin,Dung dịch,"Chai, Can, Xô, Phuy","20, 50, 100,
200, 250,
500ml; 1, 2, 5,
10, 20, 30, 50,
100, 200lít.","Trị nội, ngoại kí sinh trùng như sán lá mang, trùng bánh xe, rận cá, giun sán bám trên cá",36 tháng,BD.TS6-56
287,FENBEN SUS FS,Fenbendazole,Hỗn dịch uống,"Chai, Can, Xô, Phuy","20, 50, 100,
200, 250,
500ml; 1, 2, 5,
10, 20, 30, 50,
100, 200lít.","Trị nội ký sinh trùng ở cá như giun tròn đường ruột, trong ống mật, giun đầu gai, sán lá, sán dây",36 tháng,BD.TS6-57
288,ANTHOMET,"Ormetoprim , Sulfadimethoxine , Vitamin C, Vitamin E",Thuốc bột,"Gói, Lon, Hộp, Xô, Bao","5, 10, 20, 50,
100, 200, 250,
500g; 1, 2, 5,
10, 15, 20,
25kg","Trị nhiễm khuẩn Pseudomonas sp, Aeromonas sp gây lở loét, đốm đỏ, xuất huyết, nhiễm khuẩn máu, đốm trắng trên gan thận, tuột nhớt trên cá. Trị bệnh phát sáng do vi khuẩn Vibrio gây ra trên tôm.",24 tháng,BD.TS6-58
289,SULFORIM,"Ormetoprim , Sulfadimethoxine",Thuốc bột,"Gói, Lon, Hộp, Xô, Bao","5, 10, 20, 50,
100, 200, 250,
500g; 1, 2, 5,
10, 15, 20,
25kg","Trị nhiễm khuẩn Pseudomonas sp, Aeromonas sp gây lở loét, đốm đỏ, xuất huyết, nhiễm khuẩn máu, đốm trắng trên gan thận, tuột nhớt trên cá.",36 tháng,BD.TS6-59
290,BENCID,"Alkyl Dimethyl Benzyl Ammonium Chloride, Glutaraldehyde",Dung dịch dùng ngoài,"Chai, Can","60ml, 120ml, 250ml, 500ml, 1 lít, 2 lít, 5lít","Diệt các loại vi khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi. Sát trùng dụng cụ dùng trong nuôi trồng thủy sản.",24 tháng,BD.TS6-6
291,ERY AQUA,Erythromycine,Thuốc bột,"Gói, Lon, Hộp, Xô, Bao","5, 10, 20, 50,
100, 200, 250,
500g; 1, 2, 5,
10, 15, 20,
25kg","Trị gan thận có mủ, xuất huyết, phù đầu, đốm đỏ, trắng gan, trắng mang trên cá tra, cá basa.",36 tháng,BD.TS6-60
292,FOMYCIN,Fosfomycin sodium,Dung dịch,"Chai, Can, Xô, Phuy","20, 50, 100,
200, 250,
500ml; 1, 2, 5,
10, 20, 30, 50,
100, 200lít.","Trị gan thận mủ, xuất huyết trên cá tra, cá basa.",36 tháng,BD.TS6-61
293,FLOR-AQUA,Florfenicol,Dung dịch,"Chai, Can","60ml, 120ml, 250ml, 500ml, 1 lít, 2 lít, 5lít","Trị nhiễm trùng đường ruột trên cá da trơn (cá tra, cá basa) do vi khuẩn Edwardsiella gây ra với các dấu hiệu như gan, thận, lách có mủ đốm đỏ.",36 tháng,BD.TS6-8
294,DOXYL,Doxycycline,Thuốc bột trộn thức ăn,"Gói, Hộp","100g, 250g,
500g, 1kg, 2kg, 5kg, 10kg, 20kg",Trị bệnh đỏ thân trên tôm hùm gây ra bởi vi khuẩn Vibrio alginolyticus.,36 tháng,BD.TS6-9
295,AQUAFLORSOL,Florfenicol,Thuốc bột uống,Túi,"10; 20; 50;
100; 200;
500g; 1; 5; 10;
20 kg","Trị bệnh nhiễm trùng huyết, đường ruột do vi khuẩn",36 tháng,"HCM.TS83
-1"
296,AQUA BRONOPOL 50,Bronopol,Dung dịch uống,Chai,"5; 10; 20; 50;
100; 200; 250;
500ml; 1; 5;
10, 20 lít","Trị các bệnh do nấm gây ra trên tôm, cá và trứng cá",24 tháng,"HCM.TS83
-10"
297,C.P.S 50,Praziquantel,Dung dịch uống,Chai,"5; 10; 20; 50;
100; 200; 250;
500ml; 1; 5;
10, 20 lít","Điều trị nội ngoại kí sinh trùng, trên cá",24 tháng,"HCM.TS83
-11"
298,AQUA DEWORM,Praziquantel,Thuốc bột uống,Túi,"10; 20; 50;
100; 200;
500g; 1; 5; 10;
20 kg",Trị nội ngoại ký sinh trùng trên cá,36 tháng,"HCM.TS83
-2"
299,AQUA TETRASOL,Oxytetracycline,Thuốc bột uống,Túi,"10; 20; 50;
100; 200;
500g; 1; 5; 10;
20 kg","Trị lở loét, đốm đỏ, xuất huyết do vi khuẩn",36 tháng,"HCM.TS83
-3"
300,AQUA IODOPHOR,P.V.P Iodine,Dung dịch dùng ngoài,Chai,"5; 10; 20; 50;
100; 200; 250;
500ml; 1; 5;
10, 20 lít",Diệt khuẩn nguyên sinh động vật trong nước ao nuôi. Sát trùng nguồn nước và dụng cụ nuôi trồng thủy sản,36 tháng,"HCM.TS83
-4"
301,AQUA CARE,"Alkyl dimethyl benzyl ammonium, Glutaraldehyde",Dung dịch dùng ngoài,Chai,"5; 10; 20; 50;
100; 200; 250;
500ml; 1; 5;
10, 20 lít","Diệt khuẩn, virus, nấm và nguyên sinh động vật trong ao nuôi tôm, cá",36 tháng,"HCM.TS83
-5"
302,AQUAVIBRIO,"Ormethoprim, Sulfadimethoxine",Thuốc bột uống,Túi,"10; 20; 50;
100; 200;
500g; 1; 5; 10;
20 kg","Trị bệnh do vi khuẩn Vibrio gây ra cho tôm như: bệnh phát sang, phân trắng…..",36 tháng,"HCM.TS83
-6"
303,AQUA SULTRIM,"Sulfadiazine sodium, Trimethoprim",Thuốc bột uống,Túi,"10; 20; 50;
100; 200;
500g; 1; 5; 10;
20 kg",Trị các bệnh nhiễm khuẩn trên cá,24 tháng,"HCM.TS83
-7"
304,AQUA DOX 50,Doxycycline hyclate,Thuốc bột uống,Túi,"10; 20; 50;
100; 200;
500g; 1; 5; 10;
20 kg",Trị bệnh đỏ thân trên tôm,24 tháng,"HCM.TS83
-8"
305,AQUA FOSFISH PRO,Fosfomycin sodium,Thuốc bột uống,Túi,"10; 20; 50;
100; 200;
500g; 1; 5; 10;
20 kg","Trị các bệnh gan thận mủ, xuất huyết trên cá tra, cá ba sa",24 tháng,"HCM.TS83
-9"
306,LEVASOL,Levamisole,Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Trị sán lá gan, sán ruột, các loại giun tròn, giun kim",24 tháng,LA.TS5-01
307,DOXIN 150,Doxycicline,Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg",Trị bệnh đỏ thân gây ra do vi khuẩn Vibrio alginolyticus,24 tháng,LA.TS5-02
308,FLO 40-S.D,Flofenicol,Thuốc bột,"Chai, Can, Xô, Phuy","20, 50, 100,
200, 250,
500ml; 1, 2, 5,
10, 20, 30, 50,
100, 200 L","Trị gan thận mủ, nhiễm trùng đường ruột do vi khuẩn Edwardsiella ictaluri gây ra",24 tháng,LA.TS5-03
309,FENDAZOL 10,Fenbendazole,Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Trị nội ký sinh trùng như giun tròn đường ruột, trong ống mật, giun đầu gai, sán lá, sán dây",24 tháng,LA.TS5-04
310,PRAZI-FAST,Praziquantel,Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg",Trị nội ngoại ký sinh trùng,24 tháng,LA.TS5-05
311,SUFAPRIM-MAX,"Sulfadimidine, Trimethoprim",Dung dịch,"Chai, Can, Xô, Phuy","20, 50, 100,
200, 250,
500ml; 1, 2, 5,
10, 20, 30, 50,
100, 200 L","Trị bệnh phát sáng do vi khuẩn Vibrio; trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas như đốm đỏ, hậu môn sưng đỏ, xuất huyết,…",24 tháng,LA.TS5-06
312,SULTRIM S.TP,"Sulfamethoxazole, Trimethoprim",Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Trị bệnh phát sáng do vi khuẩn Vibrio; nhiễm khuẩn do các loại vi khuẩn Aeromonas, Pseudomonas",24 tháng,LA.TS5-07
313,GLUBEN-ACT,"Benzalkonium chloride, Glutaraldehyde",Dung dịch sát trùng,"Chai, Can, Xô, Phuy","20, 50, 100,
200, 250,
500ml; 1, 2, 5,
10, 20, 30, 50,
100, 200 L","Diệt các loại vi khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi; sát trùng dụng cụ dùng trong nuôi trồng thủy sản",24 tháng,LA.TS5-08
314,IODINE 90,Povidone Iodine,Dung dịch sát trùng,"Chai, Can, Xô, Phuy","20, 50, 100,
200, 250,
500ml; 1, 2, 5,
10, 20, 30, 50,
100, 200 L","Sát trùng, diệt khuẩn, xử lý nước, dụng cụ chăn nuôi, ao nuôi",24 tháng,LA.TS5-09
315,BKC PRO 80,Benzalkonium chloride,Dung dịch sát trùng,"Chai, Can, Xô, Phuy","20, 50, 100,
200, 250,
500ml; 1, 2, 5,
10, 20, 30, 50,
100, 200 L","Sát trùng, tiêu diệt các loại virút, vi khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi, dụng cụ nuôi, bể ương",24 tháng,LA.TS5-10
316,BROPOL 50,Bronopol,Dung dịch sát trùng,"Chai, Can, Xô, Phuy","20, 50, 100,
200, 250,
500ml; 1, 2, 5,
10, 20, 30, 50,
100, 200 L","Phòng trị nhiễm nấm thủy my (Saprolegnia spp), trùng quả dưa (Ichthyophthirius spp), đặt biệt giai đoạn cá hương, cá giống",24 tháng,LA.TS5-11
317,BELUCAN,"Betaglucan (1,3-
1,6)",Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg",Tăng cường hệ miễn dịch,24 tháng,LA.TS5-12
318,SACBA ZYME,"Bacillus subtilis, Saccharomyces cerevisiae",Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Phòng bệnh đường ruột, rối loạn tiêu hóa",24 tháng,LA.TS5-13
319,AQUA LIVER,"Lysine, Methionine, Sorbitol, Vitamin C",Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Giải độc gan, tăng cường chức năng của gan, phòng ngừa các bệnh về gan, tăng đề kháng, giảm stress",24 tháng,LA.TS5-14
320,ADE VIT C,"Vitamin A, Vitamin C, Vitamin D3, Vitamin E",Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Phòng trị thiếu vitamin, trị mềm vỏ, mềm vây, phòng chống stress",24 tháng,LA.TS5-15
321,AQUAMOX,Amoxicillin trihydrate,Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg",Trị xuất huyết do Aeromonas hydrophila,24 tháng,LA.TS5-16
322,AQUADOXIN,Doxycycline hyclate,Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg",Trị bệnh đỏ thân gây ra bởi vi khuẩn Vibrio alginolyticus,24 tháng,LA.TS5-17
323,O.T.C FOR AQUA,Oxytetracyclin HCl,Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Trị nhiễm khuẩn huyết, đốm đỏ, thối đuôi, thối vây, lở loét; trị bệnh phát sáng do vi khuẩn Vibrio",24 tháng,LA.TS5-18
324,AQUAFLO,Florfenicol,Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Trị gan thận mủ, nhiễm trùng đường ruột do vi khuẩn Edwardsiella ictaluri",24 tháng,LA.TS5-19
325,SULTRIM F AQUA,"Sulfadimidine sodium, Trimethoprim",Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Trị bệnh phát sáng do vi khuẩn Vibrio; trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas như đốm đỏ, hậu môn sưng đỏ, xuất huyết,…",24 tháng,LA.TS5-20
326,TEASEAD POWDER,Saponin (Chiết xuất từ bột hạt trà),Thuốc bột,"Gói, Lon, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg",Diệt cá tạp trong ao nuôi,24 tháng,LA.TS5-21
327,TCCA 90,Trichloroisocyanuri c Acid,Thuốc bột sát trùng,"Túi, Bao, Hộp, Xô","10, 20, 50,
100, 200,
500g; 1, 2, 5,
10, 15, 20,
25kg","Sát trùng, diệt khuẩn nguồn nước, dụng cụ ương nuôi trong nuôi trồng thủy sản",24 tháng,LA.TS5-22
328,Meko-azadin,Azadirachtin,Dung dịch dùng ngoài,"Chai, Lọ, Can","50,100, 250,
500ml; 1, 2, 5,
10, 20, 25 lít","trị bệnh trùng bánh xe, trùng mỏ neo, trùng quả dưa, rận cá, sán lá đơn chủ trên cá tra, basa.",24 tháng,TG.TS1-06
329,Meko-oxylin,Oxytetracyclin,Thuốc bột uống,"Gói, Bao","100g, 200g,
500g, 1kg, 5kg, 10kg, 20kg, 25kg.","Trị bệnh phát sáng trên tôm. Trị các bệnh đốm đỏ, hậu môn sưng đỏ, xuất huyết trên cá nước ngọt",24 tháng,TG.TS1-07
330,Meko-butovit,"Glucomannoprotein
, Butafosfan, Vitamin B12",Thuốc bột uống,"Gói, Bao","100, 200,
500g;
1,5,10,20,25kg","Tăng sức đề kháng, trao đổi chất trên tôm, cá",24 tháng,TG.TS1-09
331,Meko.Flor 20%,Florfenicol,Dung dịch uống,"Chai, Lọ, Can","50ml, 100ml, 250ml, 500ml; 1lít, 2 lít, 5 lít,
10 lít, 20 lít.","Trị bệnh nhiễm trùng đường ruột do vi khuẩn Edwadrsiella ictaluri gây ra trên cá tra, basa. Ngừng sử dụng 12 ngày trước thu hoạch.",24 tháng,TG.TS1-1
332,Meko-flor 50%,Florfenicol,Thuốc bột uống,"Gói, Bao","100, 200,
500g;
1,5,10,20,25kg",Điều trị bệnh xuất huyết đường ruột ở cá da trơn.,24 tháng,TG.TS1-10
333,Meko-omet,"Ormetoprim, Selenium hữu cơ, Sulfadimethoxine, Vitamin C, Vitamin E",Thuốc bột uống,"Gói, Bao","100, 200,
500g;
1,5,10,20,25kg",Trị bệnh nhiễm khuẩn Vibrio sp. trên tôm.,24 tháng,TG.TS1-12
334,Meko-pazitel,Praziquantel,Thuốc bột uống,"Gói, Bao","100g, 200g,
500g, 1kg, 5kg, 10kg, 20kg, 25kg","Phòng và trị bệnh nội, ngoại ký sinh trùng ở cá.",24 tháng,TG.TS1-13
335,Meko-sulovit,"Ormetoprim, Selenium hữu cơ, Sulfadimethoxine, Vitamin C, Vitamin E",Thuốc bột uống,"Gói, Bao","100g, 200g,
500g, 1kg, 5kg, 10kg, 20kg, 25kg","Trị bệnh đốm đỏ, hậu môn sưng đỏ, xuất huyết (do Pseudomonas sp., Aeromonas. sp.) trên cá",24 tháng,TG.TS1-14
336,Meko-flor 20,Florfenicol,Thuốc bột uống,"Gói, Bao","100, 200,
500g;
1,5,10,20,25kg","Điều trị bệnh xuất huyết đường ruột, gan- thận có mủ, lở loét ngoài da ở cá da trơn.",24 tháng,TG.TS1-15
337,Meko-clean,"Benzalkonium HCl,
Glutaraldehyde",Dung dịch dùng ngoài,"Chai, Lọ, Can","100, 250,
500ml; 1, 2, 3,
5, 10, 20 lít","diệt vi khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi. Sát trùng dụng cụ trong nuôi trồng thủy sản.",24 tháng,TG.TS1-16
