,Application_Number,Trade_Name,Sponsor_Name,Expiration,Patent,Action,Date,Date_Withdrawn,Description,Ingredients,Number,Petitioner,Sponsor_When_Withdrawn,Address,City,CountryProvince,License_No.,Site_Name,State,Zip_Code
187,037-502,Tinavet® Cream 1%,"Intervet, Inc.",05/05/2019,6800631,Filed,08/31/2004,10/23/2015,"Request permission to file an ANADA for a generic new animal drug ivermectin which differs from the pioneer product, Ivomec® Pour-On for Cattle, Merial Ltd., NADA 140-841 by the following characteristics: The generic product will have a change in strength (concentration) from the pioneer.",Penicillin G Procaine,04P-0383/CP1,"Ancare New Zealand, Ltd.",Zoetis Inc.,13991 E 1700th Rd,Chrisman,United States,501-636,Effingham Equity,IL,61924
188,037-586,Erythromast 36,Zoetis Inc.,05/05/2019,6410543,Approved,11/16/2004,03/08/2017,"Request permission to file an ANADA for a generic new animal drug ivermectin which differs from the pioneer product, Ivomec® Pour-On for Cattle, Merial Ltd., NADA 140-841 by the following characteristics: The generic product will have a change in strength (concentration) from the pioneer.",Penicillin G Procaine,04P-0383/CP1,"Ancare New Zealand, Ltd.",Phibro Animal Health Corp.,Roadway Avenue,Effingham,United States,500-346,Effingham Equity,IL,62401
189,037-700,Bactrovet Oral Suspension 12.5%,"Intervet, Inc.",06/20/2028,8410153,Filed,08/31/2004,11/02/2018,"Request permission to file an ANADA for a generic new animal drug levamisole hydrochloride which differs from the pioneer product, Levasole® Soluble Drench Powder, Schering-Plough Animal Health Corp., NADA 112-051 by the following characteristics: The generic product will have a change in strength (concentration) and dosage form from the pioneer.",Nequinate,04P-0384/CP1,"Ancare New Zealand, Ltd.","Virbac AH, Inc.",3386 Wayland Road,Wayland,United States,501-410,"Eichelberger Milling, Inc.",IA,52654
190,038-160,"Maolate® Tablets, Maolate® Veterinary",Zoetis Inc.,12/28/2026,8231888,Approved,11/16/2004,09/20/2012,"Request permission to file an ANADA for a generic new animal drug levamisole hydrochloride which differs from the pioneer product, Levasole® Soluble Drench Powder, Schering-Plough Animal Health Corp., NADA 112-051 by the following characteristics: The generic product will have a change in strength (concentration) and dosage form from the pioneer.",Oxytocin,04P-0384/CP1,"Ancare New Zealand, Ltd.","United Vaccines, A Harlan Sprague Dawley, Inc., Co.",2826 Latham Dr.,Madison,United States,501-672,"Envigo RMS LLC, an Inotiv Company",WI,53713
191,038-200,OXY WS™ ,Phibro Animal Health Corp.,06/10/2028,9095138,Filed,11/05/2004,07/25/2018,"Request permission to file an ANADA for a generic new animal drug serum gonadotropin and chorionic gonadotropin which differs from the pioneer product, P.G. 600®, Intervet, Inc., NADA 140-856 by the following characteristics: The generic product will differ in packaging and presentation of the active ingredients.",Chorionic Gonadotropin,04P-0489/CP1,"Bioniche Animal Health USA, Inc.","Watson Laboratories, Inc.",3150 Nashville Road,Franklin,United States,501-288,Equity Group - Kentucky Division LLC,KY,42135
192,038-233,Ralgro®,"Intervet, Inc.",12/28/2026,7964204,Filed,11/05/2004,10/21/2019,"Request permission to withdraw request to file an ANADA for a generic new animal drug serum gonadotropin and chorionic gonadotropin which differs from the pioneer product, P.G. 600®, Intervet, Inc., NADA 140-856 by the following characteristics): The generic product will differ in packaging and presentation of the active ingredients.","Ipronidazole, Ormetoprim, Sulfadimethoxine",04P-0489/WDL1,"Bioniche Animal Health USA, Inc.","Roche Vitamins, Inc.",330 Industrial Blvd.,Camilla,United States,500-270,Equity Group Georgia Division-LLC,GA,31730
193,038-281,Bloat Guard®,Phibro Animal Health Corp.,01/31/2033,9931320,Acknowledged,11/09/2004,05/14/2001,"Request permission to withdraw request to file an ANADA for a generic new animal drug serum gonadotropin and chorionic gonadotropin which differs from the pioneer product, P.G. 600®, Intervet, Inc., NADA 140-856 by the following characteristics): The generic product will differ in packaging and presentation of the active ingredients.",Ticarbodine,04P-0489/WDL1,"Bioniche Animal Health USA, Inc.","Elanco Animal Health, A Division of Eli Lilly & Co.",7721 132nd Street,Surrey,Canada,501-385,EWOS Canada Ltd.,British Columbia,
194,038-292,Gentocin® Solution,"Intervet, Inc.",01/31/2033,9233100,Filed,11/05/2004,02/27/2017,"Request permission to file an ANADA for a generic new animal drug hyaluronate sodium which differs from the pioneer product, LegendTM, Bayer Healthcare LLC, Animal Health Division, NADA 140-883 by the following characteristics: The generic product will differ in the packaging and presentation of the pioneer product.","Decoquinate, Lincomycin Hydrochloride Monohydrate",04P-0507/CP1,"Bioniche Animal Health USA, Inc.",Zoetis Inc.,27962 Angostura Road,Hot Springs,United States,501-550,"Fall River Feedyard, LLC",SD,57747
195,038-439,"Terramycin® 100 for Fish, Terramycin® 200 for Fish",Phibro Animal Health Corp.,06/10/2028,8623875,Filed,11/05/2004,02/27/2017,"Request permission to withdrawal request to file an ANADA for a generic new animal drug hyaluronate sodium which differs from the pioneer product, LegendTM, Bayer Healthcare LLC, Animal Health Division, NADA 140-883 by the following characteristics)): The generic product will differ in the packaging and presentation of the pioneer product.","Decoquinate, Lincomycin",04P-0507/WDL1,"Bioniche Animal Health USA, Inc.",Zoetis Inc.,808 Railroad Street,Boyden,United States,500-415,Farmers Coop Society,IA,51234
196,038-661,SpectoGard® Water Soluble Powder,Bimeda Animal Health Limited,04/26/2025,7662972,Acknowledged,11/09/2004,05/03/2023,"Request permission to withdrawal request to file an ANADA for a generic new animal drug hyaluronate sodium which differs from the pioneer product, LegendTM, Bayer Healthcare LLC, Animal Health Division, NADA 140-883 by the following characteristics)): The generic product will differ in the packaging and presentation of the pioneer product.","Piperazine Citrate, Thiabendazole",04P-0507/WDL1,"Bioniche Animal Health USA, Inc.",Boehringer lngelheim Animal Health USA Inc.,309 W 1st Street,Sanborn,United States,500-414,Farmers Coop Society,IA,51248
197,038-800,Butazolidin® Granules,"Intervet, Inc.",03/04/2025,10596157,Filed,12/21/2004,07/31/1989,"Request permission to file an ANADA for a generic new animal drug omeprazole which differs from the pioneer product, UlcerGard™, Merial Ltd., NADA 141-227 by the following characteristics: The generic product will have a different dosage form (tablet) from the pioneer.",Griseofulvin,04P-0551/CP1,"Intervet, Inc.","Mallinckrodt Veterinary, Inc.",East Main Street,Hinton,United States,500-124,Farmers Cooperative Company,IA,51024
198,038-801,Anaprime® Ophthalmic Solution,Zoetis Inc.,04/03/2033,11285101,Approved,01/28/2005,05/14/2001,"Request permission to file an ANADA for a generic new animal drug omeprazole which differs from the pioneer product, UlcerGard™, Merial Ltd., NADA 141-227 by the following characteristics: The generic product will have a different dosage form (tablet) from the pioneer.",Chorionic Gonadotropin,04P-0551/CP1,"Intervet, Inc.","Elanco Animal Health, A Division of Eli Lilly & Co.",6 South Washington,Remsen,United States,500-412,Farmers Cooperative Company,IA,51050
199,038-838,Robaxin®-V Injectable,"Kinetic Technologies, LLC",03/04/2025,10045969,Filed,04/20/2005,03/02/2018,"Request permission to withdraw request to file an ANADA for a generic new animal drug ceftiofur hydrochloride which differs from the pioneer product, Excenel® RTU, Pharmacia & Upjohn Co., NADA 140-890, by the following characteristics: The generic product will have a limited route of administration (subcutaneous) in cattle from the pioneer.",Gentamicin Sulfate,05P-0277/WDL1,Pharmacia & Upjohn Co.,"Intervet, Inc.",18930 Crystal Avenue,Arcadia,United States,500-421,Farmers Cooperative Elevator Co.,IA,51430
200,038-878,"Coban™ 60, Coban™ 90",Elanco US Inc.,03/04/2025,8492311,Acknowledged,07/20/2005,07/31/1997,"Request permission to withdraw request to file an ANADA for a generic new animal drug ceftiofur hydrochloride which differs from the pioneer product, Excenel® RTU, Pharmacia & Upjohn Co., NADA 140-890, by the following characteristics: The generic product will have a limited route of administration (subcutaneous) in cattle from the pioneer.",Phenylbutazone,05P-0277/WDL1,Pharmacia & Upjohn Co.,"Watson Laboratories, Inc.",12543 190th Street,Arcadia,United States,501-606,Farmers Cooperative Elevator Company,IA,51430
201,039-204,Protopam,Zoetis Inc.,03/04/2025,8022089,Filed,05/06/2005,05/03/2023,"Request permission to file an ANADA for a generic new animal drug ivermectin which differs from the pioneer product, Eqvalan® Oral Liquid, Merial Ltd., NADA 140-439, by the following characteristics: The generic product will have a different strength (concentration per unit) and a different dosage form (soft chew) from the pioneer.",Thiabendazole,05P-0170/CP1,"Intervet, Inc.",Boehringer lngelheim Animal Health USA Inc.,903 Taft St,Boyden,United States,501-619,Farmers Cooperative Society,IA,51234
202,039-356,"Ripercol L Bolus, Tramisol® Cattle Wormer Bolus",Zoetis Inc.,02/05/2035,11278533,Approved,07/01/2005,07/15/1996,"Request permission to file an ANADA for a generic new animal drug ivermectin which differs from the pioneer product, Eqvalan® Oral Liquid, Merial Ltd., NADA 140-439, by the following characteristics: The generic product will have a different strength (concentration per unit) and a different dosage form (soft chew) from the pioneer.",Tylosin Phosphate,05P-0170/CP1,"Intervet, Inc.",Hubbard Milling Co.,Highway K 30 South Box 98,Ireton,United States,500-008,Farmers Cooperative Society,IA,51027-1897
203,039-357,Ripercol L Soluble Drench Powder,Zoetis Inc.,11/09/2026,7781420,Filed,07/08/2005,09/06/2005,"Request permission to file an ANADA for a generic new animal drug ceftiofur hydrochloride which differs from the pioneer product, Excenel® RTU, Pharmacia & Upjohn Co., NADA 140-890, by the following characteristics: The generic product will have a limited route of administration (subcutaneous) in cattle from the pioneer.",Phenylbutazone,05P-0277/CP1,Pharmacia & Upjohn Co.,"First Priority, Inc.",317 3rd Street NW,Sioux Center,United States,500-009,Farmers Cooperative Society,IA,51250
204,039-402,"MGA® 100, MGA® 200, MGA® 500",Phibro Animal Health Corp.,09/11/2031,9168251,Filed,02/01/2006,03/14/2011,"Request permission to file an ANADA for a generic new animal drug phenylbutazone which differs from the pioneer product, Phenylzone® Paste, Schering-Plough Animal Health Corp., NADA 116-087 by the following characteristics: The generic product will have a different dosage form, granules, whereas the pioneer product is a paste.",Phenylbutazone,06P-0060/CP1,"Macleod Pharmaceuticals, Inc.","First Priority, Inc.",17 Country Lane,Fulda,United States,501-552,Farmers Cooperative Society,MN,56131
205,039-417,Deccox®,Phibro Animal Health Corp.,11/19/2026,7846472,Approved,04/04/2006,05/14/2001,"Request permission to file an ANADA for a generic new animal drug phenylbutazone which differs from the pioneer product, Phenylzone® Paste, Schering-Plough Animal Health Corp., NADA 116-087 by the following characteristics: The generic product will have a different dosage form, granules, whereas the pioneer product is a paste.",Trichlorfon,06P-0060/CP1,"Macleod Pharmaceuticals, Inc.","Purina Mills, Inc.",602 Main Street,Boyden,United States,501-629,"Farmers Feed & Supply, Inc.",IA,51234
206,039-483,Bio-Tal,Cronus Pharma Specialities India Private Limited,09/21/2026,7622138,Denied,05/05/2006,02/27/2017,"Request permission to file an ANADA for a generic new animal drug ivermectin which differs from the pioneer product, Ivomec® 1%, Merial Ltd., NADA 128-409, by the following characteristic(s): The generic will differ in strength (2%) from the pioneer product (1%).","Lincomycin Hydrochloride Monohydrate, Zoalene",06P-0093/CP1,ECO LLC,Zoetis Inc.,710 Front Street,Morgan,United States,500-407,Farmward Cooperative,MN,56266
207,039-583,Granulex® V,Cronus Pharma Specialities India Private Limited,01/09/2025,8361496,Filed,06/02/2006,03/10/2014,"Request permission for reconsideration to file an ANADA for a generic new animal drug ivermectin which differs from the pioneer product, Ivomec® 1%, Merial Ltd., NADA 128-409, by the following characteristic(s): The generic will differ in strength (2%) from the pioneer product (1%).","Amprolium, Ethopabate, Roxarsone",06P-0093/PRC1,ECO LLC,Huvepharma EOOD,1591 East Bates Canyon Rd,Erda,United States,500-911,"Fassio Egg Farms, Inc.",UT,84074
208,039-729,Therabloat®,Zoetis Inc.,10/31/2022,6887487,Filed,06/21/2006,03/10/2014,"Request permission to file an ANADA for a generic new animal drug neomycin which differs from the pioneer product, Neomycin Soluble Powder, Pharmacia & Upjohn Co., NADA 011-315 by the following characteristics: The generic will differ in dosage form.","Amprolium, Bacitracin methylenedisalicylate, Ethopabate, Roxarsone",06P-0263/CP1,"Sparhawk Laboratories, Inc.",Huvepharma EOOD,5282 Gainesville Highway,Baldwin,United States,501-283,Fieldale Farms Corp. Feed Mill #2,GA,30511
209,039-792,Fulvicin U/F® Powder,"Intervet, Inc.",02/23/2027,7858115,Approved,09/06/2006,07/31/1997,"Request permission to file an ANADA for a generic new animal drug neomycin which differs from the pioneer product, Neomycin Soluble Powder, Pharmacia & Upjohn Co., NADA 011-315 by the following characteristics: The generic will differ in dosage form.",Oxytocin,06P-0263/CP1,"Sparhawk Laboratories, Inc.","Watson Laboratories, Inc.","Broiler Blvd., Hwy 23 S",Baldwin,United States,500-845,Fieldale Farms Corporation Feed Mill,GA,30511
210,040-001,Meldane 2,Elanco US Inc.,10/31/2022,7404964,Filed,05/02/2007,05/03/2023,"Request permission to file an ANADA for a generic new animal drug ivermectin/pyrantel pamoate chewable tablet which differs from the pioneer product, Heartgard-30® Plus, Merial Limited, NADA 140-971 by the following characteristics. The generic will differ in dosage form. The generic product will be a compressed tablet, whereas the pioneer's product is an extruded tablet.",Thiabendazole,07P-0175/CP1,Norbrook Laboratories Ltd.,Boehringer lngelheim Animal Health USA Inc.,24 Nicolas Avenue,Winnipeg,Canada,501-604,Finer Feeds,Manitoba,
211,040-040,Spectam Injectable,Huvepharma EOOD,11/24/2027,7854943,Approved,11/26/2007,12/16/2005,"Request permission to file an ANADA for a generic new animal drug ivermectin/pyrantel pamoate chewable tablet which differs from the pioneer product, Heartgard-30® Plus, Merial Limited, NADA 140-971 by the following characteristics. The generic will differ in dosage form. The generic product will be a compressed tablet, whereas the pioneer's product is an extruded tablet.","Amprolium, Arsanilic Acid, Ethopabate, Penicillin G Procaine, Streptomycin",07P-0175/CP1,Norbrook Laboratories Ltd.,Stockton Hay & Grain Co.,33 Moorhead-Itta Bena Rd.,Moorhead,United States,500-831,"Fishbelt Feeds, Inc.",MS,38761
212,040-181,Vetisulid® Oral Suspension,Huvepharma EOOD,07/10/2027,7618651,Filed,05/02/2007,03/10/2014,"Request permission to file an ANADA for a generic new animal drug meloxicam which differs from the pioneer product, Metacam® 1.5 mg/ml Oral Suspension, Boehringer Ingelheim, NADA 141-231 by the following characteristics. The generic will differ in dosage form (chewable tablets) and different strength.","Bacitracin methylenedisalicylate, Monensin, Roxarsone",07P-0177/CP1,Norbrook Laboratories Ltd.,"Elanco Animal Health, A Division of Eli Lilly & Co.",4301 Farm Market Road 297,Dalhart,United States,501-565,Five Rivers Cattle Feeding -   Coronado Feeders ,TX,79022
213,040-209,Rofenaid® 40,Phibro Animal Health Corp.,06/17/2018,6187818,Denied,01/14/2008,07/15/1996,"Request permission to file an ANADA for a generic new animal drug meloxicam which differs from the pioneer product, Metacam® 1.5 mg/ml Oral Suspension, Boehringer Ingelheim, NADA 141-231 by the following characteristics. The generic will differ in dosage form (chewable tablets) and different strength.","Diethylcarbamazine Citrate, Styrylpyridinium Chloride",07P-0177/CP1,Norbrook Laboratories Ltd.,"Bayer HealthCare LLC, Animal Health Division",Rt 1 Box 59,Texhoma,United States,501-529,Five Rivers Cattle Feeding - Cimarron Feeders ,OK,73949
214,040-322,Kymar Ointment Improved,"Intervet, Inc.",06/17/2018,6197818,Filed,03/12/2008,06/20/2016,"Request permission to file an ANADA for a generic new animal drug meloxicam chewable tablet which differs from the pioneer product, Metacam® Oral Suspension sponsored by Boehringer Ingelheim Vetmedica, Inc., under NADA 141-213 by the following characteristics: differ in dosage form and strength. The generic product will be a chewable tablet whereas the pioneer's product is an oral suspension and strength.  The generic product will be in 1 mg and 2.5 mg tablets where the reference product is 1.5 mg/mL.",Sulfamethazine,08P-0186/CP1,Norbrook Laboratories Ltd.,Cross Vetpharm Group Ltd.,2258 HWY 50,Lamar,United States,501-563,Five Rivers Cattle Feeding - Colorado Beef ,CO,81052
215,040-587,Lincocin® Aquadrops,Zoetis Inc.,08/25/2018,6310099,Denied,08/21/2008,02/13/2012,"Request permission to file an ANADA for a generic new animal drug meloxicam chewable tablet which differs from the pioneer product, Metacam® Oral Suspension sponsored by Boehringer Ingelheim Vetmedica, Inc., under NADA 141-213 by the following characteristics: differ in dosage form and strength. The generic product will be a chewable tablet whereas the pioneer's product is an oral suspension and strength.  The generic product will be in 1 mg and 2.5 mg tablets where the reference product is 1.5 mg/mL.",Tylosin Phosphate,08P-0186/CP1,Norbrook Laboratories Ltd.,"Norco Mills Of Norfolk, Inc.",10100 FMR 998,Hartley,United States,501-544,Five Rivers Cattle Feeding - Hartley Feeders ,TX,79044
216,040-848,Atgard® C Swine Wormer,Cronus Pharma Specialities India Private Limited,02/13/2021,6291523,Filed,02/24/2009,08/27/2001,"Request permission to file an ANADA for a generic new animal drug marbofloxacin which differs from the pioneer product, Zeniquin® tablets sponsored by Pfizer Inc., under NADA 141-151 by the following characteristics: The proposed generic new animal drug is a bi-layered, quadrisected tablet available in 25 mg and 200 mg strengths.  The reference listed new animal drug is a coated, single scored tablet available in 25 mg, 50 mg, 100 mg, and 200 mg strengths.  The proposed generic new animal drug is intended to deliver the same amount of active ingredient per pound of body weight as the reference listed new animal drug","Chloramphenicol, Prednisolone, Squalene, Tetracaine",09P-0110/CP1,"Pet Medicus Laboratories, Inc.","Evsco Pharmaceuticals, An Affiliate of IGI, Inc.",5100 E County Road 70,Wellington,United States,500-849,Five Rivers Cattle Feeding - Horton Feedyard ,CO,80549
217,041-061,Mecadox® 10,Phibro Animal Health Corp.,03/22/2019,39592,Approved,05/27/2009,09/06/2005,"Request permission to file an ANADA for a generic new animal drug marbofloxacin which differs from the pioneer product, Zeniquin® tablets sponsored by Pfizer Inc., under NADA 141-151 by the following characteristics: The proposed generic new animal drug is a bi-layered, quadrisected tablet available in 25 mg and 200 mg strengths.  The reference listed new animal drug is a coated, single scored tablet available in 25 mg, 50 mg, 100 mg, and 200 mg strengths.  The proposed generic new animal drug is intended to deliver the same amount of active ingredient per pound of body weight as the reference listed new animal drug","Penicillin G Benzathine, Penicillin G Procaine",09P-0110/CP1,"Pet Medicus Laboratories, Inc.",Wyeth Laboratories,1710 S 2450 E,Malta,United States,501-562,Five Rivers Cattle Feeding - Interstate Feeders ,ID,83342
218,041-245,Albon®,Zoetis Inc.,10/08/2032,9006272,Filed,03/26/2009,07/06/1990,"The petitioner requests to file an ANADA for a generic clomipramine hydrochloride tablet that differs from the pioneer product, CLOMICALM Tablets, sponsored by Novartis Animal Health US, Inc., under NADA 141-120.  The generic product will differ in dosage form and tablet strength.  The pioneer product is an unscored tablet available in 5 mg, 20 mg, 40 mg, and 80 mg strengths.  The proposed generic product is a unique, bi-layered, quadrisected tablet that will be available in 10 mg and 80 mg strengths.",Penicillin G Benzathine,09-P-0162-1,PetMedicus Laboratories Ltd.,Wyeth Laboratories,28625 US Hwy 34,Kersey,United States,501-528,Five Rivers Cattle Feeding - Kuner Feedlot ,CO,80644
219,041-275,"Tylan™ 5 Sulfa-G™, Tylan™ 10 Sulfa-G™, Tylan™ 20 Sulfa-G™, Tylan™ 40 Sulfa-G™",Elanco US Inc.,03/08/2032,8466115,Approved,06/19/2009,07/20/1992,"The petitioner requests to file an ANADA for a generic clomipramine hydrochloride tablet that differs from the pioneer product, CLOMICALM Tablets, sponsored by Novartis Animal Health US, Inc., under NADA 141-120.  The generic product will differ in dosage form and tablet strength.  The pioneer product is an unscored tablet available in 5 mg, 20 mg, 40 mg, and 80 mg strengths.  The proposed generic product is a unique, bi-layered, quadrisected tablet that will be available in 10 mg and 80 mg strengths.",Chlortetracycline Hydrochloride,09-P-0162-1,PetMedicus Laboratories Ltd.,"American Cyanamid, Division AHP Corp.",34673 E. County 9th Street,Welton,United States,501-566,Five Rivers Cattle Feeding - McElhaney Feedyard ,AZ,85356
220,041-629,Spectinomycin Oral Liquid,Zoetis Inc.,08/28/2033,9200003,Filed,05/22/2009,05/03/2023,"The petitioner requests to file an ANADA for enrofloxacin palatable tablet that differs from the pioneer product BAYTRIL (enrofloxacin) TASTE TABS, sponsored by Bayer Healthcare LLC, under NADA 140-441.  The generic will differ in strength, 272 mg, the largest pioneer product strength is 136 mg.",Hetacillin Potassium,09P-0245/CP1,"Lachman Consultant Service, Inc.",Boehringer lngelheim Animal Health USA Inc.,15972 WCR 51,LaSalle,United States,500-847,Five Rivers Cattle Feeding - Montera Feedyard ,CO,80645
221,041-647,AUREOMIX® S 700-A,Phibro Animal Health Corp.,08/28/2033,9200003,Approved,11/23/2009,05/03/2023,"The petitioner requests to file an ANADA for enrofloxacin palatable tablet that differs from the pioneer product BAYTRIL (enrofloxacin) TASTE TABS, sponsored by Bayer Healthcare LLC, under NADA 140-441.  The generic will differ in strength, 272 mg, the largest pioneer product strength is 136 mg.",Hetacillin Potassium,09P-0245/CP1,"Lachman Consultant Service, Inc.",Boehringer lngelheim Animal Health USA Inc.,2690 US Hwy 54,Dalhart,United States,501-534,Five Rivers Cattle Feeding - XIT Feeders ,TX,79022
222,041-648,AUREOMIX® S 700-D,Phibro Animal Health Corp.,03/08/2032,8466115,Filed,06/26/2009,02/13/2012,"The petitioner requests to file an ANADA for pimobendan chewable tablet that differs from the pioneer product VETMEDIN (pimobendan) Chewable Tablets sponsored by Boehringer Ingelheim Vetmedica, Inc., under NADA 140-273.  The generic will add a 10 mg tablet size.",Chloramphenicol,09P-0306/CP1,"Lachman Consultant Service, Inc.","Evsco Pharmaceuticals, An Affiliate of IGI, Inc.",38002 County Rd. N,Yuma,United States,501-551,Five Rivers Cattle Feeding - Yuma Feedlot,CO,80759
223,041-649,Aureomix® S 700-G,Phibro Animal Health Corp.,03/05/2035,11369621,Approved,02/22/2010,04/08/2020,"The petitioner requests to file an ANADA for pimobendan chewable tablet that differs from the pioneer product VETMEDIN (pimobendan) Chewable Tablets sponsored by Boehringer Ingelheim Vetmedica, Inc., under NADA 140-273.  The generic will add a 10 mg tablet size.",Ampicillin Trihydrate,09P-0306/CP1,"Lachman Consultant Service, Inc.","Norbrook Laboratories, Ltd.",22777 Weld County Rd 31,LaSalle,United States,501-527,Five Rivers Cattle Feeding -Gilcrest Feeders ,CO,80645
224,041-650,Aureomix® S 700-E,Phibro Animal Health Corp.,03/05/2035,9265756,Filed,07/20/2009,05/03/2023,"The petitioner requests to file an ANADA for enrofloxacin an injectable solution for dogs that differs from the pioneer product, BAYTRIL Antibacterial Injectable Solution 2.27% NADA 140-913 by Bayer Heathcare LLC.  The generic will differ in strength (2.5%).",Hetacillin Potassium,09P-0337/CP1,"Lachman Consultant Service, Inc.",Boehringer lngelheim Animal Health USA Inc.,1006 Dothan Road,Bainbridge,United States,500-194,"Flint River Mills, Inc.",GA,39819
225,041-651,Aureomix® 700-F,Phibro Animal Health Corp.,02/21/2027,7960407,Approved,11/09/2009,04/08/2020,"The petitioner requests to file an ANADA for enrofloxacin an injectable solution for dogs that differs from the pioneer product, BAYTRIL Antibacterial Injectable Solution 2.27% NADA 140-913 by Bayer Heathcare LLC.  The generic will differ in strength (2.5%).",Ampicillin Trihydrate,09P-0337/CP1,"Lachman Consultant Service, Inc.","Norbrook Laboratories, Ltd.",Furnace Street,Birdsboro,United States,500-179,"FM Brown's Sons, Inc.",PA,19508
226,041-652,Aureomix® S 700-C,Phibro Animal Health Corp.,10/15/2021,6710054,Filed,07/20/2009,02/13/2012,"The petitioner requests to file an ANADA for florfenicol a concentrated solution that differs from the pioneer product, Nuflor® sponsored by Schering-Plough Animal Health Corp.  The generic will differ in strength (10%) whereas the reference product is 2.3%.",Chloramphenicol,09P-0341/CP1,"Lachman Consultant Service, Inc.","Evsco Pharmaceuticals, An Affiliate of IGI, Inc.",2 mi N on US 154,Ford,United States,500-907,"Ford County Feedyard, Inc.",KS,67842
227,041-653,AUREOMIX® S 700-B,Phibro Animal Health Corp.,03/05/2035,12109218,Approved,11/23/2009,04/08/2020,"The petitioner requests to file an ANADA for florfenicol a concentrated solution that differs from the pioneer product, Nuflor® sponsored by Schering-Plough Animal Health Corp.  The generic will differ in strength (10%) whereas the reference product is 2.3%.",Ampicillin Trihydrate,09P-0341/CP1,"Lachman Consultant Service, Inc.","Norbrook Laboratories, Ltd.",740 Bowman Street,Stewart,United States,501-046,"Form A Feed, Inc.",MN,55385
228,041-654,AUREOMIX® S 700-H,Phibro Animal Health Corp.,10/14/2033,10780079,Filed,09/21/2009,04/08/2020,"The petitioner requests to file an ANADA for a generic omeprazole tablet that differs from the pioneer product, ULCERGARD Oral Paste, sponsored by Merial Ltd., under NADA 141-227.  The generic product will differ in strength and dosage form.  The pioneer product is a 2.28 g omeprazole paste (37% w/w) that is supplied in a 4 dose oral syringe.  The proposed generic product is a 570 mg omeprazole tablet (19% w/w).",Ampicillin Trihydrate,09-P-0450-1,"Precision Consultants, Inc.","Norbrook Laboratories, Ltd.",156 High St,New Richmond,United States,500-690,Form-A-Feed Inc,WI,54017
229,041-665,Tranvet Chewable Tablets (20 mg),Zoetis Inc.,05/28/2034,9499543,Denied,05/18/2010,04/08/2020,"The petitioner requests to file an ANADA for a generic omeprazole tablet that differs from the pioneer product, ULCERGARD Oral Paste, sponsored by Merial Ltd., under NADA 141-227.  The generic product will differ in strength and dosage form.  The pioneer product is a 2.28 g omeprazole paste (37% w/w) that is supplied in a 4 dose oral syringe.  The proposed generic product is a 570 mg omeprazole tablet (19% w/w).",Cloxacillin Benzathine,09-P-0450-1,"Precision Consultants, Inc.","Norbrook Laboratories, Ltd.",7920 Hwy 80 East,Arcadia,United States,500-264,Foster Farms,LA,71001
230,041-836,Kantrim® 200,Zoetis Inc.,06/13/2022,6673929,Filed,09/21/2009,04/08/2020,"The petitioner is requesting to file an ANADA for a milbemycin oxime soft chewable tablet that differs from the pioneer product, INTERCEPTOR FLAVOR Tabs, sponsored by Novartis Animal Health US, Inc. under NADA 140-915.  The generic product will differ by texture, hardness and size from the pioneer product which is a hard chewable tablet.",Dihydrostreptomycin Sulfate,09P-0453/CP,Piedmont Animal Health,"Norbrook Laboratories, Ltd.",250 Gunnison River Drive,Delta,United States,500-113,"Foster Farms, LLC",CO,81416
231,042-548,Amforol® Suspension,Zoetis Inc.,01/27/2036,9700591,Approved,11/25/2009,04/04/2008,"The petitioner is requesting to file an ANADA for a milbemycin oxime soft chewable tablet that differs from the pioneer product, INTERCEPTOR FLAVOR Tabs, sponsored by Novartis Animal Health US, Inc. under NADA 140-915.  The generic product will differ by texture, hardness and size from the pioneer product which is a hard chewable tablet.",Tetracycline Hydrochloride,09P-0453/CP,Piedmont Animal Health,"Eon Labs Manufacturing, Inc.",14519 W Collier Rd.,Delhi,United States,500-012,Foster Poultry Farms,CA,95315
232,042-633,Tresaderm Dermatologic Solution,Boehringer lngelheim Animal Health USA Inc.,10/05/2020,6541646,Filed,09/21/2009,04/03/1989,"The petitioner is requesting to file an ANADA for a carprofen soft chewable tablet that differs from the pioneer product, RIMADYL, sponsored by Pfizer, Inc. under NADA 141-111.  The generic product will differ by texture, hardness and size from the pioneer product which is a hard chewable tablet.",Tetracycline Hydrochloride,09P-0462/CP,Piedmont Animal Health,"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.",1900 Kern Street,Kingsburg,United States,500-725,Foster Poultry Farms,CA,93631
233,042-661,Kantrim® Ophthalmic Ointment,Zoetis Inc.,10/09/2020,6677373,Approved,12/18/2009,09/06/2005,"The petitioner is requesting to file an ANADA for a carprofen soft chewable tablet that differs from the pioneer product, RIMADYL, sponsored by Pfizer, Inc. under NADA 141-111.  The generic product will differ by texture, hardness and size from the pioneer product which is a hard chewable tablet.",Tetracycline Hydrochloride,09P-0462/CP,Piedmont Animal Health,IMPAX Laboratories,11671 N. Ehlen Road,Aurora,United States,500-015,Foster Poultry Farms/Del Mesa Farms,OR,97002
