"letter","key","content"
"F","Federal skilled worker","
      An immigrant selected as a permanent resident based on their education, work experience, knowledge of English and/or French, and other criteria that have been shown to help people succeed in the Canadian labour market. Spouses and children are included on the application.
      Quebec selects its own skilled workers, under the Quebec skilled worker Class (QSW).
    "
"F","Financial support","Financial support means that your sponsor provides money to help you pay for food, living expenses, etc."
"F","Foreign Credential Recognition (FCR) ","Foreign credential recognition is the process of verifying that the education and job experience obtained in another country are equal to the standards established for Canadian professionals. Credential recognition for regulated occupations is mainly a provincial responsibility that has been delegated in legislation to regulatory bodies."
"F","Foreign national","
      A person who is not a Canadian citizen or a permanent resident.
      See the [legal definition of foreign national](http://laws-lois.justice.gc.ca/eng/acts/I-2.5/page-1.html#h-2).
    "
"F","Foreign student
      Related term:
        International student
    ","A temporary resident who is legally authorized to study in Canada on a temporary basis. With a few exceptions, foreign students must get a study permit if they are taking a course of studies that will last for more than six months.
      See the [legal definition of a student](http://laws.justice.gc.ca/eng/SOR-2002-227/page-1.html#codese:1-ss:_1_-df:CODEETUDIANT).
    "
"F","Foreign worker","
      A temporary resident who is legally allowed to work in Canada on a temporary basis.
    "
"F","Francophone
      Related term:
        French-speaking person
    ","Person whose mother tongue is French or whose first official language in Canada is French even though that person’s mother tongue is a language other than French or English."
"F","French as a second language (FSL)","A program used to teach French to non-native speakers. FSL is usually taught in a setting where French is the dominant language."
"F","Full-time equivalent studies","Education completed on a part-time or accelerated basis that is equivalent to a full-time program of study."
"F","Full-time job equivalent","Defined as 1,560 hours of paid employment per year."
"F","Full-time study
      Related term:
        Full-time student
    ","Study schedule with a minimum number of hours (15 hours) of instruction per week during the academic year, including any period of training in the workplace that is part of the student’s studies. Students should ask their school what the full-time requirements are. "
"F","Full time study status","Full time study status is determined by your educational institution (school). It is usually based on the number of classroom hours per week."
"F","Full-time work","At least 30 hours per week for which wages are paid and/or commission is earned.""letter","key","content"
"G","General Agreement on Trade in Services (GATS)
      Related term:
        International agreement
    ","
      An international agreement that provides the basis for giving some foreign business people easier access to Canada. Many countries that are members of the World Trade Organization have signed the agreement.
      Three kinds of business people are covered:
      
        business visitors,
        professionals and
        employees transferred within a company to work in Canada.
      
    "
"G","Given name(s)","A given name(s) is the name(s) given to a person at birth and by which that person is most commonly referred to. A person’s given name(s) includes his or her first name and middle name. For example: If a person’s name is Mark Paul Jenkins, his given names are Mark Paul.
      A person may have one or more given names.
    "
"G","Government-assisted refugee","
      A person who is outside Canada and has been determined to be a Convention refugee and who receives financial and other support from the Government of Canada or Province of Quebec for up to one year after their arrival in Canada.
      GARs are selected from applicants referred by the United Nations High Commissioner for Refugees (UNHCR) and other referral organizations.
    "
"G","Grant of citizenship","See [Naturalization](#naturalization)."
"G","Group of five","A group of five or more Canadian citizens or permanent residents, each of whom is at least 18 years of age, who agree to work together to sponsor a refugee."
"G","Guarantor","A guarantor is a person who can confirm your identity and the information you have provided. If you do not have a guarantor who has known you for at least two (2) years, you must complete a Statutory Declaration in Lieu of Guarantor.""letter","key","content"
"H","Health card","A document that allows a person to receive public health care in a Canadian province or territory. Newcomers can apply for a health card when they arrive in Canada.
      See [Health insurance](#health_insurance).
    "
"H","Health insurance","A Canadian provincial or territorial government program that pays for essential health services provided by doctors, hospitals and certain non-physician practitioners. Newcomers must apply to their provincial or territorial health insurance plan to get coverage and a health card.
      See [Health card](#health_card).
      See the [legal definition of health card](http://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-227/page-1.html#h-1).
    "
"H","High commission
      Related term:
        Mission
    ","
      A Government of Canada office, is the same as an embassy, but is located in the capital city of a Commonwealth country.
      Example: High Commission of Canada to the United Kingdom in London
      See [Embassy](#embassy), [Visa office](#visa_office), [Consulate](#consulate).
    "
"H","Humanitarian and compassionate application (H & C)","
      People who would not normally be eligible to become permanent residents of Canada may be able to apply on humanitarian and compassionate (H & C) grounds.
      (H & C) grounds apply to people with exceptional cases. Factors that are looked at include:
      
        how settled the person is in Canada,
        general family ties to Canada,
        the best interests of any children involved, and
        the degree of hardship that the applicant would experience if the request is not granted and they must leave Canada in order to apply for permanent residence.
      
      (H & C) decision makers will not look at the risk factors that are looked at in an in-Canada refugee protection claim or a pre-removal risk assessment (PRRA). These factors which are outside the scope of an (H & C) application include persecution, danger of torture or risk to life or risk of cruel and unusual treatment or punishment.
    ""letter","key","content"
"I","Identity card","A card used to prove who someone is. It can be issued by a government or by a recognized international agency, such as the United Nations."
"I","Immigration document","An official document issued by an IRCC or Canada Border Services Agency (CBSA) office, Case Processing Centre (CPC) or Canadian visa office outside Canada, such as one of the following:
      
        Immigrant visa and record of landing (IMM 1000),
        Confirmation of permanent residence (IMM 5292),
        Permanent resident card,
        visitor record,
        work permit,
        study permit or
        temporary resident permit.
      
    "
"I","Immigration officer","An officer responsible for deciding who can enter and stay in Canada. They usually work at Ports of Entry (airports, land border crossings) or one of our offices in Canada. They may check documents and interview applicants to make sure applications are accurate."
"I","Immigration status","A non-citizen’s position in a country—for example, permanent resident or visitor."
"I","Implied status","If a visitor, student or foreign worker applies to extend their status, before that status expires, they can legally remain in Canada until a decision is made on the application. In this situation, the person has implied status."
"I","In good standing","Refers to a representative who:
      
        is licensed and insured,
        is qualified to help you through the legal process, and
        meets the standards of learning, competence and professional conduct.
      
    "
"I","In process","When an application that has been sent to IRCC has been opened, checked for completeness, and an employee has begun to process it (enter into the computer system, etc.)."
"I","Inadmissibility
      Related term:
        Inadmissible person
    ","
      When a person is not allowed to enter or stay in Canada. Reasons can include security concerns, criminal offences, human rights violations, health or financial reasons, and failure to comply with Canada’s immigration laws.
      [Find out more about inadmissibility](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/inadmissibility.html).
    "
"I","Indeterminate job offer","A permanent, full-time job offer. "
"I","Indictable offence","See [Offence](#offence)."
"I","Individual rehabilitation","See [Criminal rehabilitation](#criminal_rehabilitation)."
"I","Instruction guide","Instruction guides are documents that provide:
      
        information a person must know about an application before sending it to IRCC and
        help with filling out forms and required supporting documents.
      
      These guides are posted on the IRCC website.
    "
"I","Intercountry adoption
      Related term:
        International adoption
    ","A legal adoption of a child residing in another country that complies with the laws of both the sending and receiving countries."
"I","International Experience Canada (IEC)
      Related terms:
        International youth program
        Working Holiday Program
    ","A youth exchange program allowing Canadians, 18 to 35, to live and work in other countries, generally for up to one year at a time. The reciprocity of the program allows for youth from these same countries to live and work in Canada for up to one year."
"I","International medical graduate","A person who has graduated from a medical school not accredited in Canada (by the Committee on Accreditation of Canadian Medical Schools) or in the U.S. (by the Liaison Committee on Medical Education). This term includes graduates of a U.S. school of osteopathic medicine accredited by the American Osteopathic Association."
"I","International Mobility Program","
      This program lets employers hire or bring in foreign workers without a [Labour Market Impact Assessment (LMIA)](#labour_market_impact_assessment). Some workers are exempt from the LMIA process. This applies when there are shared benefits for Canadians and other advantages for Canada.
      These people can include:
      
        international students who graduated from a Canadian school
        people working in Canada temporarily under free trade agreements, such as NAFTA
        people taking part in International Experience Canada
        some permanent resident applicants settling in Canada while their application is finalized, and
        spouses of highly-skilled foreign workers.
      
      See Labour Market Impact Assessment (LMIA)
    "
"I","International student","See [Foreign student](#foreign_student)."
"I","Internship","Supervised work or school-related training that may be either paid or unpaid. Internship positions can be found with some businesses, government departments and non-profit organizations. Internships can help newcomers gain Canadian work experience."
"I","Intra-company transferee
      Related terms:
        General Agreement on Trade in Services
        North American Free Trade Agreement
    ","A qualified employee who is transferred within a company to work in Canada on a temporary basis."
"I","Investor","A term used to describe an immigrant admitted to Canada who:
      
        has [business experience](#business_experience)
        has a legally obtained net worth of at least C$1,600,000, and
        has made an investment of C$800,000
      
    "
"I","Invitation to apply","
      When a candidate’s profile is pulled from [International Experience Canada](https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/iec.html) or [Express Entry pool](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry.html). They then have a limited time to fill out and submit an online application.
    "
"I","Invitation round","
      A process where we invite candidates from a [pool](#pool) to apply for: 
      
        a work permit through [International Experience Canada](https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/iec.html) or
        permanent residence through [Express Entry](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry.html).
      
      We hold these rounds on a regular basis.
      See also: [Invitation to apply](#ita), pool
    "
"I","IRCC office","An office in Canada that supports immigration, citizenship, and settlement programs. This term does not include ports of entry or case processing centres.""letter","key","content"
"L","Labour Market Impact Assessment (LMIA)","
      A Labour Market Impact Assessment (LMIA) is a document that an employer in Canada must usually get before hiring a foreign worker.
      A positive LMIA will show that there is a need for a foreign worker to fill the job and that no Canadian worker can do the job. A positive LMIA is sometimes called a Confirmation letter.
      If you need an LMIA, your employer must send an application to [Employment and Social Development Canada](http://www.rhdcc-hrsdc.gc.ca/eng/home.shtml) (ESDC).
    "
"L","Labour market opinion (LMO)","See [Labour Market Impact Assessment](#labour_market_impact_assessment) "
"L","Landing
      Related term:
        Interview for final determination
    ","The final interview with an immigration officer at either a port of entry or a local IRCC office within Canada, during which an applicant becomes a permanent resident. This happens when the person signs the [confirmation of permanent residence](#confirmation_of_permanent_residence_number)."
"L","Language assessment","An evaluation of a person’s reading, writing, listening and/or speaking abilities in English or French. This is done to see if you meet the [language requirement](#language_requirement) for your application."
"L","Language requirement
      Related terms:
        Adequate Language
    ","Some types of applications require you to have a certain level of skill in either English or French. The level of language ability required is different, depending on the type of application being submitted. "
"L","Language Instruction for Newcomers to Canada (LINC)","Free English language training programs for adult newcomers to Canada. They are funded by the federal government and delivered by school boards, colleges and local organizations that provide services to newcomers."
"L","Letter of introduction","A document sent from a visa office to confirm approval of:
      
        a study permit, or
        a work permit, or
        extended stay for a parent or grandparent from a country that does not require visas (the Super Visa program).
      
      Applicants must present the letter when they arrive in Canada.
    "
"L","Letter of invitation","
      A letter from a person in Canada on behalf of a friend or family member who wants to visit. This may be helpful if the visitor is from a country where visas are required to travel to and enter Canada.
      The letter should explain how they plan to help the visitor and whether they have the financial means to support the person during a longer visit.
    "
"L","Letter of invitation to delegates ","
      A letter that event organizers need to give delegates when they apply for a visa to come to Canada.
      The letter should include information on the event to establish:
      
        the delegate’s purpose of travel to Canada, and
        plans once in Canada.
      
      The letter should also indicate if financial assistance is given to delegates, such as airline tickets and accommodations.
    "
"L","Letter of support","A letter of support is given to the applicant by the designated angel investor group or venture capital fund. It is proof that they will support your business idea."
"L","Level of education","A selection factor under the Federal Skilled Worker Program for which [points](#points) are awarded. It is based on the certificate, diploma or degree obtained, and the number of years of schooling."
"L","Level of study"," There are five levels of study for foreign students in Canada. They are:
      
        Universities: Offer degree-granting programs at the undergraduate (bachelor’s) graduate (master’s), and postgraduate (doctoral, post-doctoral) levels, and may also offer programs leading to certificates or diplomas in various academic disciplines.
        Colleges: Offer academic or professional training programs leading to diplomas or certificates (includes CEGEPs in Quebec, which is generally mandatory before attending university).
        Trade: Non-university educational institutions in Canada that offer vocational trades and/or technical programs (such as vocational institutions, or private career colleges).
        Other post-secondary: Post-secondary studies that are not undertaken at university, college or trade school. This includes studies at language institutions and private institutions, and in university qualifying programs.
        Secondary or less: Includes primary and secondary schools in Canada.
        Other: Studies that cannot be classified at any of the above levels of study.
      
    "
"L","Live-in caregiver
      Related term:
        Nanny
    ","A person who is qualified to provide care for children, elderly people or people with disabilities in private homes without supervision. A live-in caregiver must live in the private home of their employer while they work in Canada. "
"L","Local IRCC office
      Related term:
        Local office
    ","An IRCC service location in Canada. This term does not include ports of entry or CPCs."
"L","Locked in","
      To freeze information so that it does not change over time, regardless of how long processing takes.
      For example, we lock your child’s age when your application is received. This is called the lock in date. Lock-in dates vary depending on your immigration program or category. When we process your child’s application, we use the age on lock in date to see if your child qualifies as a [dependant](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/age-limit-requirements-dependent-children.html#dependent_child).
      See the [lock in dates by immigration or category](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/age-limit-requirements-dependent-children.html#age-lock-in).
    "
"L","Low-income cut-off (LICO)
      Related term:
        Minimum necessary income
    ","Income levels set out by the Government of Canada where a family spends a higher percentage on necessities than other families. A family must be above the cut-off in order to
      
        sponsor a family member to immigrate to Canada, or
        host parents or grandparents for an extended stay.
      
    ""letter","key","content"
"M","Married","Married means that two people have had a ceremony that legally binds them to each other. This marriage must be recognized under the laws of the country where it was performed and under Canadian law."
"M","Medical examination
      Related terms:
        Medical exam
        Immigration medical exam
    ","A physical examination (that could also include laboratory/radiology tests depending on age) performed by an IRCC appointed medical doctor that all immigrants and some visitors must go through before they are allowed into Canada. An applicant must be in good health and have no conditions or illnesses that:
      
        would pose a danger to Canadians or
        be very expensive to treat in Canada.
      
      See [Background check](#background_check), [Police certificate](#police_certificate).
    "
"M","Medical inadmissibility","When a person is not allowed to enter Canada for health-related reasons. For instance, the person might:
      

        pose a danger to public health,
        pose a danger to public safety or
        place [excessive demand](#excessive_demand) on health or social services.
      
    "
"M","Member of the Convention Refugees Abroad Class
      Related term:
        Convention refugee
    ","A person who has been determined to be a Convention refugee by a visa officer outside Canada."
"M","Member of the Country of Asylum Class","A person who is outside their home country or the country where they normally live and is seriously affected by civil war, armed conflict, or a massive violation of human rights."
"M","Middle school
      Related terms:
        Grade school
        Public school
        Secondary school
    ","An institution that provides educational programs for grades 7 and 8, in between elementary school and high school."
"M","Minimum necessary income
      Related term:
        Low-income cut-off
    ","The amount of income a family must earn in order to
      
        sponsor a family member to immigrate to Canada, or
        host parents or grandparents for an extended stay.
      
    "
"M","Minor child","A minor child is a child who is under the age of 18 years in the provinces of Alberta, Manitoba, Ontario, Prince Edward Island, Quebec and Saskatchewan. In all the other provinces it is the age of 19 years."
"M","Misrepresentation","When a person makes false statements, submits false information, submits false or altered documents, or withholds information relevant to their application to IRCC. This is a crime. Documents can include:
      
        Passports and travel documents;
        Visas;
        Diplomas, degrees, and apprenticeship or trade papers;
        Birth, marriage, final divorce, annulment, separation or death certificates;
        Police certificates.
      
      Lying on an application or in an interview with an IRCC officer is also an offence under the Immigration and Refugee Protection Act and the Citizenship Act.
      Misrepresentation bars a person from being granted Canadian citizenship for a period of 5 years.
      If misrepresentation is found to have occurred after someone becomes a citizen, this can result in the revocation of their citizenship and this individual must wait ten years before they can be granted citizenship again. 
    "
"M","Multiple-entry visa
      Related terms:
        Tourist visa
        Visitor visa
    ","A visa that allows someone to leave and re-enter Canada more than once during a defined period of time.
      See [Temporary Resident Visa](#temporary_resident_visa).
    ""letter","key","content"
"N","National Occupational Classification (NOC)","The National Occupation Classification (NOC) is a list of all the occupations in the Canadian labor market. It describes each job according to skill type and skill level. The NOC is used to collect and organize job statistics and to provide labour market information. It is also used as a basis for certain immigration requirements."
"N","Native language","Your native language is the original language that was taught to you as a child and spoken in your household while growing up. It is also known as your mother tongue or first language."
"N","Naturalization
      Related term:
        Grant of citizenship
    ","The formal process by which a person who is not a Canadian citizen can become a Canadian citizen. The person must usually become a permanent resident first."
"N","Non-accompanying family members
      Related term:
        Non-accompanying dependant
    ","
      Family members who are dependent on the principal applicant but who are not immigrating to Canada. They include a spouse or common-law partner, dependent children, and the children of a dependent child.
      These people must be listed on the principal applicant’s application for permanent residence. They should have a medical exam so they can remain eligible for sponsorship at a later date.
    "
"N","Non-regulated occupation","A profession or a trade you can work in without needing a licence, certificate or registration. 80% of jobs in Canada are non-regulated."
"N","Non-seasonal work ","Consistent and regularly scheduled paid employment throughout the year. It includes working schedules where pay does not stop during periods of non-work. It does not include work with periods of unemployment where the worker receives employment insurance throughout any part of the year."
"N","North American Free Trade Agreement (NAFTA)
      Related term:
        Intra-company transferee
    ","
      An agreement between Canada, the United States and Mexico. Under it, citizens of each country can enter the other more easily for business.
      NAFTA applies to four types of business people:
      
        business visitors,
        professionals,
        people transferred within a company to work in Canada, and
        traders and investors.
      
    ""letter","key","content"
"O","Oath of citizenship","A declaration that a person will:
      
        be loyal to the Queen,
        obey Canada’s laws and customs, and
        fulfill the duties of a Canadian citizen.
      
      In order to become citizens, people aged 14 or over must take the oath. Reciting the oath is the final requirement for Canadian citizenship.
      See [Citizenship ceremony](#citizenship_ceremony), [Citizenship judge](#citizenship_judge).
    "
"O","Offence
      Related term:
        Crime
    ","An offence is any violation of a Canadian law or act, whether or not it occurs in Canada. It can include anything from trespassing or damaging property to immigration fraud or violent crime. There are two main types:
      
        Summary offences — These are less serious. The maximum penalty for a summary offence is usually a $5,000 fine and/or six months in jail.
        Indictable offences — These are more serious and include theft over $5,000, break and enter, aggravated sexual assault and murder. Maximum penalties vary and include life in prison. Some have minimum penalties.
      
    "
"O","One-year window provision","This allows resettled refugees in Canada to be reunited with immediate family members that are still overseas. Immediate family members are spouses, common-law partners and dependent children. To be eligible for this provision, an application must be made within one year of the resettled refugee arriving in Canada."
"O","Open work permit","A type of [work permit](#work_permit) that allows a person to work for any employer in Canada, except for an employer:
      
        who is listed as ineligible on the list of employers who have failed to comply with conditions, or
        who, on a regular basis, offers striptease, erotic dance, escort services or erotic massages.
      
    "
"O","Original","The actual paper version of a document, not a photocopy or an electronic copy.""letter","key","content"
"P","Panel physician","A medical doctor appointed by IRCC to perform immigration medical examinations."
"P","Pass mark (skilled worker)","The minimum number of points an applicant must get in order to qualify for selection for programs with a points grid. The pass mark is different depending on the program.
      See [Points](#points)
    "
"P","Passport","An official travel document that identifies the person who holds it and shows their citizenship. A passport gives the holder the right to leave and return to the country that issued it. A passport is the only reliable travel document that all countries accept.
      See [Travel document](#travel_document).
    "
"P","Permanent resident
      Related terms:
        Landed immigrant
        PR
    ","A person who has legally immigrated to Canada but is not yet a Canadian citizen.
      For a more detailed definition, see the [legal definition of permanent resident](http://laws-lois.justice.gc.ca/eng/acts/I-2.5/page-1.html#h-2).
    "
"P","Permanent resident card
      Related terms:
        Maple leaf card
        PR card
    ","A wallet-sized plastic document issued to all new permanent residents (and to existing permanent residents, when requested) to confirm their status in Canada. The card includes identifying details and the signature of the person it was issued to."
"P","Permanent resident status","The position of a person who has legally immigrated to Canada but is not yet a Canadian citizen."
"P","Permanent resident visa","A document issued by an IRCC visa office overseas to a foreign national. It allows that person to travel to Canada to become a permanent resident."
"P","Personal net worth
      Related terms:
        Net worth
        Net assets
    ","The fair market value of all assets of an applicant and their spouse or common-law partner, minus the fair market value of all their liabilities. Generally, this figure does not include personal assets, such as jewellery and automobiles."
"P","Physical presence requirement (citizenship)","
      For applicants who apply on or after October 11, 2017, this is the amount of time a permanent resident must be physically present in Canada to be eligible for a grant of Canadian citizenship.
       Applicants who apply under subsection 5(1) must be physically present in Canada for at least 1,095 days in the five years immediately before the date of application. This includes time as a:
      
        permanent resident (PR)
        temporary resident (lawfully authorized to remain in Canada)
        protected person 
      
      These requirements do not apply to children under 18 years old who apply under subsection 5(2).
      [Exceptions](http://www.cic.gc.ca/english/helpcentre/answer.asp?qnum=370&top=5) apply for certain Crown servants and certain family members of Crown servants. 
    "
"P","Points","
      Refers to two things:
      
        the scoring system used to assess eligibility for [federal skilled workers](#federal_skilled_worker) and self-employed immigrants. Points are earned for six factors: education, English and/or French skills, work experience, age, arranged employment in Canada, and adaptability. A person must have a minimum number of points to qualify in each category.
        the unit of measurement used in the [Comprehensive Ranking System](#crs) to score [Express Entry](#ee) candidates.
      
      See [Pass mark](#pass_mark)
    "
"P","Police certificate
      Related terms:
        Police clearance certificate
        Certificate of good conduct
        Judicial record extract
    ","An official copy of a person’s criminal record, or a declaration that they do not have a criminal record. Police authorities or government departments issue such certificates. Authorities use them to confirm whether visa applicants are criminally inadmissible.
      See [Background check](#background_check), [Medical examination](#medical_examination).
    "
"P","Pool","
      People who meet certain criteria are put into one or more pools of candidates. This is a group of people that we may invite to apply for: 
      
        a work permit for [International Experience Canada](#international_experience_canada) or
        permanent residence through [Express Entry](#ee).
      
      See: Express Entry, International Experience Canada
    "
"P","Port of entry","A place where a person may seek entry into Canada, such as at an airport, land or marine border crossing."
"P","Post-graduation work permit"," A document issued by IRCC to eligible foreign students who have:
      
        graduated from an approved program of study at an eligible post-secondary institution in Canada that is participating in the [Post-Graduation Work Permit Program](https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation.html)
        applied to IRCC within 90 days of completing all degree or program requirements.
      
      It allows the bearer to work legally in Canada after completing studies.
    "
"P","Post-secondary institution
      Related term:
        Higher education
    ","A stage of higher education that comes after high school. Refers to a college, university or technical school offering programs of study.
      See [University](#university), [College](#college).
    "
"P","Pre-removal risk assessment (PRRA)","A thorough process that evaluates whether a person would face persecution, torture, risk to life or risk of cruel and unusual treatment or punishment, if returned to his or her country of origin."
"P","Principal applicant","When a family applies together, one member must be the main or “principal” applicant. For example, a mother applying for permanent residence with her three children would be the principal applicant. When parents are included in an application, dependent children cannot be principal applicants."
"P","Prior learning assessment and recognition (PLAR)","This is a process that is used across Canada by schools, colleges, universities, employers and governments to formally recognize a person’s skills that they have acquired outside of formal education settings. This process allows people to have these skills assessed and possibly recognized in the form of academic credits. For more information on prior learning assessment and recognition, see the [Canadian Association of Prior Learning Assessment (Pan-Canadian)](http://capla.ca/News.php)"
"P","Privately sponsored refugee
      Related terms:
        Community Sponsor
        Group of Five
        Sponsorship Agreement Holder (SAH)
    ","A person outside Canada who has been determined to be a Convention refugee or member of the Country of Asylum class and who receives financial and other support from a private sponsor for one year after their arrival in Canada. Private sponsors are Sponsorship Agreement Holders (SAHs), Groups of Five or Community Sponsors."
"P","Probation","If you are on probation, you have been convicted of a crime or offence and have been released without having to go to a penitentiary, jail, reformatory or prison. Typically a person on probation must live under certain conditions set by the court, for example, a curfew or not allowed to take alcohol."
"P","Professional training","A type of training usually offered to a person who is already a professional in a given field. This type of training is usually recognized as meeting an official standard of an industry, association, or profession."
"P","Profile","
      An online form that people fill out to find out if they are eligible for [Express Entry](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry.html) or [International Experience Canada](https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/iec.html). Eligible people are put into one or more pools of candidates. We invite some candidates from the pools to fill out applications.
    "
"P","Prohibition","Permanent residents who have committed crimes either in Canada or outside Canada may not be eligible to become Canadian citizens for a period of time. For example, people may be considered under a prohibition and cannot get citizenship if they:
      
        are in prison, on parole or on probation in Canada, or serving a sentence outside Canada,
        have been convicted of an [indictable [[offence](#offence)](#offence)](#indictable_offence) in Canada or an offence outside Canada in the four years before applying for citizenship, or
        are charged with, on trial for, or involved in an appeal of an indictable offence in Canada, or an offence outside Canada.
      
      For a complete list of prohibitions, refer to [Situations that may prevent you from becoming a Canadian citizen](https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/become-canadian-citizen/eligibility/situtations-prevent-citizenship.html).
    "
"P","Proof of citizenship
      Related terms:
        Citizenship card
        Citizenship status
        Clarification of status
        Confirmation of status
        Citizenship certificate
    ","A document issued by the Government of Canada that confirms a person’s status as a Canadian citizen.
      See [certificate of Canadian citizenship](#certificate_of_canadian_citizenship).
    "
"P","Protected person","A person who has been determined to be a Convention refugee or person in similar circumstances by a Canadian visa officer outside Canada, a person whom the Immigration and Refugee Board of Canada has determined to be a Convention refugee or in need of protection in Canada, or a person who has had a positive pre-removal risk assessment (in most cases).
      See [Refugee claimant](#refugee_claimant).
    "
"P","Protected person status document","An official document issued by IRCC that confirms a person’s status in Canada as a protected person."
"P","Protected temporary resident","A person admitted to Canada on a temporary resident permit because a Canadian visa officer abroad has determined that they face an immediate threat to their life, liberty or physical safety."
"P","Provincial Nominee Program","A program that allows provinces and territories to nominate candidates for immigration to Canada."
"P","Provincial or territorial nominee","Someone who is nominated for immigration to Canada by a provincial or territorial government that has a [Provincial Nominee Program](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees.html). Nominees have the skills, education and work experience needed to make an immediate economic contribution to the province or territory that nominates them.""letter","key","content"
"Q","Qualification recognition","A process that involves the assessment of credentials, competencies, and work experience in order to assist employers, educational institutions and professional regulatory bodies in making informed decisions."
"Q","Qualifications","The combination of credentials, knowledge, skills and work experience."
"Q","Qualifying Canadian business","For the purposes of determining whether an entrepreneur has managed and controlled a qualifying Canadian business, a qualifying Canadian business is one in which the percentage of the business controlled by the entrepreneur meets at least 2 of the following thresholds in one year:
      
        full-time job equivalents are equal to or greater than two,
        total annual sales are equal to or greater than $250,000,
        net income in the year is equal to or greater than $25,000, and
        net assets at the end of the year is equal to or greater than $125,000.
      
    "
"Q","Qualifying business","For the purposes of meeting [business experience](#business_experience) requirements as an entrepreneur or investor applicant, a qualifying business is one in which the percentage of the business controlled by the applicant meets at least 2 of the following thresholds in one year:
      
        full time job equivalents are equal to or greater than two,
        total annual sales are equal to or greater than $500,000,
        net income in the year is equal to or greater than $50,000, and
        net assets at the end of the year is equal to or greater than $125,000.
      
    ""letter","key","content"
"R","Reaffirmation ceremony","A formal event where Canadian citizens express their commitment to Canada by repeating the oath of citizenship."
"R","Recall of citizenship certificate","The process by which a person may be required to surrender their certificate if there is reason to believe that the person may not be entitled to the certificate or has violated any of the provision of the Act."
"R","Record of landing (IMM 1000)","An official document once issued to a person when they arrived in Canada as a permanent resident. Canada stopped issuing records of landing on June 28, 2002.
      See [Confirmation of permanent residence](#confirmation_of_permanent_residence_number), [Permanent resident card](#permanent_resident_card)
    "
"R","Record suspension","A record suspension (formerly a pardon) allows people who were convicted of a criminal offence, but have completed their sentence and demonstrated they are law-abiding citizens for a prescribed number of years, to have their criminal record kept separate and apart from other criminal records.
      See [Criminal inadmissibility](#criminal_inadmissibility), [Criminal rehabilitation](#criminal_rehabilitation), [Deemed rehabilitation](#deemed_rehabilitation).
    "
"R","Refugee and Humanitarian Resettlement Program","The Government of Canada’s program under which refugees from abroad, who meet Canada’s refugee resettlement criteria, are selected and admitted to Canada."
"R","Refugee claimant","A person who has applied for refugee protection status while in Canada and is waiting for a decision on his/her claim from the Immigration and Refugee Board of Canada.
      See [Protected person](#protected_person).
    "
"R","Refugee dependant","A family member of a refugee in Canada, whose application for permanent residence is processed at the same time as the principal applicant’s."
"R","Refugee landed in Canada","A permanent resident who applied for and received permanent resident status in Canada after their refugee claim was accepted."
"R","Refugee protection status","When a person, inland or overseas is determined to be a Convention refugee or protected person, they are said to have refugee protection status in Canada. Refugee protection is given to a person in accordance with the Immigration and Refugee Protection Act."
"R","Refugee travel document","A document for people in Canada with protected-person status to use for travel outside Canada. This includes refugees and people who have received a positive Pre-Removal Risk Assessment.
      It can be used to travel anywhere except the country the person is a citizen of or the country of claimed persecution.
    "
"R","Regulated Occupation","A profession that sets its own standards of practice. If you want to work in a regulated occupation and use a regulated title, you must have a licence or a certificate, or be registered with the regulatory body for your occupation. Sometimes an occupation is regulated in some provinces or territories but not in others. 20% of jobs in Canada are regulated."
"R","Regulatory body","
      An organization that sets the standards and practices of a regulated occupation.
      Within each province and territory, a regulatory body exists for each regulated occupation.
    "
"R","Rehabilitation","A process by which a person can overcome criminal inadmissibility.
      See [Deemed rehabilitation](#deemed_rehabilitation), [Criminal rehabilitation](#criminal_rehabilitation).
    "
"R","Relationship of convenience
      Related term:
        Marriages of convenience
    ","A marriage, common-law relationship, conjugal partnership or adoption that is not genuine, or was entered into for status or privilege in Canada. People in these relationships are not members of the family class."
"R","Relative","A person who is related to another person by blood or adoption."
"R","Relevant experience","When applying to immigrate as a [self-employed person](#self_employed_person), relevant experience means:
      
        at least two one-year periods of experience in the period from five years before the application date to the day a decision is made on the application.
      
      Experience must be in one of these areas:
      
        self-employment in cultural activities or athletics or,
        participating in cultural activities or athletics at the world-class level
      
    "
"R","Removal order","When an immigration official orders a person to leave Canada. There are three types of removal orders (departure, exclusion and deportation) and each one has different consequences."
