letter,key,content,,
C,Clean Air Device,"
       Stand-alone equipment for treating and distributing clean air to achieve
      defined environmental conditions.  ",,
C,Clean Air Projector ,"
       Fan and filter unit used to locally clean room air and deliver it to a
      desired location. Often called a fan/filter unit.  ",,
C,Clean Area,"
       An area where particulate and microbial levels are specified (e.g.,
      Filling Room - Class 10,000 ""In Operation"")  ",,
C,Clean In Place (CIP),"
       (also see: CIP (Clean In Place))  ",,
C,Cleanroom,"
       A specially constructed space environmentally controlled with respect to
      airborne particles (size and count), temperature, humidity, air pressure,
      airflow patterns, air motion, and lighting. ISO 14644-1 defines it as ""a
      room in which the concentration of airborne particles is controlled, and
      which is constructed and used in a manner to minimize the introduction,
      generation, and retention of particles inside the room, and in which other
      relevant parameters, e.g. temperature, humidity, and pressure, are
      controlled as necessary."" (also see Table I, Section II - Comparison
      of Airborne Particulate Cleanliness Classes)   ",,
C,Cleanroom Classification,"
       The maximum number of particles greater than or equal to 0.5µm in
      diameter that may be present in a cubic foot of room air.
       ",,
C,Clean Space,"
       A room or volume controlled to meet a certain airborne particulate limit
      (Class or Grade). In pharmaceutical facilities, clean spaces are usually
      classified and controlled only for aseptic processing facilities, but may
      also be defined for certain biotech processes. Final non-sterile bulk
      facilities, oral product, most topical product manufacturing facilities,
      and warehouses are normally not classified as clean spaces.  ",,
C,Clean Steam,"
       Steam free from boiler additives that may be purified, filtered, or
      separated. When condensed, clean steam meets the specification for WFI.
      Usually utilized to sterilize process equipment.  ",,
C,Clean Zone,"
       ISO 14644-1 defines it as ""a dedicated space in which the
      concentration of airborne particles is controlled, and which is
      constructed and used in a manner to minimize the introduction, generation,
      and retention of particles inside the zone and in which other relevant
      parameters, e.g. temperature, humidity, and pressure, are controlled as
      necessary"". Additionally, ISO 14644-1 states, ""this zone may be
      open or enclosed and may or may not be located within a cleanroom"".  ",,
C,Cleavage,"
       The splitting up of a complex molecule into two or more simpler
      molecules. The series of cell divisions occurring in the ovum immediately
      following its fertilization.  ",,
C,Clinical Endpoint,"
       An indicator (such as blood pressure) measured in a human subject to
      asses the safety, efficacy, or other objective of a clinical trial.  ",,
C,Clinical Hold,"
       The temporary cessation of a clinical trial by FDA if the agency is
      concerned about a drug or study protocol. The trial may resume when the
      problem is solved.  ",,
C,Clinical Trials,"
       Testing of INDs (Investigational New Drugs) in human subjects to prove
      safety and efficacy prior to the drug's approval for marketing. The
      investigation of a previously untested drug is generally divided into
      three phases: 
    
    
      1. Phase I: Introducing the product (or drug) into a small number,
        generally 20 to 80, patients or healthy volunteers to determine the
        drug's metabolism, pharmacological actions, and side effects associated
        with increasing doses.
      2. Phase II: introducing the product (or drug) into a small number,
        generally no more than several hundred, patients with the disease or
        condition under study to evaluate the effectiveness of the drug, common
        short-term side effects and risks associated with its use.
      3. Phase III: Introducing the product (or drug) into several hundred
        to several thousand subjects. Studies are expanded controlled and
        uncontrolled trials performed after preliminary evidence suggesting
        effectiveness of the drug has been obtained. If the results of the Phase
        III Clinical Trials are favorable, then the FDA will normally license
        the drug for manufacture and sale. This phase is usually performed using
        double blind studies with a placebo and the actual drug.
      4. Phase IV: Ongoing testing studies conducted after the drug is
        approved. This is done to ensure the long-term efficacy of the drug,
        detect any long-term beneficial and/or detrimental side effects, and to
        determine additional potential uses for the drug
    
    
      ",,
C,Clone,"
       A population of genetically identical cells derived from the
      multiplication of a single cell. It is the basis of rDNA and monoclonal
      antibody production.  ",,
C,Clone,"
       A group of individuals produced from one individual through asexual
      processes that do not involve the interchange or combination of genetic
      material. As a result, members of a clone have identical genetic
      compositions. Protozoa and bacteria, for example, frequently reproduce
      asexually by a process called binary fission. In binary fission, a
      single-celled organism undergoes cell division and the result is two cells
      with identical genetic composition. Next, these two identical cells
      undergo division and the result is four cells with identical genetic
      composition. These identical offspring are all members of a clone.  ",,
C,Cloning,"
       Using specialized DNA technology (also see: Cloning Vector) to produce
      multiple, exact copies of a single gene or other segment of DNA to obtain
      enough material for further study. This process is used by researchers in
      the Human Genome Project, and is referred to as cloning DNA. The resulting
      cloned (copied) collections of DNA molecules are called clone libraries. A
      second type of cloning exploits the natural process of cell division to
      make many copies of an entire cell. The genetic makeup of these cloned
      cells, called a cell line, is identical to the original cell. A third type
      of cloning produces complete, genetically identical animals such as the
      famous Scottish sheep, Dolly.  ",,
C,Cloning Vector,"
       DNA molecule originating from a virus, a plasmid, or the cell of a higher
      organism into which another DNA fragment of appropriate size can be
      integrated without loss of the vectors capacity for self-replication;
      vectors introduce foreign DNA into host cells, where it can be reproduced
      in large quantities. Examples are plasmids, cosmids, and yeast artificial
      chromosomes; vectors are often recombinant molecules containing DNA
      sequences from several sources.  ",,
C,Closed System,"
       One in which by its design and proper operation, prevents release of a
      microbiological agent or eukaryotic cell contained therein.  ",,
C,Closed System,"
       System sterilized-in-place or sterilized while closed prior to use, is
      pressure or vacuum tight to some predefined leak rate, can be utilized for
      its intended purpose without breach to the integrity of the system, can be
      adapted for fluid transfers in or out while maintaining asepsis, and is
      connectable to other closed systems while maintaining integrity of all
      closed systems. (From PDA TR-28 for sterile product manufacture)  ",,
C,Clostridium,"
       A genus of bacteria, most are obligate anaerobes and form endospores.  ",,
C,cM,"
       (also see: Centimorgan)  ",,
C,Coagulation,"
       Adding insoluble compounds to water to neutralize the electrical charge
      on colloids, causing them to coalesce to form larger particles that can be
      removed by settling.
       ",,
C,Coaguligand,"
       A VTA (Vascular Targeting Agent) that utilizes a human coagulation
      protein to induce tumor blood vessel clotting.  ",,
C,Coccus,"
       A bacterium of round, spheroidal, or ovoid form, including micrococcus,
      staphylococcus, streptococcus, and pneumococcus.  ",,
C,COD (Chemical Oxygen Demand),"
       The amount of oxygen needed to completely oxidize all oxidizable organic
      and inorganic substances in water.  ",,
C,Coding Sequence,"
       The region of a gene (DNA) that encodes the amino acid sequence of a
      protein.  ",,
C,Coenzyme,"
       A non-polypeptide molecule required for the action of certain enzymes;
      often contains a vitamin as a component.
      ",,
C,Cofactor,"
       Small molecular weight, heat stable inorganic or organic substance
      required for the action of an enzyme.  ",,
C,Coliform Bacteria,"
       A group of bacteria found in mammalian intestines and soil, used as a
      measure of fecal pollution in water. They are easy to identify and count
      in the laboratory because of their ability to ferment lactose.  ",,
C,Colonoscopy,"
       Examination of the colon through a flexible, lighted instrument called a
      colonoscope.  ",,
C,Colony,"
       A growth of microorganisms on a solid medium. The growth is visible
      without magnification.  ",,
C,Collagen,"
       An albuminoid present in connective tissue, bone (ossein), and cartilage
      (chondrin), notable for its high content of the imino acids proline and
      hydroproxilone. On boiling with water it is converted into gelatin.  ",,
C,Collateral Targeting,"
       The therapeutic strategy of targeting structures and cell types other
      than cancer cells common to all solid tumors as a means to attack a solid
      tumor.  ",,
C,Colloid,"
       A translucent, yellowish material of the consistency of glue, less fluid
      than mucoid or mucinoid, found in the cells and tissues in a state of
      colloid degeneration or colloid carcinoma.
       A substance, such as gelatin or cytoplasm that because of the size of its
      molecules, is slowly diffusible rather than soluble in water and is
      incapable of passing through an animal membrane.  ",,
C,Colloids,"
       Particles so fine they will not settle without prior coagulation. They
      range from 10 Å to 1,000 Å (Angstroms). They have a net
      negative charge and readily clog membranes and foul resin beds. Examples
      are bacteria, silica, and clay.  ",,
C,"CMC (Chemistry, Manufacturing, and Controls)","
       The section on a BLA (Biologics License Application) or IND
      (Investigational New Drug) describing the composition, manufacture, and
      specifications of a drug product and its ingredients.  ",,
C,Combustible Dust,"
       Any finely divided solid material that is 420µ or 0.017 inches or
      less in diameter, or any material capable of passing through an US No. 40
      standard sieve that when dispersed in air in the proper proportions, could
      be ignited by a flame, spark or other source of ignition.  
      ",,
C,"
      ",,,
C,Combustible Liquid,"
       A liquid having a closed cup flash point at or above 100?F (37.8?C).
      Combustible liquids do not include compressed gases or cryogenic fluids.
      Combustible liquids are subdivided as follows: 
    
    
      1. Class II - Liquids having a closed cup flash point at or above 100?F
        (37.8?C) and below 140?F (60?C)
      2. Class III-A - liquids having a closed cup flash point at or above
        140?F (60?C) and below 200?F (93.3?C)
         Class III-B - liquids having a closed cup flash point at or above 200?F
        (93.3?C).
    
    
      ",,
C,Commissioning,"
       A prescribed number of activities designed to take equipment and systems
      from static, substantially complete state to an operable state.  ",,
C,Commissioning,"
       The documented process, verifying that equipment and systems are
      installed according to specifications, placing the equipment and systems
      into active service and verifying its proper operation. Commissioning is
      done for good business, but can include many Qualification activities.  ",,
C,Complementary DNA (cDNA),"
       DNA that is synthesized from a messenger RNA template; the
      single-stranded form is often used as a probe in physical mapping.  ",,
C,Complementary Sequence,"
       Nucleic acid base sequence that can form a doublestranded structure by
      matching base pairs with another sequence; the complementary sequence to
      GTAC is CATG.  ",,
C,Compounding,"
       The bringing together of excipient and solvent components into a
      homogeneous mix of active ingredients.  ",,
C,Compressed Gas,"
       A material, or mixture of materials that are either liquefied,
      nonliquefied, or in solution having a boiling point of 68?F (20?C)
      or less at 14.7 psia (101.3 kPa) of pressure. The exceptions to this rule
      are those gases that have no health or physical hazard properties. These
      gases are not considered compressed until the pressure in their packaging
      exceeds 41 psia (282.5 kPa) at 68?F (20?C).  ",,
C,Computer Controlled System,"
       Computer system plus its controlled function.  ",,
C,Computer Related System,"
       Computerized system plus its operating environment.  ",,
C,Computer System,"
       A group of hardware components and associated software designed and
      assembled to perform a specific function or group of functions.  ",,
C,Computerized System,"
       A process or operation integrated with a computer system.  ",,
C,Concavity (welding),"
       A condition in which the surface of a welded joint is depressed relative
      to the surface of the tube or pipe. Concavity is measured as a maximum
      distance from the outside or the inside diameter surface of a welded joint
      along a line perpendicular to a line joining the weld toes.
       ",,
C,Concentration Polarization,"
       The phenomenon in ultrafiltration (UF) in which solutes form a dense,
      polarized layer next to the membrane surface eventually blocking further
      flow. UF systems counteract this by continuously flushing the solute away
      from the membrane surface.  ",,
C,Concurrent Process Validation,"
       Establishing documented evidence that a process does what it purports to
      do based on information generated during actual implementation of the
      process.  ",,
C,Condensate,"
       Distillate just after it has been cooled from steam into the liquid
      state.  ",,
C,Condenser,"
       The heat exchanger used in distillation to cool steam in order to convert
      it from the vapor to the liquid state.  ",,
C,Conductivity,"
       The reciprocal of resistivity (C=1/R). A measure of the ability to
      conduct an electric current. Since ionized impurities increase the
      conductivity of water, it is also an accurate measure of ionic purity.
      Conductivity is normally expressed in micromhos/cm (µmho/cm) or
      microsiemens/cm (µS/cm). To measure it, current is passed between two
      electrodes a fixed distance apart.  ",,
C,Configurable Software,"
       Commercial, off-the-shelf software that can be configured to specific
      user applications without altering the basic program.  ",,
C,Configuration,"
       The three-dimensional shape or form of a macromolecule.  ",,
C,Conformation,"
       The characteristic three-dimensional shape (tertiary structure) of a
      macromolecule.  ",,
C,Conjugated Protein,"
       A protein containing a metal or an organic prosthetic group or both.
      Hemoglobin is a conjugated protein.  ",,
C,Consent Decree,"
       The result of a serious violation of federal regulations and related
      safety and quality standards. A company must agree to a series of measures
      aimed at bringing its manufacturing standards in compliance with federal
      regulations. Until agreed-upon conditions are met, a company may be
      forbidden to distribute its products in interstate commerce, except for
      those products deemed essential for the public health.  ",,
C,Conserved Sequence,"
       A base sequence in a DNA molecule (or an amino acid sequence in a
      protein) that has remained essentially unchanged throughout evolution.  ",,
C,Containment,"
       The action of confining within a defined space a microbiological agent or
      other entity that is being cultured, stored, manipulated, transported, or
      destroyed in order to prevent or limit its contact with people and/or the
      environment. Methods to achieve containment include physical and
      biological barriers and inactivation using physical or chemical means.
      
    
    
      1. Primary Containment. Addresses the protection of personnel and the
        immediate laboratory environment from exposure to infectious agents. It
        involves the use of closed containers or safety biological cabinets
        along with secure operating procedures.
      2. Secondary Containment. A system of containment that prevents the
        escape of infectious agents into the environment external to the
        laboratory. It involves the use of rooms with specially designed air
        handling, the existence of airlocks and/or sterilizers for the exit of
        materials and secure operating procedures. In many cases it may add to
        the effectiveness of primary containment.
    
    
      1. Appendix G - Physical Containment specifies physical containment
        for standard laboratory experiments and defines Biosafety Level 1 (BL1)
        through Biosafety Level 4 (BL4). (also see: Biosafety Level, and Table
        II - Section II - Comparison of Good Large Scale Practice (GLSP) and
        Biosafety Level (BL) - Large Scale (LS) Practice)
      2. Appendix I - Biological Containment specifies levels of biological
        containment (host vector systems) for prokaryotes and defines Host
        Vector 1 Systems (HV1) and Host Vector 2 Systems (HV2). (also see: Host
        Vector (HV) System)
      3. Appendix K - Physical Containment for Large Scale Uses of
        Organisms Containing Recombinant DNA Molecules specifies physical
        containment guidelines for large scale (over 10 liters) research or
        production involving viable organisms containing recombinant DNA
        molecules, and defines GLSP (Good Large Scale Practice) through
        Biosafety Level 3-LS (Large Scale). (also see: Biosafety Level, and
        Table II - Section II - Comparison of Good Large Scale Practice (GLSP) 
        and Biosafety Level (BL) - Large Scale (LS) Practice)
      4. Appendix P - Physical and Biological Containment for Recombinant
        DNA Research Involving Plants specifies physical and biological
        containment conditions and practices suitable to the greenhouse conduct
        of experiments involving recombinant DNA-containing plants,
        plant-associated microorganisms, and small animals, and defines
        Biosafety Level 1-Plants (BL1-P) through Biosafety Level 4-Plants
        (BL4-P).
      5. Appendix Q - Physical and Biological Containment for Recombinant
        DNA Research Involving Animals specifies containment and confinement
        practices for research involving whole animals, both those in which the
        animal's genome has been altered by stable introduction of recombinant
        DNA, and experiments involving viable recombinant DNA-modified
        microorganisms tested on whole animals, and defines Biosafety Level
        1-Animals (BL1-N) through Biosafety Level 4-Animals (BL4-N).
    
    
      ",,
C,Contaminant,"
       Any unwanted or undesired component in a process fluid or controlled
      environment.  ",,
C,Contamination,"
       The undesired introduction of impurities of a chemical or microbiological
      nature, or of foreign matter, into or onto a raw material, intermediate,
      or API (Active Pharmaceutical Ingredient) during production, sampling,
      packaging or repackaging, storage or transport.  ",,
C,Contig,"
       Group of cloned (copied) pieces of DNA representing overlapping regions
      of a particular chromosome.  ",,
C,Contig Map,"
       A map depicting the relative order of a linked library of small
      overlapping clones representing a complete chromosomal segment.  ",,
C,Continuous Fermentation,"
       A process in which sterile medium is added without interruption to the
      fermentation system with a balancing withdrawal (or ""harvesting"")
      of broth for product extraction. The length of fermentation can be
      measured in weeks or months. Commercial applications of continuous
      fermentation are limited in number, with ethanol production by yeast the
      most important example.  ",,
C,Contract Manufacturer,"
       A company holding an agreement requiring the performance of some aspect
      of API manufacturing  ",,
C,Control Area,"
       A building or portion of a building within which the exempted amounts of
      hazardous materials may be stored, dispensed, handled, or used.  ",,
C,Control Group,"
       The group of subjects in a controlled study that receives no treatment,
      receives a standard treatment, or receives a placebo.   ",,
C,Control Parameters,"
       Those operating variables that can be assigned values and are used as
      control levels.  ",,
C,Control Serum,"
       Serum used as a standard for clinical chemistry lab tests. Most often
      produced from outdated whole blood plasma. Most often turbid and difficult
      to filter
       ",,
C,Controlled Area,"
       An area constructed and operated in such a manner that some attempt is
      made to control the introduction of potential contamination, and the
      consequences of accidental release of living organisms. The level of
      control exercised should reflect the nature of the organism employed in
      the process. At a minimum, the area should be maintained at a pressure
      negative to the immediate external environment and allow for the efficient
      removal of small quantities of airborne contaminants.  ",,
C,Controlled Area,"
       Area of restricted access. A term for areas and rooms adjoining a
      critical area in aseptic production facilities.  ",,
C,Conventional Drugs,"
       New compounds made up by chemical synthesis or fermentation. These are
      termed by the FDA as NCEs (New Chemical Entities). The FDA rates
      conventional drugs with important therapeutic gain as 1-A drugs, for
      priority review. For example, AIDS drugs are conventional drugs approved
      for AIDS or AIDS-associated conditions.  ",,
C,Conventional Flow Cleanroom,"
       A room supplied with filtered air with no specified requirement for
      uniform airflow patterns or velocity. Airflow patterns are usually
      turbulent.  ",,
C,Converted Data,"
       Any original data that has been entered into a user-developed application
      (spreadsheet, database, report, etc.) for manipulation, evaluation, or
      review.  ",,
C,Convexity,"
       A condition in which the surface of a welded joint is extended relative
      to the surface of the tube or pipe. Convexity is measured as a maximum
      distance from the outside or inside diameter surface of a welded joint
      along a line perpendicular to a line joining the weld toes.  ",,
C,Corn Steep Liquor,"
       An ingredient in the culture medium for producing penicillin. A natural
      nitrogenous material that is a by-product of the corn milling industry.  ",,
C,Corrosive,"
       A chemical that causes visible destruction or irreversible alterations in
      living tissue by chemical action at the site of contact. A chemical is
      considered corrosive if, when tested on the intact skin of albino rabbits
      by the method described in Appendix A of CFR 49 Part 173, it destroys or
      changes irreversibly the structure of the tissue at the site of contact
      following an exposure period of four hours. This term shall not refer to
      action on inanimate surfaces.  ",,
C,Corrosive Liquid,"
       A liquid which when in contact with living tissue, will cause destruction
      or irreversible alteration of such tissue by chemical action. Examples
      include acidic, alkaline, or caustic materials.  ",,
C,Cosmid,"
       Artificially constructed cloning vector containing the cos gene of phage
      lambda. Cosmids can be packaged in lambda p0hage particles for infection
      into E. coli: this permits cloning of larger DNA fragments (up to 45kb)
      that can be introduced into bacterial hosts in plasmid vectors.  ",,
C,CP (Cyclic Polarization),"
       An electrochemical test (ASTM G61) for metals that measures the point at
      which pitting corrosion begins. CP uses an electrolytic cell to directly
      measure the corrosion rate. By using the test piece as the working
      electrode, initiation of localized corrosion is shown by the potential at
      which the current density increases rapidly. This point is called the ""pitting
      potential"". The lower the current density at this point, the more
      resistance to pitting corrosion. The current density is measured in
      micro-amps per square centimeter.  ",,
C,Critical,"

       A material, process step, or process condition, test requirement, or any
      other relevant parameter is considered critical when non-compliance with
      predetermined criteria directly influences the quality attributes of the
      API (Active Pharmaceutical Ingredient) in a detrimental manner.  ",,
C,Critical Area,"
       An area where (sterile) product or contact surface is exposed, normally
      Class 100 (e.g., Point of Fill).
       ",,
C,Critical Device,"
       A device that directly ensures that a GMP Critical Parameter is
      maintained within predetermined limits (e.g., terminal HEPA filter, point
      of use filter). A malfunction of such a device would place product quality
      directly at risk.  ",,
C,Critical Instrument,"
       An instrument that measures a GMP Critical Parameter, used to monitor and
      document that parameter.  ",,
C,Critical Parameter,"
       A GMP or product quality parameter (e.g., differential pressure,
      unidirectional airflow pattern) that must be maintained within predefined
      limits to ensure product SISPQ (Strength, Identity, Safety, Purity, or
      Quality).  ",,
C,Critical Point,"
       The combination of pressure and temperature at which the gas and liquid
      phases of a substance become indistinguishable.  ",,
C,Critical Process Step,"
       For sterile products, this normally is an activity where product or
      product contact parts are exposed to the surrounding environment.  ",,
C,Critical Step(s),"
       The point or points in the process which, if not carried out properly or
      if contaminated, will not allow drug substances to be made such that they
      will meet their intended characterizations and impurity profiles.  ",,
C,Critical Surface,"
       The part of the working surface to be protected from particulate
      contamination. It is within the Critical Zone.  ",,
C,Critical System,"
       A structural, mechanical, or electrical system that can impact the
      processing parameters and attributes of the finished product or regulatory
      study. Critical systems may include utilities, process equipment, and
      systems.  ",,
C,Cross Contamination,"
       The measurable and detrimental contamination of a material or product
      with another material or product.  ",,
C,Crossing Over,"
       The breaking during meiosis of one maternal and one paternal chromosome,
      the exchanging of corresponding sections of DNA, and the rejoining of the
      chromosomes. This process can result in an exchange of alleles between
      chromosomes.
       ",,
C,Cryogenic Liquid,"
       A fluid that has a normal boiling point below -150?F (-101.1?C).  ",,
C,Cryptography,"
       The mathematical science of deliberately scrambling and unscrambling
      information. Information is protected by being transformed (encrypted)
      into an unreadable format, called cipher text. Only those who posses a
      secret key can decypher (or decrypt) that message into plain text.  ",,
C,Culture Medium,"
       Any nutrient system for the artificial cultivation of bacteria or other
      cells; usually a complex mixture of organic and inorganic materials. 
      current Good Manufacturing Practices (cGMP's)
      ",,
C,Cut,"
       An enzymatic break that occurs in both strands of a DNA molecule opposite
      one another by restriction enzymes.  ",,
C,Cystic Fibrosis,"
       An inherited disease in which thick mucus clogs the lungs and blocks the
      ducts of the pancreas.  ",,
C,Cytokine,"
       A protein that acts as a chemical messenger to stimulate cell migration,
      usually toward where the protein is released. Interlukins, lymphokines,
      and interferons are the most common.  ",,
C,Cytolysis,"
       The dissolution of cells particularly by destruction of their cell
      membrane.  ",,
C,Cytopathic,"
       Damaging to cells.  ",,
C,Cytoplasm,"
       The protoplasmic contents of the cell outside the nucleus in which the
      cell's organelles are suspended.  ",,
C,Cytosine (C),"
       A pyrimidine occurring as a fundamental unit or base of nucleic acids.  ",,
C,Cytostatic Agents,"
       Therapeutics that inhibit cell division and growth. This term can refer
      to machinery, such as those that would freeze cells.  ",,
C,Cytotoxic,"
       Poisonous to cells.  ",,
C,Cytotoxicity,"
       The ability of a substance or compound to cause a cytotoxic effect. 
          


""letter",key,content
D,"
",,,
D,D5W (5 D/W),"
     One of the most prevalent of LVPs (also see: LVP (Large Volume
    Parenteral)). Five percent dextrose in water. Presence of dextrose presents
    significant filtration problems. Usually requires activated charcoal
    pretreatment.
     
    ",,
D,Dalton,"
     The unit of molecular weight, equal to the weight of a hydrogen atom.



    ",,
D,Data Integrity,"
     The validity of data and their relationships. For electronic records to be
    trustworthy and reliable, the links between raw data, metadata, and results
    must not be compromised or broken. Without data integrity, it is not
    possible to regenerate a previous result reliably.
     
    ",,
D,Data Migration,"
     The process of translating data from one system to another when a company
    replaces the current computing systems with a new one. CFR 21 Part 11
    mandates that data migration implementation create accurate and complete
    copies of the records when they are moved to a new system.
     
    ",,
D,DDC (Direct Digital Control),"
     A collection of control units (analog and discrete) connected into a data
    highway, usually with a host or alarming/recording computer attached. 
     
    ",,
D,D Value,"
     The time under a stated set of exposure conditions (temperature in an
    autoclave) required to reduce a microbial population by a factor of 90%
    (e.g. from 10,000 to 1,000).
     
    ",,
D,Dead Leg,"
     An area of entrapment in a vessel or piping run that could lead to
    contamination of the product. In a piping system, a non-flowing pocket, tee,
    or extension from a primary piping run that exceeds a defined number of pipe
    diameters from the ID of the primary pipe. Denoted by the term L/D or L/A,
    where L is equal to the leg extension perpendicular to the normal flow
    pattern or direction, A is the annular gap width, and D is equal to the ID
    (or inside dimension) of the extension or leg. In some existing standards,
    the dimension L is measured from the centerline of the primary pipe. For
    bioprocessing systems, an L/D of 2:1 is achievable with today's component
    technology for most valving and piping configurations.
     
    ",,
D,Decontamination,"
     A process that reduces contaminating substances to a defined acceptance
    level.
     
    ",,
D,Deflagration,"
     An exothermic reaction, such as the extremely rapid oxidation of a
    combustible dust or flammable vapor in air, in which the reaction progresses
    through the unburned material at a rate less than the velocity of sound. A
    deflagration can have an explosive effect.
     
    ",,
D,Degrading,"
     Deterioration of a surface finish so that pieces of the finish (or
    substrate) material large enough to be visible to the unaided eye, dislodge
    without any direct physical contact and fall from the surface of the
    material.
     
    ",,
D,Deionization,"
     Removing dissolved ions from solution by passing the solution through a bed
    of ion exchange resin, consisting of polymer beads that exchange hydrogen
    ions for cations and hydroxyl ions for anions in solution. The ionic
    impurities remain bound to the resins and the hydrogen and hydroxyl ions
    combine with each other to form water.
     
    ",,
D,Deletion Map,"
     A description of a specific chromosome that uses defined mutations -
    specific deleted areas in the genome - as ""biochemical signposts"",
    or markers for specific areas.
     
    ",,
D,De Minimis Release,"
     The release of viable microbiological agents or eukaryotic cells that does
    not result in the establishment of disease in healthy people, plants, or
    animals; or in uncontrolled proliferation of any microbiological agents or
    eukaryotic cells. 
     
    ",,
D,Dementia,"
     Severe impairment of mental functioning.
     
    ",,
D,Demineralization,"
     Sometimes used interchangeably with deionization, it refers to the removal
    of minerals and mineral salts using ion exchange. Water softening is a
    common form of demineralization.
     
    ",,
D,Denaturation,"
     The loss of the native structure of a macromolecule resulting, from heat
    treatment, extreme pH changes, chemical treatment, etc. It is accompanied by
    loss of biological activity. For example, proteins may be denatured by heat,
    pH extremes, or addition of agents such as urea or guanidinium
    hydrochloride.
     
    ",,
D,Dent,"
     A typical stainless steel interior surface anomaly that refers to a large,
    smooth-bottomed depression whose diameter or width is greater than its depth
    and which will not produce an indication.
     
    ",,
D,Deoxyribonucleotide,"
     
     
    ",,
D,Depyrogenation,"
     The removal or destruction of endotoxins.
     
    ",,
D,Desalination,"
     The removal of dissolved salts from brine to produce potable water.
     
    ",,
D,Design Condition,"
     The specified range or accuracy of a controlled variable used by the
    designer to determine performance requirements of an engineered system. 
     
    ",,
D,Design Specification,"
     A specification that defines the design of a system or system component. 
     
    ",,
D,Desiccant,"
     Chemical salt used to dehumidify air, to control moisture in materials
    contacting that air.
     
    ",,
D,Desiccators,"
     Closed containers, usually made of glass or plastic, with an airtight seal
    used for drying materials.
     
    ",,
D,Detonation,"
     An exothermic reaction characterized by the presence of a shock wave in a
    material that establishes and maintains the reaction. The reaction zone
    progresses through the material at a rate greater than the velocity of
    sound. The principal heating mechanism is one of shock compression.
    Detonations have an explosive effect. 
     
    ",,
D,Deuteromycetes,"
     Molds that cannot reproduce by sexual means. Some pathogenic fungi such as
    Trichophyton, which causes athlete's foot, belong to this family.
     
    ",,
D,DHL Vaccine,"
     A tri-valent vaccine. Also, the most common veterinary vaccine that has a
    combination of viral and bacterial vaccines. Used for distemper, hepatitis
    (canine), and leptospira. 
     
    ",,
D,Diagnostic,"
     A substance or group of substances used to identify a disease by analyzing
    the cause and symptoms.
     
    ",,
D,Dialysis,"
     The separation of low-molecular weight compounds from high molecular weight
    components by diffusion through a semipermeable membrane. Frequently
    utilized to remove salts, introduce salts, remove biological effectors such
    as nicotinamide adenine dinucleotides, nucleotides phosphates, etc. from
    polymeric molecules such as protein, DNA, RNA, etc. Commonly used membranes
    have a molecular weight cutoff around 10,000 but other membrane pore sizes
    are available.
     
    ",,
D,Diatom,"
     Any minute, unicellular or colonial algae of the class Bacillariophyceae
    having siliceous cells walls consisting of two overlapping symmetrical
    parts.
     
    ",,
D,"Diatomaceous Earth, Diatomite, Kiselguhr (DE)","
     Fine silicaceous powder used as a filter aid.
     
    ",,
D,Diffusion,"
     The random thermal motion of particles, which causes them to flow from a
    region of higher concentration to one of lower concentration until they are
    uniformly distributed.
     
    ",,
D,Digestion,"
     The enzymatic hydrolysis of major nutrients in the gastrointestinal system
    to yield their building-block components.
     
    ",,
D,Digital,"
     A series of on and off pulses arranged to convey information.
     
    ",,
D,Digital Certificate,"
     An attachment to an electronic message used for security purposes. The most
    common use of a digital certificate is to verify that a user sending a
    message is who he or she claims to be and to provide the receiver with the
    means to encode a reply.
     
    ",,
D,Digital Representation,"
     Biometric parameters such as a fingerprint or retinal pattern are turned
    into data that a computer understands: the digital representation of the
    biometric. The pattern in the biometric divides it into a grid of boxes, and
    a zero or a one, depending on whether the box is filled in, marks each box.
     
    ",,
D,Digital Signature,"
     An electronic signature based upon cryptographic methods of originator
    authentication, computed by using a set of rules and a set of parameters
    such that the identity of the signer and the integrity of the data can be
    verified.
     
    ",,
D,Dilution,"
     Lowering the concentration of a solution by adding more solvent.
     
    ",,
D,Dilution Factor,"
     The ratio of solvent to solute by volume.
     
    ",,
D,Diploid,"
     A full set of genetic material, consisting of paired chromosomes one
    chromosome from each parental set. Most animal cells except the gametes have
    a diploid set of chromosomes. The diploid human genome has 46 chromosomes.
     
    ",,
D,Diplophase,"
     A phase in the life cycle of an organism where the organism has two copies
    of each gene. The organism is said to be diploid.
     
    ",,
D,Direct Impact System,"
     An engineering system that may have a direct impact on product quality. 
     
    ",,
D,Disaster,"
     Any event (i.e. fire, earthquake, power failure etc.), which could have a
    detrimental effect upon an automated system or its associated information. 
     
    ",,
D,Discoloration (welding),"
     Any change in surface color from that of the base metal. Usually associated
    with oxidation occurring on the weld and heat affected zone (HAZ) on the
    outside diameter and inside diameter of the weld joint as a result of
    heating the metal during the welding. Colors may range from pale bluish-gray
    to deep blue, and from pale straw color to a black crusty coating.
     
    ",,
