INGREDIENT_NAME,ROUTE,DOSAGE_FORM,CAS_NUMBER,UNII,POTENCY_AMOUNT,POTENCY_UNIT,MAXIMUM_DAILY_EXPOSURE,MAXIMUM_DAILY_EXPOSURE_UNIT,RECORD_UPDATED
FD&C YELLOW NO. 5 ALUMINUM LAKE,ORAL,"TABLET, EXTENDED RELEASE",2237234841,JQ6BLH9FR7,,,28,mg,
FD&C YELLOW NO. 5 ALUMINUM LAKE,ORAL,"TABLET, FILM COATED",2237234841,JQ6BLH9FR7,10,mg,,,
FD&C YELLOW NO. 5 ALUMINUM LAKE,ORAL,"TABLET, ORALLY DISINTEGRATING",2237234841,JQ6BLH9FR7,1.2,mg,,,
FD&C YELLOW NO. 5 ALUMINUM LAKE,SUBLINGUAL,TABLET,2237234841,JQ6BLH9FR7,0.03,mg,,,
FD&C YELLOW NO. 6,BUCCAL,MOUTHWASH,2783940,H77VEI93A8,0.01,mg/1ml,,,
FD&C YELLOW NO. 6,BUCCAL,TABLET,2783940,H77VEI93A8,1,mg,,,
FD&C YELLOW NO. 6,ORAL,CAPSULE,2783940,H77VEI93A8,,,7,mg,
FD&C YELLOW NO. 6,ORAL,"CAPSULE, COATED",2783940,H77VEI93A8,0.03,mg,,,
FD&C YELLOW NO. 6,ORAL,"CAPSULE, COATED PELLETS",2783940,H77VEI93A8,,NA,,,
FD&C YELLOW NO. 6,ORAL,"CAPSULE, COATED, EXTENDED RELEASE",2783940,H77VEI93A8,,NA,,,
FD&C YELLOW NO. 6,ORAL,"CAPSULE, DELAYED RELEASE",2783940,H77VEI93A8,0.02,mg,,,
FD&C YELLOW NO. 6,ORAL,"CAPSULE, EXTENDED RELEASE",2783940,H77VEI93A8,4.59,mg,,,
FD&C YELLOW NO. 6,ORAL,"CAPSULE, LIQUID FILLED",2783940,H77VEI93A8,,,1,mg,
FD&C YELLOW NO. 6,ORAL,CONCENTRATE,2783940,H77VEI93A8,0.03,mg/5ml,,,
FD&C YELLOW NO. 6,ORAL,DROPS,2783940,H77VEI93A8,0.2,mg/1ml,,,
FD&C YELLOW NO. 6,ORAL,ELIXIR,2783940,H77VEI93A8,5.4,mg/5ml,,,
FD&C YELLOW NO. 6,ORAL,LIQUID,2783940,H77VEI93A8,0.2,mg/1ml,,,
FD&C YELLOW NO. 6,ORAL,POWDER,2783940,H77VEI93A8,20,mg,,,
FD&C YELLOW NO. 6,ORAL,"POWDER, FOR SOLUTION",2783940,H77VEI93A8,,,40,mg,
FD&C YELLOW NO. 6,ORAL,"POWDER, FOR SUSPENSION",2783940,H77VEI93A8,,,6,mg,
FD&C YELLOW NO. 6,ORAL,SOLUTION,2783940,H77VEI93A8,75.3,mg/15ml,,,
FD&C YELLOW NO. 6,ORAL,SUSPENSION,2783940,H77VEI93A8,,,11,mg,
FD&C YELLOW NO. 6,ORAL,"SUSPENSION, EXTENDED RELEASE",2783940,H77VEI93A8,0.12,mg/5ml,,,
FD&C YELLOW NO. 6,ORAL,SYRUP,2783940,H77VEI93A8,4,mg/5ml,,,
FD&C YELLOW NO. 6,ORAL,TABLET,2783940,H77VEI93A8,60.02,mg,,,
FD&C YELLOW NO. 6,ORAL,"TABLET, CHEWABLE",2783940,H77VEI93A8,0.41,mg,,,
FD&C YELLOW NO. 6,ORAL,"TABLET, COATED",2783940,H77VEI93A8,3.17,mg,,,
FD&C YELLOW NO. 6,ORAL,"TABLET, DELAYED RELEASE",2783940,H77VEI93A8,,,2,mg,
FD&C YELLOW NO. 6,ORAL,"TABLET, EXTENDED RELEASE",2783940,H77VEI93A8,,,8,mg,
FD&C YELLOW NO. 6,ORAL,"TABLET, FILM COATED",2783940,H77VEI93A8,1,mg,,,
FD&C YELLOW NO. 6,ORAL,"TABLET, ORALLY DISINTEGRATING",2783940,H77VEI93A8,,,12,mg,
FD&C YELLOW NO. 6,RECTAL,SOLUTION,2783940,H77VEI93A8,0.5,%w/v,,,
FD&C YELLOW NO. 6,SUBLINGUAL,FILM,2783940,H77VEI93A8,0.03,mg,,,
FD&C YELLOW NO. 6,SUBLINGUAL,TABLET,2783940,H77VEI93A8,1,mg,,,
FD&C YELLOW NO. 6,TOPICAL,GEL,2783940,H77VEI93A8,,NA,,,
FD&C YELLOW NO. 6,TOPICAL,LOTION,2783940,H77VEI93A8,,NA,,,
FD&C YELLOW NO. 6,TOPICAL,SOAP,2783940,H77VEI93A8,0.2,%w/w,,,
FD&C YELLOW NO. 6,TOPICAL,SPONGE,2783940,H77VEI93A8,0.01,%w/w,,,
FD&C YELLOW NO. 6 ALUMINUM LAKE,BUCCAL,TABLET,15790075,GYP6Z2JR6Q,1,mg,,,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,CAPSULE,15790075,GYP6Z2JR6Q,,,12,mg,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,"CAPSULE, COATED PELLETS",15790075,GYP6Z2JR6Q,1.25,mg,,,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,"CAPSULE, EXTENDED RELEASE",15790075,GYP6Z2JR6Q,0.3,mg,,,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,"POWDER, FOR SUSPENSION",15790075,GYP6Z2JR6Q,,,12,mg,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,TABLET,15790075,GYP6Z2JR6Q,6.97,mg,,,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,"TABLET, CHEWABLE",15790075,GYP6Z2JR6Q,,,5,mg,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,"TABLET, COATED",15790075,GYP6Z2JR6Q,0.34,mg,,,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,"TABLET, DELAYED RELEASE",15790075,GYP6Z2JR6Q,,,8,mg,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,"TABLET, EXTENDED RELEASE",15790075,GYP6Z2JR6Q,,,11,mg,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,"TABLET, FILM COATED",15790075,GYP6Z2JR6Q,0.39,mg,,,
FD&C YELLOW NO. 6 ALUMINUM LAKE,ORAL,"TABLET, ORALLY DISINTEGRATING",15790075,GYP6Z2JR6Q,0.01,mg,,,
FD&C YELLOW NO. 6 ALUMINUM LAKE,SUBLINGUAL,TABLET,15790075,GYP6Z2JR6Q,,,5,mg,
FERRIC OXIDE BROWN,ORAL,CAPSULE,,NA,,,8,mg,
FERRIC OXIDE BROWN,ORAL,TABLET,,NA,1.13,mg,,,
FERRIC OXIDE RED,BUCCAL,TABLET,1309371,1K09F3G675,0.4,mg,,,
FERRIC OXIDE RED,ORAL,CAPSULE,1309371,1K09F3G675,,,4,mg,
FERRIC OXIDE RED,ORAL,"CAPSULE, COATED",1309371,1K09F3G675,0.12,mg,,,
FERRIC OXIDE RED,ORAL,"CAPSULE, COATED PELLETS",1309371,1K09F3G675,2,mg,,,
FERRIC OXIDE RED,ORAL,"CAPSULE, DELAYED RELEASE",1309371,1K09F3G675,,,14,mg,
FERRIC OXIDE RED,ORAL,"CAPSULE, EXTENDED RELEASE",1309371,1K09F3G675,,,5,mg,
FERRIC OXIDE RED,ORAL,"CAPSULE, LIQUID FILLED",1309371,1K09F3G675,,,1,mg,
FERRIC OXIDE RED,ORAL,DROPS,1309371,1K09F3G675,,NA,,,
FERRIC OXIDE RED,ORAL,"POWDER, FOR SUSPENSION",1309371,1K09F3G675,,,1,mg,
FERRIC OXIDE RED,ORAL,"SUSPENSION, EXTENDED RELEASE",1309371,1K09F3G675,2.7,mg,,,
FERRIC OXIDE RED,ORAL,TABLET,1309371,1K09F3G675,,,8,mg,
FERRIC OXIDE RED,ORAL,"TABLET, CHEWABLE",1309371,1K09F3G675,,,2,mg,
FERRIC OXIDE RED,ORAL,"TABLET, COATED",1309371,1K09F3G675,1,mg,,,
FERRIC OXIDE RED,ORAL,"TABLET, DELAYED RELEASE",1309371,1K09F3G675,,,14,mg,
FERRIC OXIDE RED,ORAL,"TABLET, EXTENDED RELEASE",1309371,1K09F3G675,,,31,mg,
FERRIC OXIDE RED,ORAL,"TABLET, FILM COATED",1309371,1K09F3G675,,,3,mg,
FERRIC OXIDE RED,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",1309371,1K09F3G675,3.6,mg,,,
FERRIC OXIDE RED,ORAL,"TABLET, ORALLY DISINTEGRATING",1309371,1K09F3G675,,,2,mg,
FERRIC OXIDE RED,ORAL,"TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE",1309371,1K09F3G675,0.15,mg,,,
FERRIC OXIDE RED,SUBLINGUAL,TABLET,1309371,1K09F3G675,1,mg,,,
FERRIC OXIDE RED,TOPICAL,CREAM,1309371,1K09F3G675,,NA,,,
FERRIC OXIDE RED,TOPICAL,LOTION,1309371,1K09F3G675,,NA,,,
FERRIC OXIDE YELLOW,BUCCAL,FILM,51274001,EX438O2MRT,0.27,mg,,,
FERRIC OXIDE YELLOW,BUCCAL,TABLET,51274001,EX438O2MRT,1,mg,,,
FERRIC OXIDE YELLOW,ORAL,CAPSULE,51274001,EX438O2MRT,,,14,mg,
FERRIC OXIDE YELLOW,ORAL,"CAPSULE, COATED",51274001,EX438O2MRT,0.01,mg,,,
FERRIC OXIDE YELLOW,ORAL,"CAPSULE, COATED, EXTENDED RELEASE",51274001,EX438O2MRT,,NA,,,
FERRIC OXIDE YELLOW,ORAL,"CAPSULE, DELAYED RELEASE",51274001,EX438O2MRT,,,3,mg,
FERRIC OXIDE YELLOW,ORAL,"CAPSULE, EXTENDED RELEASE",51274001,EX438O2MRT,,,7,mg,
FERRIC OXIDE YELLOW,ORAL,"CAPSULE, LIQUID FILLED",51274001,EX438O2MRT,,,1,mg,
FERRIC OXIDE YELLOW,ORAL,"GRANULE, FOR SUSPENSION",51274001,EX438O2MRT,,,11,mg,
FERRIC OXIDE YELLOW,ORAL,"POWDER, FOR SUSPENSION",51274001,EX438O2MRT,,,2,mg,
FERRIC OXIDE YELLOW,ORAL,SUSPENSION,51274001,EX438O2MRT,,,1,mg,
FERRIC OXIDE YELLOW,ORAL,TABLET,51274001,EX438O2MRT,,,24,mg,
FERRIC OXIDE YELLOW,ORAL,"TABLET, CHEWABLE",51274001,EX438O2MRT,,,14,mg,
FERRIC OXIDE YELLOW,ORAL,"TABLET, COATED",51274001,EX438O2MRT,,,1,mg,
FERRIC OXIDE YELLOW,ORAL,"TABLET, DELAYED RELEASE",51274001,EX438O2MRT,,,2,mg,
FERRIC OXIDE YELLOW,ORAL,"TABLET, EXTENDED RELEASE",51274001,EX438O2MRT,,,15,mg,
FERRIC OXIDE YELLOW,ORAL,"TABLET, FILM COATED",51274001,EX438O2MRT,3.02,mg,,,
FERRIC OXIDE YELLOW,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",51274001,EX438O2MRT,0.17,mg,,,
FERRIC OXIDE YELLOW,ORAL,"TABLET, ORALLY DISINTEGRATING",51274001,EX438O2MRT,,,2,mg,
FERRIC OXIDE YELLOW,ORAL,"TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE",51274001,EX438O2MRT,,,2,mg,
FERRIC OXIDE YELLOW,RESPIRATORY (INHALATION),POWDER,51274001,EX438O2MRT,0.04,mg,,,
FERRIC OXIDE YELLOW,SUBLINGUAL,TABLET,51274001,EX438O2MRT,1,mg,,,
FERROSOFERRIC OXIDE,ORAL,CAPSULE,1317619,XM0M87F357,,,11,mg,
FERROSOFERRIC OXIDE,ORAL,"CAPSULE, COATED",1317619,XM0M87F357,0.11,mg,,,
FERROSOFERRIC OXIDE,ORAL,"CAPSULE, DELAYED RELEASE",1317619,XM0M87F357,,,6,mg,
FERROSOFERRIC OXIDE,ORAL,"CAPSULE, EXTENDED RELEASE",1317619,XM0M87F357,1.49,mg,,,
FERROSOFERRIC OXIDE,ORAL,"POWDER, FOR SUSPENSION",1317619,XM0M87F357,,NA,,,
FERROSOFERRIC OXIDE,ORAL,TABLET,1317619,XM0M87F357,3.2,mg,,,
FERROSOFERRIC OXIDE,ORAL,"TABLET, COATED",1317619,XM0M87F357,,NA,,,
FERROSOFERRIC OXIDE,ORAL,"TABLET, DELAYED RELEASE",1317619,XM0M87F357,,,6,mg,
FERROSOFERRIC OXIDE,ORAL,"TABLET, EXTENDED RELEASE",1317619,XM0M87F357,,,8,mg,
FERROSOFERRIC OXIDE,ORAL,"TABLET, FILM COATED",1317619,XM0M87F357,0.2,mg,,,
FERROSOFERRIC OXIDE,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",1317619,XM0M87F357,1.23,mg,,,
FERROUS OXIDE,ORAL,TABLET,1345251,G7036X8B5H,,NA,,,
FERROUS OXIDE,ORAL,"TABLET, DELAYED RELEASE",1345251,G7036X8B5H,,NA,,,
FERROUS OXIDE,ORAL,"TABLET, EXTENDED RELEASE",1345251,G7036X8B5H,,NA,,,
"FILM COATING SOLUTION, AQUEOUS IM-163",ORAL,TABLET,,NA,20,mg,,,
"FILM COATING SOLUTION, AQUEOUS IM-163",ORAL,"TABLET, FILM COATED",,NA,6.3,mg,,,
FLAVOR 57000 IU,ORAL,"GRANULE, FOR SUSPENSION",,NA,,NA,,,
FLAVOR 57000 IU,ORAL,"POWDER, FOR SUSPENSION",,NA,,NA,,,
FLAVOR 57820/A,ORAL,POWDER,,NA,,NA,,,
FLAVOR APRICOT 24829,ORAL,SOLUTION,,NA,,NA,,,
FLAVOR BANANA 11090,ORAL,SOLUTION,,NA,10,mg/1ml,,,
FLAVOR BANANA 15223,ORAL,"POWDER, FOR SUSPENSION",,NA,,,250,mg,
FLAVOR BANANA 501013 AP0551,ORAL,"POWDER, FOR SUSPENSION",,NA,,,168,mg,
FLAVOR BANANA 59256C,ORAL,SOLUTION,,NA,1.03,mg/5ml,,,
FLAVOR BANANA 59256C,ORAL,SYRUP,,NA,1.03,mg/5ml,,,
FLAVOR BANANA 8763,ORAL,SOLUTION,,NA,,NA,,,
FLAVOR BANANA FN-6713,ORAL,SOLUTION,,NA,,,160,mg,
FLAVOR BANANA GIVAUDAN 85509,ORAL,SOLUTION,,NA,,,31,mg,
FLAVOR BANANA GIVAUDAN 85509,ORAL,SUSPENSION,,NA,,,10,mg,
FLAVOR BANANA SA84,ORAL,"POWDER, FOR SUSPENSION",,NA,10,mg/5ml,,,
FLAVOR BANANA SA84,ORAL,SUSPENSION,,NA,,,250,mg,
FLAVOR BANANA SA84,ORAL,TABLET,,NA,2.5,mg,,,
FLAVOR BANANA SA84,ORAL,"TABLET, CHEWABLE",,NA,,,30,mg,
FLAVOR BERRY CITRUS BLEND 8409,ORAL,CONCENTRATE,,NA,8,mg,,,
FLAVOR BERRY CITRUS BLEND 8409,ORAL,SOLUTION,,NA,0.05,ml/5ml,,,
FLAVOR BITTER MASK 9885,ORAL,SOLUTION,,NA,,,280,mg,
FLAVOR BITTERNESS MODIFIER 15555,ORAL,SOLUTION,,NA,,,80,mg,
FLAVOR BITTERNESS MODIFIER 36734,ORAL,SYRUP,,NA,1,mg/1ml,,,
FLAVOR BLACK CHERRY 501027 AP0551,ORAL,"POWDER, FOR SUSPENSION",,NA,,,101,mg,
FLAVOR BLACK CHERRY 501027 AP0551,ORAL,TABLET,,NA,,,1,mg,
FLAVOR BLACK CHERRY 501027 AP0551,ORAL,"TABLET, CHEWABLE",,NA,,,1,mg,
FLAVOR BLOOD ORANGE SA,ORAL,SYRUP,,NA,0.21,mg/5ml,,,
FLAVOR BUBBLE GUM 15864,ORAL,SYRUP,,NA,,,8,mg,
FLAVOR BUBBLE GUM MC-4938,ORAL,SUSPENSION,,NA,18,mg/5ml,,,
FLAVOR BUBBLE GUM MC-4938,ORAL,SYRUP,,NA,,,5,mg,
FLAVOR BUBBLEGUM,ORAL,SUSPENSION,,NA,,,30,mg,
FLAVOR BUTTERMINT 24020,ORAL,SOLUTION,,NA,,,100,mg,Y
FLAVOR BUTTERSCOTCH F-1785,ORAL,SYRUP,,NA,0.35,ml/5ml,,,
FLAVOR CHERI-BERI PFC-8573,ORAL,"POWDER, FOR SUSPENSION",,NA,25,mg/5ml,,,
FLAVOR CHERI-BERI PFC-8580,ORAL,SOLUTION,,NA,,NA,,,
FLAVOR CHERI-BERI PFC-8580,ORAL,SYRUP,,NA,0.05,ml/5ml,,,
FLAVOR CHERRY 11929,ORAL,"POWDER, FOR SUSPENSION",,NA,,,150,mg,
FLAVOR CHERRY 349,ORAL,SOLUTION,,NA,16.45,mg/5ml,,,
FLAVOR CHERRY 349,ORAL,SUSPENSION,,NA,,,40,mg,
FLAVOR CHERRY 461566,ORAL,LIQUID,,NA,,,90,mg,
FLAVOR CHERRY 461566,ORAL,SOLUTION,,NA,,,13,mg,
FLAVOR CHERRY 461566,ORAL,TABLET,,NA,,,1,mg,
FLAVOR CHERRY 461566,ORAL,"TABLET, CHEWABLE",,NA,1.25,mg,,,
FLAVOR CHERRY 461566,SUBLINGUAL,TABLET,,NA,,,1,mg,
FLAVOR CHERRY 57.679/A,ORAL,SUSPENSION,,NA,50,mg/1ml,,,
FLAVOR CHERRY 594 S.D.,ORAL,"POWDER, FOR SOLUTION",,NA,0.13,mg/1ml,,,
FLAVOR CHERRY 594 S.D.,ORAL,"POWDER, FOR SUSPENSION",,NA,7.5,mg/5ml,,,
FLAVOR CHERRY 594 S.D.,ORAL,SOLUTION,,NA,,,40,mg,
FLAVOR CHERRY 594 S.D.,ORAL,SUSPENSION,,NA,,,290,mg,
FLAVOR CHERRY 594 S.D.,ORAL,TABLET,,NA,0.4,mg,,,
FLAVOR CHERRY 594 S.D.,ORAL,"TABLET, CHEWABLE",,NA,,,26,mg,
FLAVOR CHERRY 825.476WC,ORAL,SOLUTION,,NA,,,281,mg,
FLAVOR CHERRY 842,ORAL,SOLUTION,,NA,,,832,mg,
FLAVOR CHERRY 842,ORAL,SYRUP,,NA,,,20,mg,
FLAVOR CHERRY 8513,ORAL,SOLUTION,,NA,,,36,mg,
FLAVOR CHERRY 8513,ORAL,SYRUP,,NA,,NA,,,
FLAVOR CHERRY BURGUNDY 11650,ORAL,CONCENTRATE,,NA,,NA,,,
FLAVOR CHERRY BURGUNDY 11650,ORAL,SOLUTION,,NA,,NA,,,
FLAVOR CHERRY BURGUNDY 11650,ORAL,SYRUP,,NA,,NA,,,
FLAVOR CHERRY F-232,ORAL,CONCENTRATE,,NA,,NA,,,
FLAVOR CHERRY F-232,ORAL,SOLUTION,,NA,15,mg/5ml,,,
FLAVOR CHERRY F-232,ORAL,SUSPENSION,,NA,,NA,,,
FLAVOR CHERRY FMC 8513,ORAL,SOLUTION,,NA,,NA,,,
FLAVOR CHERRY FMC 8513,ORAL,SYRUP,,NA,,NA,,,
FLAVOR CHERRY FT-9496,ORAL,SOLUTION,,NA,,,200,mg,
FLAVOR CHERRY PFC-9768,ORAL,CONCENTRATE,,NA,0.01,ml/1ml,,,
FLAVOR CHERRY PFC-9768,ORAL,SOLUTION,,NA,0.1,ml/5ml,,,
FLAVOR CHERRY PFC-9768,ORAL,SUSPENSION,,NA,,,480,mg,
FLAVOR CHERRY PFC-9768,ORAL,SYRUP,,NA,0.1,ml/5ml,,,
FLAVOR CHERRY R-6556,ORAL,"POWDER, FOR SUSPENSION",,NA,2.5,mg/5ml,,,
FLAVOR CHERRY VANILLA COMPOUND A77487,ORAL,SYRUP,,NA,,NA,,,
FLAVOR CHERRY WL-1093,ORAL,SOLUTION,,NA,1.6,mg/5ml,,,
FLAVOR CHERRY WL-1093,ORAL,SYRUP,,NA,4,mg/5ml,,,
FLAVOR CHOCOLATE MINT,ORAL,SUSPENSION,,NA,,,31,mg,
FLAVOR CINNAMON,BUCCAL,"GUM, CHEWING",,NA,,,276,mg,
FLAVOR CINNAMON,ORAL,LOZENGE,,NA,,,360,mg,
FLAVOR CINNAMON SD 516,BUCCAL,"GUM, CHEWING",,NA,,,230,mg,
FLAVOR CINNAMON VEKO 3726,BUCCAL,"GUM, CHEWING",,NA,,,648,mg,
FLAVOR CITRUS FN-7176,ORAL,SOLUTION,,NA,,,45,mg,
FLAVOR CITRUS FN-7176,ORAL,SUSPENSION,,NA,,,10,mg,
FLAVOR CITRUS/FRUIT FREEZE 1100609500,BUCCAL,"GUM, CHEWING",,NA,,,45,mg,
FLAVOR COCONUT 41,ORAL,CAPSULE,,NA,0.79,mg,,,
FLAVOR COCONUT 41,ORAL,SUSPENSION,,NA,,NA,,,
FLAVOR COLA FMC 15740,ORAL,ELIXIR,,NA,,NA,,,
FLAVOR COOL MINT,ORAL,TABLET,,NA,0.3,mg,,,
FLAVOR COOL MINT,ORAL,"TABLET, ORALLY DISINTEGRATING",,NA,0.06,mg,,,
FLAVOR COOL VANILLA BP18114,ORAL,TABLET,,NA,5,mg,,,
FLAVOR COOL VANILLA BP18114,ORAL,"TABLET, FILM COATED",,NA,,,4,mg,
FLAVOR CREAM EP-17688,ORAL,"POWDER, FOR SUSPENSION",,NA,4,mg/5ml,,,
FLAVOR CREAMY VANILLA 16345,ORAL,SOLUTION,,NA,,NA,,,
FLAVOR CREME DE MENTHE 14677,ORAL,SOLUTION,,NA,,NA,,,
FLAVOR CREME DE MENTHE 14677,ORAL,SUSPENSION,,NA,,NA,,,
FLAVOR CREME DE VANILLA 28156,ORAL,"POWDER, FOR SUSPENSION",,NA,0.1,mg/5ml,,,
FLAVOR CREME DE VANILLA 28156,ORAL,SUSPENSION,,NA,4,mg/5ml,,,
FLAVOR CREME DE VANILLA 28156,ORAL,SUSPENSION/ DROPS,,NA,,,12,mg,
FLAVOR F-5397A,ORAL,CONCENTRATE,,NA,0.08,ml/1ml,,,
FLAVOR FRUIT 01-10428,ORAL,CONCENTRATE,,NA,,NA,,,
FLAVOR FRUIT FN-6714,ORAL,SOLUTION,,NA,,,36,mg,
FLAVOR FRUIT GUM 912,ORAL,"POWDER, FOR SUSPENSION",,NA,20,mg/5ml,,,
FLAVOR FRUIT GUM 912,ORAL,SUSPENSION,,NA,20,mg/5ml,,,
FLAVOR FRUIT GUM 912,ORAL,"TABLET, CHEWABLE",,NA,,,60,mg,
FLAVOR FRUIT TAK 20008,ORAL,CONCENTRATE,,NA,,NA,,,
FLAVOR GRAPE 10273,ORAL,SOLUTION,,NA,,,165,mg,
FLAVOR GRAPE 501417C,ORAL,SOLUTION,,NA,,,10,mg,
FLAVOR GRAPE 59.145/APO5.51,ORAL,"POWDER, FOR SUSPENSION",,NA,5,mg/5ml,,,
FLAVOR GRAPE 61.13252,ORAL,SOLUTION,,NA,,,20,mg,
FLAVOR GRAPE 6175,ORAL,SOLUTION,,NA,,,40,mg,
FLAVOR GRAPE 6175,ORAL,SUSPENSION,,NA,,,40,mg,
FLAVOR GRAPE 6175,ORAL,SYRUP,,NA,59.7,mg/5ml,,,
FLAVOR GRAPE 856.085,ORAL,SOLUTION,,NA,,,75,mg,
FLAVOR GRAPE MANHEIMER 522463,ORAL,SOLUTION,,NA,4.38,mg/1ml,,,
FLAVOR GRAPE MANHEIMER 522463,ORAL,SUSPENSION,,NA,25,mg/5ml,,,
FLAVOR GRAPE NECTOR PFC-8599,ORAL,SYRUP,,NA,10,mg/5ml,,,
FLAVOR GRAPE PFC-9924,ORAL,SOLUTION,,NA,,,15,mg,
FLAVOR GRAPE PFC-9924,ORAL,SYRUP,,NA,9.97,mg/5ml,,,
FLAVOR GRAPE ST6835/09,ORAL,SOLUTION,,NA,3.11,mg/5ml,,,
FLAVOR GRAPE ST6835/09,ORAL,SYRUP,,NA,3.11,mg/5ml,,,
FLAVOR LEMON 812,ORAL,SUSPENSION,,NA,1.76,mg/1ml,,,
FLAVOR LEMON GIVAUDAN 74940-74,ORAL,SUSPENSION,,NA,,,43,mg,
FLAVOR LEMON LIME SD 935,ORAL,"TABLET, ORALLY DISINTEGRATING",,NA,,,38,mg,
FLAVOR LEMON LIME SD 935,SUBLINGUAL,FILM,,NA,,,9,mg,
FLAVOR LEMON LIME SD 935,SUBLINGUAL,TABLET,,NA,,,2,mg,
FLAVOR LEMON MINT 862.547,ORAL,SOLUTION,,NA,,,45,mg,
FLAVOR LEMON N&A 397,ORAL,"POWDER, FOR SUSPENSION",,NA,,,35,mg,
FLAVOR LEMON N&A 397,SUBLINGUAL,TABLET,,NA,,,6,mg,
FLAVOR LEMON SPRAY V3938-1N1,ORAL,"POWDER, FOR SOLUTION",,NA,340,mg,,,
FLAVOR LEMON SPRAY V3938-1N1,ORAL,"POWDER, FOR SUSPENSION",,NA,,,167,mg,
FLAVOR MAGNASWEET 110,ORAL,SOLUTION,,NA,,,450,mg,
FLAVOR MENTHOL MINT PFC-9926,ORAL,LOZENGE,,NA,,,24,mg,
FLAVOR MENTHOL MINT PFC-9926,ORAL,"TABLET, ORALLY DISINTEGRATING",,NA,7,mg,,,
FLAVOR MENTHOL VERALOCK,BUCCAL,"GUM, CHEWING",,NA,,,92,mg,
FLAVOR MINT 287,BUCCAL,"GUM, CHEWING",,NA,,,622,mg,
FLAVOR MINT 51296 TP0551,ORAL,"TABLET, ORALLY DISINTEGRATING",,NA,,,20,mg,
FLAVOR MINT SN027513,ORAL,TABLET,,NA,1.5,mg,,,
FLAVOR MINT SN027513,ORAL,"TABLET, ORALLY DISINTEGRATING",,NA,9.31,mg,,,
FLAVOR MIXED BERRY 13.13489,ORAL,SUSPENSION,,NA,,,43,mg,
FLAVOR MIXED BERRY 807.0246U,ORAL,"POWDER, FOR SOLUTION",,NA,19.33,mg/5ml,,,
FLAVOR MIXED BERRY 807.0246U,ORAL,SOLUTION,,NA,,,120,mg,
FLAVOR MIXED BERRY 807.0246U,ORAL,SUSPENSION,,NA,,,258,mg,
FLAVOR MIXED FRUIT PFC-9970,ORAL,"GRANULE, FOR SUSPENSION",,NA,17.5,mg/5ml,,,
FLAVOR MIXED FRUIT PFC-9970,ORAL,SYRUP,,NA,2.35,mg/1ml,,,
FLAVOR ORANGE 501071 AP0551,ORAL,"POWDER, FOR SUSPENSION",,NA,,,840,mg,
FLAVOR ORANGE 501071 AP0551,ORAL,SUSPENSION,,NA,,,192,mg,
FLAVOR ORANGE 501071 AP0551,ORAL,TABLET,,NA,,,2,mg,
FLAVOR ORANGE 501071 AP0551,ORAL,"TABLET, CHEWABLE",,NA,,,150,mg,
FLAVOR ORANGE 501071 AP0551,ORAL,"TABLET, ORALLY DISINTEGRATING",,NA,,,10,mg,
FLAVOR ORANGE 57.458/AP05.51,ORAL,"POWDER, FOR SUSPENSION",,NA,,,150,mg,
FLAVOR ORANGE 57.458/AP05.51,ORAL,SUSPENSION,,NA,50,mg/5ml,,,
FLAVOR ORANGE 739K (PB82),ORAL,"POWDER, FOR SUSPENSION",,NA,,,40,mg,
FLAVOR ORANGE 74016-71,ORAL,"GRANULE, FOR SOLUTION",,NA,70,mg,,,
FLAVOR ORANGE 9/79J839,ORAL,"POWDER, FOR SUSPENSION",,NA,,,60,mg,
FLAVOR ORANGE 9/79J839,ORAL,SUSPENSION,,NA,,,36,mg,
FLAVOR ORANGE GIVAUDAN 74388-74,ORAL,SUSPENSION,,NA,,,6,mg,
FLAVOR ORANGE NO. 7679,ORAL,SOLUTION,,NA,4,mg,,,
FLAVOR ORANGE NO. 7679,ORAL,SYRUP,,NA,,NA,,,
FLAVOR PEACH 13503584,ORAL,SOLUTION,,NA,,NA,,,
FLAVOR PEACH 13503584,ORAL,SYRUP,,NA,3.7,mg/5ml,,,
FLAVOR PEACH 57695,ORAL,"POWDER, FOR SUSPENSION",,NA,,,30,mg,
FLAVOR PEACH PINEAPPLE FMC 14258,ORAL,SOLUTION,,NA,,NA,,,
FLAVOR PEACH PINEAPPLE FMC 14258,ORAL,SUSPENSION,,NA,,NA,,,
FLAVOR PEPPERMINT 104,ORAL,SOLUTION,,NA,10.8,mg/5ml,,,
