 Name , Year ,SMILES,MW,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,TPSA,XLOGP3
 NORGESTREL ,1968,CC[C@@](CC1)([C@H](CC2)[C@@H](CC3)[C@@H]1[C@H](CC1)C3=CC1=O)[C@@]2(C#C)O,312.45,0.76,1,2,1,37.3,3.33
 CYTARABINE ,1969,NC(C=CN1[C@H]([C@@H]2O)O[C@@H](CO)[C@@H]2O)=NC1=O,243.22,0.56,2,6,4,130.83,-2.13
 DOXEPIN ,1969,CN(C)CC/C=C1\c(cccc2)c2OCc2c1cccc2,279.38,0.26,3,2,0,12.47,4.29
 HYDROXYAMPHETAMINE ,1969,CC(Cc(cc1)ccc1O)N,151.21,0.33,2,2,2,46.25,1.44
 MAFENIDE ,1969,NCc(cc1)ccc1S(N)(=O)=O,186.23,0.14,2,4,2,94.56,-0.69
 MEDRYSONE ,1969,C[C@H](C[C@H]([C@@H](CC1)[C@@](C)(C[C@H]2O)[C@@H]1C(C)=O)[C@@H]2[C@]1(C)CC2)C1=CC2=O,344.49,0.82,1,3,1,54.37,2.69
 PAROMOMYCIN ,1969,NC[C@@H]([C@H]([C@@H]([C@H]1N)O)O)O[C@@H]1O[C@H]([C@@H](CO)O[C@H]1O[C@H]([C@H]([C@@H](C[C@@H]2N)N)O)[C@@H]2O[C@H]([C@@H]([C@H]2O)N)O[C@H](CO)[C@H]2O)[C@H]1O,615.63,1,9,19,13,347.32,-8.73
 PIPERACETAZINE ,1969,CC(c(cc1)cc2c1Sc(cccc1)c1N2CCCN1CCC(CCO)CC1)=O,410.57,0.46,7,3,1,69.08,3.91
 PROCARBAZINE ,1969,CC(C)NC(c1ccc(CNNC)cc1)=O,221.3,0.42,6,3,3,53.16,0.06
 TESTOLACTONE ,1969,C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@](C)(C=C1)C3=CC1=O)OC2=O,300.39,0.68,0,3,0,43.37,3.03
 TRIAMCINOLONE HEXACETONIDE ,1969,CC(C)(C)CC(OCC([C@]12OC(C)(C)O[C@@H]2C[C@@H]([C@H](CCC([C@]2(C)C=C3)=CC3=O)[C@@]22F)[C@]1(C)C[C@@H]2O)=O)=O,532.64,0.77,6,8,1,99.13,4.76
 TROLEANDOMYCIN ,1969,C[C@H](C[C@@H]([C@H]1OC(C)=O)N(C)C)O[C@H]1O[C@@H]([C@@H](C)C[C@@]1(C([C@H](C)[C@H]([C@@H](C)[C@@H](C)OC([C@@H]2C)=O)OC(C)=O)=O)OC1)[C@@H](C)[C@@H]2O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1OC(C)=O,813.97,0.88,12,16,0,184.19,3.41
 CEPHALOGLYCIN ,1970,CC(OCC(CS[C@H]1[C@H]2NC([C@H](c3ccccc3)N)=O)=C(C([O-])=O)N1C2=O)=O,404.42,0.33,8,7,2,167.16,-2.98
 CLINDAMYCIN ,1970,CCC[C@@H](C1)CN(C)[C@H]1C(N[C@@H]([C@@H](C)Cl)[C@@H]([C@H]([C@H]([C@@H]1O)O)O)O[C@H]1SC)=O,352.45,0.41,5,3,1,46.53,3.28
 COLISTIMETHATE ,1970,CC[C@@H](C)CCCC(N[C@@H](CCNCS(O)(=O)=O)C(N[C@@H]([C@@H](C)O)C(N[C@@H](CCNCS(O)(=O)=O)C(N[C@@H](CCNC([C@H]([C@@H](C)O)NC([C@H](CCNCS(O)(=O)=O)NC([C@H](CCNCS(O)(=O)=O)NC([C@H](CC(C)C)NC([C@@H](CC(C)C)NC([C@H](CCNCS(O)(=O)=O)N1)=O)=O)=O)=O)=O)=O)C1=O)=O)=O)=O)=O,734.04,0.95,40,8,0,121,13.54
 DROPERIDOL ,1970,O=C(CCCN(CC1)CC=C1N(c(cccc1)c1N1)C1=O)c(cc1)ccc1F,379.43,0.27,6,4,1,58.1,3.5
 ESKETAMINE ,1970,CNC(CCCC1)(C1=O)c(cccc1)c1Cl,237.73,0.46,2,2,1,29.1,2.18
 FLAVOXATE ,1970,CC1=C(c2ccccc2)Oc(c(C(OCCN2CCCCC2)=O)ccc2)c2C1=O,391.46,0.33,6,5,0,59.75,4.29
 FLOXURIDINE ,1970,OC[C@@H]([C@@H](C1)O)O[C@@H]1N(C=C(C(N1)=O)F)C1=O,246.19,0.56,2,6,3,104.55,-1.16
 FLURAZEPAM ,1970,CCN(CC)CCN(c(ccc(Cl)c1)c1C(c(cccc1)c1F)=NC1)C1=O,387.88,0.33,6,4,0,35.91,3.02
 KETAMINE ,1970,CNC(CCCC1)(C1=O)c(cccc1)c1Cl,237.73,0.46,2,2,1,29.1,2.18
 LEVODOPA ,1970,NC(Cc(cc1)cc(O)c1O)C([O-])=O,387.88,0.38,8,5,0,55.84,1.7
 MESORIDAZINE ,1970,CN1[C@H](CCN2c(cc(cc3)[S@@](C)=O)c3Sc3c2cccc3)CCCC1,386.57,0.43,4,2,0,68.06,4.51
 MITOTANE ,1970,ClC(C(c(cc1)ccc1Cl)c(cccc1)c1Cl)Cl,320.04,0.14,3,0,0,0,6.24
 PENICILLAMINE ,1970,CC(C)(C(C([O-])=O)N)S,148.2,0.8,2,3,1,104.95,-1.78
 PLICAMYCIN ,1970,C[C@H]([C@@H](C([C@H]([C@H](Cc1cc2cc(O[C@@H](C[C@H]3O[C@@H](C[C@H]4O)O[C@H](C)[C@H]4O)O[C@H](C)[C@H]3O)c(C)c(O)c2c(O)c1C1=O)[C@@H]1O[C@@H](C[C@H]1O[C@@H](C[C@H]2O[C@@H](C[C@]3(C)O)O[C@H](C)[C@H]3O)O[C@H](C)[C@@H]2O)O[C@H](C)[C@H]1O)OC)=O)O)O,1085.15,0.77,15,24,11,358.2,0.62
 CAPREOMYCIN ,1971,NCCC[C@@H](CC(NC[C@@H](C(N/C(/C(N[C@@H]([C@H](CCN1)NC1=N)C(NC[C@@H](C(N[C@H]1CO)=O)N)=O)=O)=C/NC(N)=O)=O)NC1=O)=O)N,668.71,0.6,12,12,15,375.92,-6.64
 CEPHALEXIN ,1971,CC(CS[C@H]1[C@H]2NC([C@H](c3ccccc3)N)=O)=C(C([O-])=O)N1C2=O,346.38,0.31,5,5,2,140.86,0.65
 CLOXACILLIN ,1971,CC(C)([C@H]1C([O-])=O)S[C@@H]([C@H]2NC(c3c(C)onc3-c(cccc3)c3Cl)=O)N1C2=O,344.84,0.05,4,1,0,17.82,5.41
 FLUCYTOSINE ,1971,NC(NC(N=C1)=O)=C1F,129.09,0,0,3,2,71.77,-0.87
 FLUOCINONIDE ,1971,CC(C)(O[C@@H]1C[C@@H]([C@H](C[C@@H](C([C@]2(C)C=C3)=CC3=O)F)[C@@]22F)[C@]3(C)C[C@@H]2O)O[C@@]13C(COC(C)=O)=O,494.52,0.73,4,9,1,99.13,3.19
 HALOPROGIN ,1971,Clc(cc(c(Cl)c1)Cl)c1OCC#CI,361.39,0.11,2,1,0,9.23,4.63
 HETACILLIN ,1971,CC(C)([C@@H]1C([O-])=O)S[C@H]([C@@H]2N(C(C)(C)N[C@@H]3c4ccccc4)C3=O)N1C2=O,388.46,0.53,3,5,1,118.08,-1.9
 MEGESTROL ACETATE ,1971,C[C@@](CC[C@H]1[C@]2(C)CC3)([C@H](CC4)[C@H]1C=C(C)C2=CC3=O)[C@@]4(C(C)=O)OC(C)=O,384.51,0.71,3,4,0,60.44,3.14
 METHICILLIN ,1971,CC(C)([C@H]1C([O-])=O)S[C@@H]([C@H]2NC(c(c(OC)ccc3)c3OC)=O)N1C2=O,379.41,0.47,6,6,1,133.3,1.22
 METHYLTESTOSTERONE ,1971,C[C@@](CC1)([C@](C)(CC2)[C@H]1[C@@H](CC1)[C@@H]2[C@](C)(CC2)C1=CC2=O)O,302.45,0.85,0,2,1,37.3,3.36
 MINOCYCLINE ,1971,CN(C)[C@H]([C@@H](C[C@@H](Cc(c(C1=O)c(cc2)O)c2N(C)C)C1=C1O)[C@@]11O)C(O)=C(C(N)=O)C1=O,457.48,0.43,3,8,5,164.63,0.05
 NALOXONE ,1971,C=CCN(CC[C@@]12c(c(C3)ccc4O)c4O[C@@H]2C(CC2)=O)[C@@H]3[C@]12O,327.37,0.53,2,5,2,70,2.09
 NAPHAZOLINE ,1971,C(C1=NCCN1)c1cccc2ccccc12,210.27,0.21,2,1,1,24.39,2.07
 OXACILLIN ,1971,CC(C)([C@H]1C([O-])=O)S[C@@H]([C@H]2NC(c3c(C)onc3-c3ccccc3)=O)N1C2=O,400.43,0.37,5,6,1,140.87,2.38
 PYRAZINAMIDE ,1971,NC(c1nccnc1)=O,123.11,0,1,3,1,68.87,-0.6
 RIFAMPIN ,1971,C[C@H]([C@@H]([C@H](C)[C@H]([C@@H](C)[C@@H](/C=C/O[C@@](C)(C(c1c2c(O)c3/C=N/N4CCN(C)CC4)=O)Oc1c(C)c(O)c2c(O)c3NC(/C(/C)=C\C=C\[C@H]1C)=O)OC)OC(C)=O)O)[C@@H]1O,822.94,0.53,5,14,6,220.15,-2.56
 SPECTINOMYCIN ,1971,C[C@@H](CC1=O)O[C@@H]2O[C@@H]([C@@H]([C@H]([C@H]([C@H]3NC)O)NC)O)[C@H]3O[C@]12O,332.35,0.93,2,9,5,129.51,-3.08
 TRETINOIN ,1971,CC1(C)C(/C=C/C(/C)=C/C=C/C(/C)=C/C([O-])=O)=C(C)CCC1,299.43,0.45,5,2,0,40.13,4.5
 BUPIVACAINE ,1972,CCCCN(CCCC1)C1C(Nc1c(C)cccc1C)=O,288.43,0.61,6,2,1,32.34,3.41
 CARBACHOL ,1972,C[N+](C)(C)CCOC(N)=O,147.2,0.83,4,2,1,52.32,-4.87
 CARBENICILLIN INDANYL ,1972,CC(C)([C@H]1C([O-])=O)S[C@@H]([C@H]2NC([C@H](C(Oc3cc(CCC4)c4cc3)=O)c3ccccc3)=O)N1C2=O,493.55,0.38,8,6,1,141.14,3.77
 CLINDAMYCIN PHOSPHATE ,1972,CCC[C@@H](C1)CN(C)[C@H]1C(N[C@@H]([C@@H](C)Cl)[C@@H]([C@H]([C@H]([C@@H]1OP([O-])([O-])=O)O)O)O[C@H]1SC)=O,663.39,0.94,24,7,3,133.63,10.06
 CLORAZEPATE ,1972,[O-]C(C1N=C(c2ccccc2)c(cc(cc2)Cl)c2NC1=O)=O,321.82,0.31,4,3,0,57.78,3.75
 DESONIDE ,1972,CC(C)(O[C@@H]1C[C@@H]([C@H](CC2)[C@H]3[C@@](C)(C=C4)C2=CC4=O)[C@]2(C)C[C@@H]3O)O[C@@]12C(CO)=O,416.51,0.75,2,6,2,93.06,2.74
 DIMENHYDRINATE ,1972,CN(C1=NC(Cl)=NC1=C(N1C)O)C1=O,214.61,0.29,0,4,1,72.94,0.09
 ENFLURANE ,1972,FC(C(OC(F)F)(F)F)Cl,184.49,1,3,6,0,9.23,2.1
 FLUOROMETHOLONE ,1972,C[C@@H](C[C@@H]([C@H](CC1)[C@](C)(C[C@@H]2O)[C@]1(C(C)=O)O)[C@]2([C@@]1(C)C=C2)F)C1=CC2=O,376.46,0.73,1,5,2,74.6,2
 FLUPHENAZINE DECANOATE ,1972,CCCCCCCCCC(OCCN1CCN(CCCN2c(cc(C(F)(F)F)cc3)c3Sc3c2cccc3)CC1)=O,591.77,0.59,17,7,0,61.32,9.01
 LEVOBUPIVACAINE ,1972,CCCCN(CCCC1)C1C(Nc1c(C)cccc1C)=O,291.39,0.59,6,4,2,58.56,2.4
 OXYMETHOLONE ,1972,C[C@](CC1)([C@@](C)(CC2)[C@@H]1[C@H](CC1)[C@H]2[C@@](C)(C/C2=C/O)[C@@H]1CC2=O)O,332.48,0.86,0,3,2,57.53,4.37
 PANCURONIUM ,1972,C[C@](CC1)([C@@H](C[C@@H]2[N+]3(C)CCCCC3)[C@H](CC3)[C@H]1[C@@](C)(C[C@@H]1[N+]4(C)CCCCC4)[C@@H]3C[C@@H]1OC(C)=O)[C@H]2OC(C)=O,572.86,0.94,6,4,0,52.6,6.55
 TESTOSTERONE ,1972,C[C@@](CC1)([C@H](CC2)[C@@H](CC3)[C@@H]1[C@](C)(CC1)C3=CC1=O)[C@@H]2O,288.42,0.84,0,2,1,37.3,3.32
 ACETYLCHOLINE ,1973,CC(OCC[N+](C)(C)C)=O,146.21,0.86,4,2,0,26.3,-4.3
 BLEOMYCIN ,1973,C[C@H]([C@H]([C@H](C)NC([C@@H]([C@@H](c1cnc[nH]1)O[C@H]([C@@H]([C@@H]1O)O[C@@H]([C@@H]([C@@H]2OC(N)=O)O)O[C@@H](CO)[C@@H]2O)O[C@H](CO)[C@@H]1O)NC(c1nc([C@@H](CC(N)=O)NC[C@H](C(N)=O)N)nc(N)c1C)=O)=O)O)C(N[C@H]([C@H](C)O)C(NCCc1nc(-c2nc(C(NCCC[S+](C)C)=O)cs2)cs1)=O)=O,1415.6,###,###,###,###,###,###
 CEFAZOLIN ,1973,Cc1nnc(SCC(CS[C@H]2[C@H]3NC(Cn4nnnc4)=O)=C(C([O-])=O)N2C3=O)s1,453.5,0.43,8,9,1,237.76,-0.58
 DEXAMETHASONE ACETATE ,1973,C[C@H](C[C@@H]([C@H](CCC([C@]1(C)C=C2)=CC2=O)[C@@]11F)[C@]2(C)C[C@@H]1O)[C@@]2(C(COC(C)=O)=O)O,434.5,0.71,4,7,2,100.9,2.77
 DIAZOXIDE ,1973,CC(Nc(cc1)c2cc1Cl)=NS2(=O)=O,230.67,0.12,0,3,1,66.91,1.2
 DIETHYLSTILBESTROL ,1973,CC/C(/c(cc1)ccc1O)=C(/CC)\c(cc1)ccc1O,268.35,0.22,4,2,2,40.46,5.07
 KANAMYCIN ,1973,NC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@@H]1O[C@H]([C@H](C[C@H]([C@@H]1O[C@H]([C@@H]([C@H]2N)O)O[C@H](CO)[C@H]2O)N)N)[C@@H]1O,484.5,1,6,15,11,282.61,-6.95
 MAZINDOL ,1973,OC(c1c2cccc1)(c(cc1)ccc1Cl)N1C2=NCC1,284.74,0.19,1,2,1,35.83,2.2
 METAPROTERENOL ,1973,CC(C)NCC(c1cc(O)cc(O)c1)O,211.26,0.45,4,4,4,72.72,0.72
 METOLAZONE ,1973,CC(Nc(c1c2)cc(Cl)c2S(N)(=O)=O)N(c2c(C)cccc2)C1=O,365.83,0.19,2,4,2,100.88,2.78
 NORETHINDRONE ACETATE ,1973,C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@H](CC1)C3=CC1=O)[C@@]2(C#C)OC(C)=O,340.46,0.73,2,3,0,43.37,3.64
 PENTOBARBITAL ,1973,CCCC(C)C(CC)(C(NC(N1)=O)=O)C1=O,226.27,0.73,4,3,2,75.27,2.1
 PRAMOXINE ,1973,CCCCOc(cc1)ccc1OCCCN1CCOCC1,293.4,0.65,9,4,0,30.93,3.14
 PYRILAMINE ,1973,CN(C)CCN(Cc(cc1)ccc1OC)c1ncccc1,285.38,0.35,7,3,0,28.6,3.27
 TESTOSTERONE PROPIONATE ,1973,CCC(O[C@H](CC1)[C@](C)(CC2)[C@H]1[C@@H](CC1)[C@@H]2[C@](C)(CC2)C1=CC2=O)=O,344.49,0.82,3,3,0,43.37,4.36
 TRIMETHOPRIM ,1973,COc1cc(Cc2c(N)nc(N)nc2)cc(OC)c1OC,290.32,0.29,5,5,2,105.51,0.91
 AMOXICILLIN ,1974,CC(C)([C@H]1C([O-])=O)S[C@@H]([C@H]2NC([C@H](c(cc3)ccc3O)N)=O)N1C2=O,364.4,0.44,5,6,3,161.09,-1.99
 BENZQUINAMIDE ,1974,CCN(CC)C([C@H](CN(CC1)[C@@H](C2)c(cc3OC)c1cc3OC)[C@@H]2OC(C)=O)=O,404.5,0.64,8,6,0,68.31,2.06
 BETAMETHASONE BENZOATE ,1974,C[C@@H](C[C@@H]([C@H](CCC([C@]1(C)C=C2)=CC2=O)[C@@]11F)[C@]2(C)C[C@@H]1O)[C@@]2(C(CO)=O)OC(c1ccccc1)=O,496.57,0.55,5,7,2,100.9,3.89
 CARBINOXAMINE ,1974,CN(C)CCOC(c(cc1)ccc1Cl)c1ncccc1,290.79,0.31,6,3,0,25.36,2.9
 CEPHALOTHIN ,1974,CC(OCC(CS[C@H]1[C@H]2NC(Cc3cccs3)=O)=C(C([O-])=O)N1C2=O)=O,395.43,0.38,8,6,1,169.38,-0.41
 CEPHAPIRIN ,1974,CC(OCC(CS[C@H]1[C@H]2NC(CSc3ccncc3)=O)=C(C([O-])=O)N1C2=O)=O,422.46,0.35,9,7,1,179.33,-1.15
 CEPHRADINE ,1974,CC(CS[C@H]1[C@H]2NC([C@H](C3=CCC=CC3)N)=O)=C(C([O-])=O)N1C2=O,348.4,0.44,5,5,2,140.86,0.45
 CLONIDINE ,1974,Clc1cccc(Cl)c1N=C1NCCN1,315.71,0.07,2,4,1,87.28,2.41
 CYCLOPENTOLATE ,1974,CN(C)CCOC(C(C1(CCCC1)O)c1ccccc1)=O,291.39,0.59,7,4,1,49.77,2.74
 DANTROLENE ,1974,[O-][N+](c(cc1)ccc1-c1ccc(/C=N/N(CC(N2)=O)C2=O)o1)=O,314.25,0.07,4,6,1,120.73,1.7
 DOPAMINE ,1974,NCCc(cc1)cc(O)c1O,153.18,0.25,2,3,3,66.48,-0.98
 DOXORUBICIN ,1974,C[C@H]([C@@H]([C@@H](C1)N)O)O[C@@H]1O[C@H](C[C@](C1)(C(CO)=O)O)c(c(O)c2C(c(c3ccc4)c4OC)=O)c1c(O)c2C3=O,543.52,0.44,5,12,6,206.07,1.27
 HALCINONIDE ,1974,CC(C)(O[C@@H]1C[C@@H]([C@H](CCC([C@]2(C)CC3)=CC3=O)[C@@]22F)[C@]3(C)C[C@@H]2O)O[C@@]13C(CCl)=O,454.96,0.83,2,6,1,72.83,3.6
 HYDROXYPROGESTERONE CAPROATE ,1974,CCCCCC(O[C@@](CC1)([C@](C)(CC2)[C@H]1[C@@H](CC1)[C@@H]2[C@](C)(CC2)C1=CC2=O)C(C)=O)=O,428.6,0.81,7,4,0,60.44,5.65
 IBUPROFEN ,1974,CC(C)Cc1ccc(C(C)C([O-])=O)cc1,205.27,0.46,4,2,0,40.13,3.5
 ISOSORBIDE ,1974,O[C@H](CO[C@H]12)[C@@H]1OC[C@@H]2O,146.14,1,0,4,2,58.92,-1.35
 MEBENDAZOLE ,1974,COC(Nc1nc(ccc(C(c2ccccc2)=O)c2)c2[nH]1)=O,295.29,0.06,5,4,2,84.08,3.01
 MICONAZOLE ,1974,Clc1cc(Cl)c(COC(Cn2cncc2)c(ccc(Cl)c2)c2Cl)cc1,416.13,0.17,6,2,0,27.05,5.93
 MOLINDONE ,1974,CCc1c(C)[nH]c(CCC2CN3CCOCC3)c1C2=O,276.37,0.69,3,3,1,45.33,1.74
 PENTAGASTRIN ,1974,CC(C)(C)OC(NCCC(N[C@@H](Cc1c[nH]c2c1cccc2)C(N[C@@H](CCSC)C(N[C@@H](CC([O-])=O)C(N[C@@H](Cc1ccccc1)C(N)=O)=O)=O)=O)=O)=O,766.88,0.43,27,9,7,279.04,1.55
 PILOCARPINE ,1974,CC[C@@H]([C@@H](Cc1cncn1C)CO1)C1=O,208.26,0.64,3,3,0,44.12,0.12
 PROGESTERONE ,1974,C[C@@](CC1)([C@H](CC2)[C@@H](CC3)[C@@H]1[C@](C)(CC1)C3=CC1=O)[C@@H]2C(C)=O,314.46,0.81,1,2,0,34.14,3.87
 SULFAPHENAZOLE ,1974,Nc(cc1)ccc1S(Nc1ccnn1-c1ccccc1)(=O)=O,314.36,0,4,3,2,98.39,1.52
 SULFOXONE ,1974,O[S@](CNc(cc1)ccc1S(c(cc1)ccc1NC[S@@](O)=O)(=O)=O)=O,404.48,0.14,8,6,4,179.6,1.22
 TERBUTALINE ,1974,CC(C)(C)NCC(c1cc(O)cc(O)c1)O,225.28,0.5,4,4,4,72.72,0.9
 TRIMETHOBENZAMIDE ,1974,CN(C)CCOc1ccc(CNC(c(cc2OC)cc(OC)c2OC)=O)cc1,388.46,0.38,11,6,1,69.26,2.29
 ACETYLDIGITOXIN ,1975,C[C@H]([C@H]([C@H](C1)OC(C)=O)O)O[C@H]1O[C@H]([C@@H](C)O[C@H](C1)O[C@H]([C@@H](C)O[C@H](C2)O[C@@H](CC3)C[C@@H](CC4)[C@@]3(C)[C@@H](CC[C@]3(C)[C@H](CC5)C(CO6)=CC6=O)[C@@H]4[C@]35O)[C@H]2O)[C@H]1O,806.98,0.91,9,14,4,188.9,2.42
 BENOXINATE ,1975,CCCCOc(cc(cc1)C(OCCN(CC)CC)=O)c1N,308.42,0.59,11,4,1,64.79,3.09
 BETAMETHASONE DIPROPIONATE ,1975,CCC(OCC([C@@]([C@@H](C)C1)([C@@](C)(C[C@@H]2O)[C@@H]1[C@H](CCC([C@]1(C)C=C3)=CC3=O)[C@@]12F)OC(CC)=O)=O)=O,504.59,0.71,8,8,1,106.97,4.07
 CARBIDOPA ,1975,CC(Cc(cc1)cc(O)c1O)(C([O-])=O)NN,225.22,0.3,4,6,4,118.64,-2.17
 CLONAZEPAM ,1975,[O-][N+](c(cc1)cc(C(c(cccc2)c2Cl)=NC2)c1NC2=O)=O,314.85,0.37,4,1,0,6.48,5.19
 CLOTRIMAZOLE ,1975,Clc1c(C(c2ccccc2)(c2ccccc2)n2cncc2)cccc1,313.72,0.06,2,4,1,81.59,3.28
 DACARBAZINE ,1975,CN(C)N/N=C1\N=CN=C1C(N)=O,182.18,0.33,3,5,2,95.44,-0.25
 DINOPROST ,1975,CCCCC[C@H](/C=C/[C@@H]([C@H](C/C=C\CCCC([O-])=O)[C@@H](C1)O)[C@H]1O)O,353.47,0.75,12,5,3,100.82,2.72
 LOXAPINE ,1975,CN(CC1)CCN1C1=Nc(cccc2)c2Oc(cc2)c1cc2Cl,327.81,0.28,1,3,0,28.07,3.22
 OXYBUTYNIN ,1975,CCN(CC)CC#CCOC(C(C1CCCCC1)(c1ccccc1)O)=O,357.49,0.59,8,4,1,49.77,4.18
 PEMOLINE ,1975,NC(OC1c2ccccc2)=NC1=O,176.17,0.11,1,3,1,64.68,0.9
 PHENDIMETRAZINE ,1975,C[C@H]1N(C)CCO[C@@H]1c1ccccc1,191.27,0.5,1,2,0,12.47,1.85
 SULFACYTINE ,1975,CCN(C=CC(NS(c(cc1)ccc1N)(=O)=O)=N1)C1=O,294.33,0.17,4,4,2,115.46,0.1
 TOBRAMYCIN ,1975,NC[C@H]([C@H](C[C@H]1N)O)O[C@@H]1O[C@H]([C@H](C[C@H]([C@@H]1O[C@H]([C@@H]([C@H]2N)O)O[C@H](CO)[C@H]2O)N)N)[C@@H]1O,467.51,1,6,14,10,268.17,-6.23
 BECLOMETHASONE DIPROPIONATE ,1976,CCC(OCC([C@@]([C@@H](C)C1)([C@@](C)(C[C@@H]2O)[C@@H]1[C@H](CCC([C@]1(C)C=C3)=CC3=O)[C@@]12Cl)OC(CC)=O)=O)=O,521.04,0.71,8,7,1,106.97,3.05
 BENZYL BENZOATE ,1976,O=C(c1ccccc1)OCc1ccccc1,212.24,0.07,4,2,0,26.3,3.97
 BUTALBITAL ,1976,CC(C)CC(CC=C)(C(NC(N1)=O)=O)C1=O,224.26,0.55,4,3,2,75.27,1.74
 CHLORHEXIDINE ,1976,N/C(/Nc(cc1)ccc1Cl)=N\C(\N)=N\CCCCCC/N=C(\N)/N=C(\N)/Nc(cc1)ccc1Cl,299.75,0.12,1,3,1,48.19,2.77
 CHLOROXINE ,1976,Oc(c1ncccc1c(Cl)c1)c1Cl,380.86,0.13,6,3,0,27.69,6.41
 DANAZOL ,1976,C[C@@](CC1)([C@H](CC2)[C@@H](CC3)[C@@H]1[C@](C)(C1)C3=Cc3c1cno3)[C@]2(C#C)O,337.46,0.68,0,3,1,46.26,3.7
 DIPHEMANIL ,1976,C[N+](C)(CC1)CCC1=C(c1ccccc1)c1ccccc1,278.41,0.3,2,0,0,0,4.42
 ETIDOCAINE ,1976,CCCN(CC)C(CC)C(Nc1c(C)cccc1C)=O,276.42,0.59,8,2,1,32.34,3.69
 FENOPROFEN ,1976,CC(C([O-])=O)c1cc(Oc2ccccc2)ccc1,241.26,0.13,4,3,0,49.36,3.31
 LACTULOSE ,1976,OC[C@@H]([C@@H]([C@H]1O)O[C@H]([C@H]([C@@H]2O)O)O[C@@H](CO)[C@H]2O)O[C@]1(CO)O,342.3,1,5,11,8,189.53,-4.25
 LOMUSTINE ,1976,O=C(NC1CCCCC1)N(CCCl)N=O,233.7,0.89,6,3,1,61.77,2.83
 LOPERAMIDE ,1976,CN(C)C(C(CCN(CC1)CCC1(c(cc1)ccc1Cl)O)(c1ccccc1)c1ccccc1)=O,477.04,0.34,8,3,1,43.78,5.01
 NAPROXEN ,1976,CC(C([O-])=O)c(ccc1c2)cc1ccc2OC,229.25,0.21,3,3,0,49.36,3.34
 PRAZOSIN ,1976,COc(cc1c(N)nc(N(CC2)CCN2C(c2ccco2)=O)nc1c1)c1OC,383.4,0.32,5,6,1,106.95,1.91
 PROTIRELIN ,1976,NC([C@H](CCC1)N1C([C@H](Cc1c[nH]cn1)NC([C@H](CC1)NC1=O)=O)=O)=O,362.38,0.56,8,5,4,150.28,-2.28
 SINCALIDE ,1976,CSCC[C@@H](C(NCC(N[C@@H](Cc1c[nH]c2c1cccc2)C(N[C@@H](CCSC)C(N[C@@H](CC([O-])=O)C(N[C@@H](Cc1ccccc1)C(N)=O)=O)=O)=O)=O)=O)NC([C@H](Cc(cc1)ccc1OS(O)(=O)=O)NC([C@H](CC([O-])=O)N)=O)=O,1141.25,0.39,40,17,11,491.44,-2.63
 TICARCILLIN ,1976,CC(C)([C@H]1C([O-])=O)S[C@@H]([C@H]2NC([C@@H](C([O-])=O)c3cccs3)=O)N1C2=O,382.41,0.47,6,6,1,183.21,0.85
 TOLMETIN ,1976,Cc(cc1)ccc1C(c1ccc(CC([O-])=O)n1C)=O,256.28,0.2,4,3,0,62.13,2.79
 VIDARABINE ,1976,Nc1c2ncn([C@H]([C@@H]3O)O[C@@H](CO)[C@@H]3O)c2ncn1,267.24,0.5,2,7,4,139.54,-1.05
 AZATADINE ,1977,CN(CC1)CCC1=C1c2ncccc2CCc2c1cccc2,290.4,0.35,0,2,0,16.13,3.59
 BACLOFEN ,1977,NCC(CC([O-])=O)c(cc1)ccc1Cl,212.65,0.3,4,3,1,66.15,-0.96
 BETA CAROTENE ,1977,CC1(C)C(/C=C/C(/C)=C/C=C/C(/C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C)CCCC2(C)C)=C(C)CCC1,536.87,0.45,10,0,0,0,1.08
 CARMUSTINE ,1977,O=C(NCCCl)N(CCCl)N=O,214.05,0.8,7,3,1,61.77,1.53
 CIMETIDINE ,1977,Cc1c(CSCCN/C(/NC#N)=N/C)nc[nH]1,369.46,0.6,7,5,1,81.93,3.1
 CLEMASTINE ,1977,C[C@](c1ccccc1)(c(cc1)ccc1Cl)OCC[C@H]1N(C)CCC1,198.15,0.5,2,5,1,89.9,-1.45
 CLOCORTOLONE PIVALATE ,1977,C[C@H](C[C@@H]([C@H](C[C@@H](C([C@]1(C)C=C2)=CC2=O)F)[C@@]11Cl)[C@]2(C)C[C@@H]1O)[C@@H]2C(COC(C(C)(C)C)=O)=O,466.97,0.72,5,6,1,80.67,3.83
 CYCLOBENZAPRINE ,1977,CN(C)CCC=C1c(cccc2)c2C=Cc2c1cccc2,275.39,0.2,3,1,0,3.24,5.24
 DESOXIMETASONE ,1977,C[C@H](C[C@@H]([C@H](CCC([C@]1(C)C=C2)=CC2=O)[C@@]11F)[C@]2(C)C[C@@H]1O)[C@@H]2C(CO)=O,376.46,0.73,2,5,2,74.6,2.35
