id	compound_id	pk_adm_other_routes	pk_age_group	pk_analyte_cid	pk_analyte_mw	pk_analyte_pt	pk_analyte_query	pk_analyte_smiles	pk_analyte_tissue	pk_analyte_unii	pk_application_cid	pk_application_mw	pk_application_pt	pk_application_query	pk_application_smiles	pk_application_unii	pk_auc_hours	pk_auc_other_units	pk_auc_type	pk_auc_units	pk_auc_value	pk_cmax_other_units	pk_cmax_units	pk_cmax_value	pk_dose_other_types	pk_dose_other_units	pk_dose_type	pk_dose_units	pk_dose_value	pk_exp_other_types	pk_experiment_type	pk_food_status	pk_frequency_other_period	pk_frequency_period	pk_frequency_times	pk_funbound_comment	pk_funbound_value	pk_health_status	pk_routes	pk_sex	pk_source_type	pk_source_uri	pk_species	pk_thalf_other_units	pk_thalf_units	pk_thalf_value	pk_application_comment	pk_population_comment	pk_application_combo_comment	pk_population_size	pk_annotated_form	pk_analyte_other_tissue	pkappcombo
3560	1783		ADULT	10501053	398.492	ESUBERAPROST	Esuberaprost	CC#CC[C@H](C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	1JSN1I7582							12		t	pg × h/mL	190		pg/mL	46.7			UNKNOWN	μg	120		MULTIPLE	FED		day	2			HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K100_1.pdf#page=12	Homo sapiens				Day 1	Sustained-release tablets		12			false
3561	1783		ADULT	10501053	398.492	ESUBERAPROST	Esuberaprost	CC#CC[C@H](C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	1JSN1I7582							12		t	pg × h/mL	221		pg/mL	45.3			UNKNOWN	μg	120		STEADY-STATE	FED		day	2			HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K100_1.pdf#page=12	Homo sapiens				Day 7	Sustained-release tablets		12			false
3562	1783		ADULT	6917951	398.492	BERAPROST	Beraprost	CC#CCC(C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	35E3NJJ4O6							6		t	pg × h/mL	462		pg/mL	228.4			UNKNOWN	μg	40		MULTIPLE	FED		day	3			HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K100_1.pdf#page=12	Homo sapiens				Day 1	Immediate-release tablets		12			false
3563	1783		ADULT	6917951	398.492	BERAPROST	Beraprost	CC#CCC(C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	35E3NJJ4O6							6		t	pg × h/mL	550		pg/mL	242.2			UNKNOWN	μg	40		STEADY-STATE	FED		day	3			HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K100_1.pdf#page=12	Homo sapiens				Day 7	Immediate-release tablets		12			false
3564	1783		ADULT	10501053	398.492	ESUBERAPROST	Esuberaprost	CC#CC[C@H](C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	1JSN1I7582							6		t	pg × h/mL	105		pg/mL	67.6			UNKNOWN	μg	40		MULTIPLE	FED		day	3			HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K100_1.pdf#page=12	Homo sapiens				Day 1	Immediate-release tablets		12			false
3565	1783		ADULT	10501053	398.492	ESUBERAPROST	Esuberaprost	CC#CC[C@H](C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	1JSN1I7582							6		t	pg × h/mL	115		pg/mL	66.7			UNKNOWN	μg	40		STEADY-STATE	FED		day	3			HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K100_1.pdf#page=12	Homo sapiens				Day 7	Immediate-release tablets		12			false
3566	1783		ADULT	10501053	398.492	ESUBERAPROST	Esuberaprost	CC#CC[C@H](C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	1JSN1I7582							48		t	pg × h/mL	360		pg/mL	77			UNKNOWN	μg	180		SINGLE	FED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K101_1.pdf#page=4	Homo sapiens							6			false
3567	1783		ADULT	10501053	398.492	ESUBERAPROST	Esuberaprost	CC#CC[C@H](C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	1JSN1I7582							48		t	pg × h/mL	355		pg/mL	42.3			UNKNOWN	μg	180		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K101_1.pdf#page=4	Homo sapiens							6			false
3568	1783		ADULT	6917951	398.492	BERAPROST	Beraprost	CC#CCC(C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	35E3NJJ4O6							48		t	pg × h/mL	1076		pg/mL	178.5			UNKNOWN	μg	120		SINGLE	FED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K101_1.pdf#page=4	Homo sapiens							6			false
3569	1783		ADULT	6917951	398.492	BERAPROST	Beraprost	CC#CCC(C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	35E3NJJ4O6							48		t	pg × h/mL	1073		pg/mL	113.2			UNKNOWN	μg	120		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K101_1.pdf#page=4	Homo sapiens							6			false
3570	1783		ADULT	10501053	398.492	ESUBERAPROST	Esuberaprost	CC#CC[C@H](C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	1JSN1I7582							48		t	pg × h/mL	233		pg/mL	56			UNKNOWN	μg	120		SINGLE	FED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K101_1.pdf#page=4	Homo sapiens							6			false
3571	1783		ADULT	10501053	398.492	ESUBERAPROST	Esuberaprost	CC#CC[C@H](C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	1JSN1I7582							48		t	pg × h/mL	214		pg/mL	35.1			UNKNOWN	μg	120		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K101_1.pdf#page=4	Homo sapiens							6			false
3572	1783		ADULT	6917951	398.492	BERAPROST	Beraprost	CC#CCC(C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	35E3NJJ4O6							48		t	pg × h/mL	1989		pg/mL	264.5			UNKNOWN	μg	180		SINGLE	FED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K101_1.pdf#page=4	Homo sapiens							6			false
3573	1783		ADULT	6917951	398.492	BERAPROST	Beraprost	CC#CCC(C)[C@H](O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2OC3=C(C=CC=C3CCCC(O)=O)[C@H]12	PLASMA	35E3NJJ4O6							48		t	pg × h/mL	2242		pg/mL	177.4			UNKNOWN	μg	180		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2007/P200700047/48022000_21900AMX01753_K101_1.pdf#page=4	Homo sapiens							6			false
3574	1784		ADULT	85318	137.136	2-PYRIDINEACETIC ACID	2-pyridylacetic acid	OC(=O)CC1=NC=CC=C1	PLASMA	13Z7401TV3									∞	ng × h/mL	1196		ng/mL	339.4			UNKNOWN	mg	25		SINGLE	FASTED						HEALTHY	Oral	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/14765546/	Homo sapiens		h	5.17							false
3575	1785		ADULT	39042	361.819	BEZAFIBRATE	Bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	PLASMA	Y9449Q51XH									∞	μg × h/mL	256.5						UNKNOWN	mg	300		SINGLE	FASTED						UNHEALTHY	Oral	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/7318880/	Homo sapiens		h	20.1		CLcr=13 mL/min, patients with impaired renal function and hyperlipoproteinaemia		1			false
3576	1785		ADULT	39042	361.819	BEZAFIBRATE	Bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	PLASMA	Y9449Q51XH									∞	μg × h/mL	154.4		μg/mL	16.3			UNKNOWN	mg	300		SINGLE	FASTED				n=12 for Cmax		UNHEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/7318880/	Homo sapiens		h	7.8		CLcr: 20~40 (mean 27.4) mL/min, patients with impaired renal function and hyperlipoproteinaemia		8			false
3577	1785		ADULT	39042	361.819	BEZAFIBRATE	Bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	PLASMA	Y9449Q51XH									∞	μg × h/mL	69.4						UNKNOWN	mg	300		SINGLE	FASTED						UNHEALTHY	Oral	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/7318880/	Homo sapiens		h	4.6		CLcr: >40 (mean 60) mL/min, patients with impaired renal function and hyperlipoproteinaemia		3			false
3578	1785			39042	361.819	BEZAFIBRATE	Bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	SERUM	Y9449Q51XH																										Human serum albumin binding: 93.6% (10μg/mL, ultrafiltration), 94.6% (10μg/mL, equilibrium dialysis)	5.4				OTHER GOV'T	https://www.info.pmda.go.jp/go/interview/1/230034_2183005G1234_1_005_1F.pdf#page=20	Homo sapiens										false
3579	1785		ADULT	39042	361.819	BEZAFIBRATE	Bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	PLASMA	Y9449Q51XH							24		t	μg × h/mL	8.02		μg/mL	2.06			UNKNOWN	mg	100		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.info.pmda.go.jp/go/interview/1/340409_2183005G1099_1_003_1F.pdf#page=12	Homo sapiens		h	1.9				14			false
3580	1785		ADULT	39042	361.819	BEZAFIBRATE	Bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	PLASMA	Y9449Q51XH							24		t	μg × h/mL	7.41		μg/mL	1.8			UNKNOWN	mg	100		SINGLE	FED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.info.pmda.go.jp/go/interview/1/340409_2183005G1099_1_003_1F.pdf#page=13	Homo sapiens		h	2				14			false
3581	1785		ADULT	39042	361.819	BEZAFIBRATE	Bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	PLASMA	Y9449Q51XH							24		t	μg × h/mL	13.27		μg/mL	3.46			UNKNOWN	mg	200		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.info.pmda.go.jp/go/interview/1/340409_2183005G1099_1_003_1F.pdf#page=13	Homo sapiens		h	2.3				14			false
3582	1785		ADULT	39042	361.819	BEZAFIBRATE	Bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	PLASMA	Y9449Q51XH							24		t	μg × h/mL	15.37		μg/mL	3.75			UNKNOWN	mg	200		SINGLE	FED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.info.pmda.go.jp/go/interview/1/340409_2183005G1099_1_003_1F.pdf#page=14	Homo sapiens		h	2.3				14			false
3583	1785			39042	361.819	BEZAFIBRATE	Bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	SERUM	Y9449Q51XH																										The protein-binding of bezafibrate in serum is approximately 95%.	5				OTHER	https://www.medicines.org.uk/emc/product/6547#PHARMACOKINETIC_PROPS	Homo sapiens										false
3584	1786		ADULT	2378	310.3917	BIFONAZOLE	Bifonazole	C1=CN(C=N1)C(C2=CC=CC=C2)C3=CC=C(C=C3)C4=CC=CC=C4	SERUM	QYJ305Z91O													ng/mL	1			UNKNOWN	mg	15.2		SINGLE	UNKNOWN						HEALTHY	Transdermal	FEMALE / MALE	OTHER GOV'T	https://www.info.pmda.go.jp/go/interview/1/630004_2655708N1261_1_003_1F.pdf#page=22	Homo sapiens				Skin with no inflammation, cream			5			false
3585	1786		ADULT	2378	310.3917	BIFONAZOLE	Bifonazole	C1=CN(C=N1)C(C2=CC=CC=C2)C3=CC=C(C=C3)C4=CC=CC=C4	SERUM	QYJ305Z91O													ng/mL	3.4			UNKNOWN	mg	15.2		SINGLE	UNKNOWN						HEALTHY	Transdermal	FEMALE / MALE	OTHER GOV'T	https://www.info.pmda.go.jp/go/interview/1/630004_2655708N1261_1_003_1F.pdf#page=22	Homo sapiens				Skin with inflammation, cream			5			false
3586	1787			125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	SERUM	AQ316B4F8C																										Human serum protein binding (equilibrium dialysis): >=99.68% (10ng/mL), 99.83% (100ng/mL), 99.88% (2μg/mL)	0.12				OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=30 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_I103_2.pdf#page=2	Homo sapiens										false
3587	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C							12		t	ng × h/mL	0.39		ng/mL	0.1			UNKNOWN	mg	1		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=31 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K149_2.pdf#page=10	Homo sapiens				powder			6			false
3588	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C							12		t	ng × h/mL	1.23		ng/mL	0.26			UNKNOWN	mg	2		SINGLE	FASTED				AUCinf=1.60ng x h/mL		HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=31 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K149_2.pdf#page=10	Homo sapiens				powder			6			false
3589	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C							12		t	ng × h/mL	2.52		ng/mL	0.33			UNKNOWN	mg	4		SINGLE	FASTED				AUCinf=4.97ng x h/mL		HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=31 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K149_2.pdf#page=10	Homo sapiens		h	13	powder			6			false
3590	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									?	ng × h/mL	1.91		ng/mL	0.3			UNKNOWN	mg	6		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=32 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K149_2.pdf#page=38	Homo sapiens		h	12.4	tablets			8			false
3591	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									?	ng × h/mL	0.84		ng/mL	0.131			UNKNOWN	mg	4		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=32 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K149_2.pdf#page=38	Homo sapiens		h	8.26	tablets			8			false
3592	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									?	ng × h/mL	6.13		ng/mL	0.946			RECOMMENDED	mg	10		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=32 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K149_2.pdf#page=38	Homo sapiens		h	19	tablets			7			false
3593	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									?	ng × h/mL	2.6		ng/mL	0.417			RECOMMENDED	mg	8		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=32 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K149_2.pdf#page=38	Homo sapiens		h	11.1	tablets			8			false
3594	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									?	ng × h/mL	4.71		ng/mL	0.679			RECOMMENDED	mg	12		SINGLE	FASTED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=32 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K149_2.pdf#page=38	Homo sapiens		h	15.5	tablets			8			false
3595	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									∞	ng × h/mL	22.3		ng/mL	5.46			UNKNOWN	mg	40		SINGLE	FASTED				n=2 for t1/2 and AUC		HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=33 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=17	Homo sapiens		h	8.7	suspension	Caucasian		6			false
3596	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									∞	ng × h/mL	52.2		ng/mL	8.21			UNKNOWN	mg	50		SINGLE	FASTED				n=3 for t1/2 and AUC		HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=33 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=17	Homo sapiens		h	14.1	suspension	Caucasian		6			false
3597	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									∞	ng × h/mL	15.5		ng/mL	3.38			UNKNOWN	mg	25		SINGLE	FASTED						HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=33 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=17	Homo sapiens		h	7.7	suspension	Caucasian		6			false
3598	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C													ng/mL	0.195			UNKNOWN	mg	5		SINGLE	FASTED						HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=33 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=17	Homo sapiens				suspension	Caucasian		6			false
3599	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									∞	ng × h/mL	4.6		ng/mL	0.51			UNKNOWN	mg	10		SINGLE	FASTED				n=4 for t1/2 and AUC		HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=33 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=17	Homo sapiens		h	4.5	suspension	Caucasian		6			false
3600	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C													ng/mL	0.88			UNKNOWN	mg	2		SINGLE	FASTED						HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=33 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=17	Homo sapiens				suspension	Caucasian		6			false
3601	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C							12		t	ng × h/mL	3.06		ng/mL	0.538			UNKNOWN	mg	2		STEADY-STATE	FED		day	2			HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=33 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=5	Homo sapiens		h	63.3	tablets, 19th dose (single dose on Day 10)			10			false
3602	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C									∞	ng × h/mL	2.14		ng/mL	0.317			UNKNOWN	mg	2		SINGLE	FED						HEALTHY	Oral	MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=33 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=5	Homo sapiens		h	12.5	tablets			10			false
3603	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C							24		t	ng × h/mL	2.6219		ng/mL	0.4399			UNKNOWN	mg	10		MULTIPLE	FASTED		day	1	n=7 for t1/2		HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=34 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=27	Homo sapiens		h	4.8	suspension, Day 1	Caucasian		8			false
3604	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C							24		t	ng × h/mL	0.8984		ng/mL	0.1457			UNKNOWN	mg	5		MULTIPLE	FASTED		day	1	n=6 for t1/2 and AUC		HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=34 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=27	Homo sapiens		h	5.6	suspension, Day 1	Caucasian		8			false
3605	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C							24		t	ng × h/mL	13.6851		ng/mL	2.4153			UNKNOWN	mg	25		MULTIPLE	FASTED		day	1			HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=34 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=27	Homo sapiens		h	7	suspension, Day 1	Caucasian		8			false
3606	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C							24		t	ng × h/mL	1.4432		ng/mL	0.1293			UNKNOWN	mg	5		MULTIPLE	FASTED		day	1	n=5 for t1/2 and AUC		HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=34 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=27	Homo sapiens		h	12.6	suspension, Day 5	Caucasian		8			false
3607	1787		ADULT	125564	367.5028	BLONANSERIN	Blonanserin	CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(F)C=C4	PLASMA	AQ316B4F8C							24		t	ng × h/mL	2.766		ng/mL	0.338			UNKNOWN	mg	10		MULTIPLE	FASTED		day	1	n=7 for t1/2		HEALTHY	Oral	FEMALE / MALE	OTHER GOV'T	https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_A100_4.pdf#page=34 | https://www.pmda.go.jp/drugs/2008/P200800002/40009300_22000AMX00011_K150_2.pdf#page=27	Homo sapiens		h	8	suspension, Day 5	Caucasian		8			false
