id	compound_id	toxicity_adm_other_routes	toxicity_age_group	toxicity_dose_other_types	toxicity_dose_other_units	toxicity_dose_type	toxicity_dose_units	toxicity_dose_value	toxicity_exp_other_types	toxicity_experiment_type	toxicity_food_status	toxicity_frequency_other_period	toxicity_frequency_period	toxicity_frequency_times	toxicity_health_status	toxicity_routes	toxicity_sex	toxicity_source_type	toxicity_source_uri	toxicity_species	tox_application_smiles	toxicity_do_id	tox_application_pt_3	tox_application_cid	tox_application_unii	toxicity_age_group_median	toxicity_diff_dose_type	tox_application_dosing_comment_2	tox_application_pt_2	toxicity_dose_comment	toxicityappcombo	toxicity_age_group_to	toxicity_population_size	toxicity_do	tox_application_dosing_comment	tox_application_mw	tox_application_query_3	tox_application_query	toxicity_age_group_from	tox_application_pt	tox_application_dosing_comment_3	toxicity_duration	toxicity_duration_units	tox_application_query_2	toxicity_source_page
1518	1053					Overdose	mg	270		single					unknown	oral	M		https://pubmed.ncbi.nlm.nih.gov/2018593	Homo sapiens						3							1						3						
1519	1053					Overdose	mg	900		single					unknown	oral	M		https://pubmed.ncbi.nlm.nih.gov/31033494	Homo sapiens						27				4 bottles (150 mL each) of DXM			1						27						
1520	1053					Recommended	mg	120		single					healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/26294136	Homo sapiens						26.5							40						26.5						
1521	1053						mg	50		steady			day	4	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/8741125	Homo sapiens												52	16	chronic intractable partial onset seizures					19			8	week		
1522	1055		adult			Overdose	g	2		single					unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/008762s065lbl.pdf	Homo sapiens										lethal dose in adults is estimated to be 2 to 5 grams.															
1523	1055		adult				mg/kg	10		single					unhealthy	intramuscular			https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/010151s047s048lbl.pdf	Homo sapiens							starting			loading dose is 10 to 15 mg/kg at a rate not exceeding 50 mg/min															
1524	1055		adult				mg/kg	10		single					unhealthy	intravenous			https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/010151s047s048lbl.pdf	Homo sapiens							starting			loading dose is 10 to 15 mg/kg at a rate not exceeding 50 mg/min															
1525	1055					Highest studied dose	mg	600		single					unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2007/040759lbl.pdf | https://pubmed.ncbi.nlm.nih.gov/22454904	Homo sapiens						31				six 100 mg tablets of phenytoin			15	epilepsy					31						
1526	1055					Overdose	g	20		single					unhealthy	oral	F		https://pubmed.ncbi.nlm.nih.gov/26312007/	Homo sapiens						41				200 tablets of phenytoin 100 mg (20 g)			1		500 mg			glibenclamide	41						
1527	1055					Overdose	g	28.6		single					unhealthy	oral	F		https://pubmed.ncbi.nlm.nih.gov/30461233	Homo sapiens						42							1		2,000 mg daily			levetiracetam	42						
1528	1055					Overdose	g	5		single					unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/24307853/	Homo sapiens						49				50 phenytoin pills			1						49						
1529	1055					Overdose	mg/kg	60		multiple					unhealthy	intravenous	M		https://pubmed.ncbi.nlm.nih.gov/27756964/	Homo sapiens						7	total			injectable dose twice with a cumulative dose of 60 mg/kg over a short span of 12 h			1						7						
1530	1056		adult			Overdose	mg	1565		single					unknown	respiratory	unknown		https://pubmed.ncbi.nlm.nih.gov/7258388/	Homo sapiens							mean			inhalation powder			10												
1531	1056		adult			Recommended	mg	10		multiple			day	1	unhealthy	respiratory	unknown		https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/022549s000lbl.pdf	Homo sapiens										inhalation powder			259	agitation associated with schizophrenia or bipolar I disorder								4	week		
1532	1056		adult				mg	1.25		single					unhealthy	respiratory	M+F		https://clinicaltrials.gov/ct2/show/NCT00489476	Homo sapiens													43	Migraine											
1533	1056		adult				mg	10		single					unhealthy	respiratory	M+F		https://clinicaltrials.gov/ct2/show/NCT00628589	Homo sapiens										Inhaled Loxapine 10 mg, may repeat x 1 or 2 after 2 hours			113	Schizophrenia											
1534	1056		adult				mg	2.5		single					unhealthy	respiratory	M+F		https://clinicaltrials.gov/ct2/show/NCT00489476	Homo sapiens													43	Migraine											
1535	1056		adult				mg	5		single					unhealthy	respiratory	M+F		https://clinicaltrials.gov/ct2/show/NCT00489476	Homo sapiens													43	Migraine											
1536	1056		adult				mg	5		single					unhealthy	respiratory	M+F		https://clinicaltrials.gov/ct2/show/NCT00628589	Homo sapiens										Inhaled Loxapine 5 mg, may repeat x 1 or 2 after 2 hours			116	Schizophrenia											
1537	1057					Studied dose	mg	15		multiple			day	1	unhealthy	oral	F		https://pubmed.ncbi.nlm.nih.gov/22154396	Homo sapiens												41.9		Endometriosis					10.2			12	month		
1538	1057						uCi	20		single					healthy	intravenous	F		https://pubmed.ncbi.nlm.nih.gov/484634	Homo sapiens												35	6						25						
1539	1058		adult				ug	1		single					healthy	subcutaneous	M+F		https://clinicaltrials.gov/ct2/show/NCT02770521	Homo sapiens													8												
1540	1058		adult				ug	18		multiple			day	3	unhealthy	respiratory	M+F		https://clinicaltrials.gov/ct2/show/NCT02769624	Homo sapiens										A dose of 18mcg (3 breaths) will be administered 3 times: at baseline, 1.5 hrs. post baseline and then again 2 hrs later following maximal exercise testing.			14	Congenital Heart Disease								1	day		
1541	1058					Highest studied dose	ug	150		single					healthy	respiratory	M+F		https://pubmed.ncbi.nlm.nih.gov/33282202/	Homo sapiens						30.3							43						30.3						
1542	1058					Overdose	mg	100		single					unhealthy	subcutaneous	F		https://pubmed.ncbi.nlm.nih.gov/23662045/	Homo sapiens						58	min						1	CREST syndrome, Raynaud's syndrome, esophageal motility impairment, and severe pulmonary hypertension					58						
1543	1058					Overdose	mg	20		steady			day	3	unhealthy	subcutaneous	F		https://pubmed.ncbi.nlm.nih.gov/19285625/	Homo sapiens						10		40 mg					1	pulmonary hypertension	500 mg		coumadin	chlorothiazide	10		4 mg	1	day	lasix	
1544	1058					Overdose	mg	7.5		single					unhealthy	subcutaneous	F		https://pubmed.ncbi.nlm.nih.gov/29674328/	Homo sapiens						29							1	group 1 pulmonary arterial hypertension					29						
1545	1058					Recommended	ug	36		steady			day	4	unhealthy	respiratory	M+F		https://pubmed.ncbi.nlm.nih.gov/22917554/	Homo sapiens							max			18 to 36 mcg		19.2	29	pulmonary hypertension					7.1			6	week		
1546	1060		ADULT			MTD	mg	6		single					unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/921062/	Homo sapiens										After 110 min, the patients were given on both days 2 inhalations of salbutamol (0.2 mg; 30 min later, 0.4 mg)		64	7	asthma					28			2	day		861-9
1547	1060		ADULT			Studied dose	ug	180		multiple			day	4	unhealthy	respiratory	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/205636Orig1s000MedR.pdf	Homo sapiens						37							168	asthma								40	week		87
1548	1060		CHILD			Overdose	mg/kg	1.9		single					healthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/15232249/	Homo sapiens						3							1									1	day		464-5
1549	1061					Highest studied dose	mg/m2	25		multiple			day	3	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/8021737	Homo sapiens										Median: 2 cycles		17	8	Cancer					1.1			21	day		p.1455
1550	1061					MTD	mg/m2	175		multiple			day	1	unhealthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/7799021	Homo sapiens										Administered daily for 5 consecutive days. The treatment was repeated every 3 weeks. 23 cycles. 50 mg/m2 of etoposide equivalent, corresponds to 57 mg/m2 of etoposide phosphate. MTD is in etoposide equivalents.		72	7	Cancer					39			5	day		p.203
1551	1061					MTD	mg/m2	175		multiple			day	1	unhealthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/7799021	Homo sapiens										Administered daily for 5 consecutive days. The treatment was repeated every 3 weeks. 23 cycles. MTD is in etoposide equivalents.		72	7	Cancer					39			5	day		p.203
1552	1061					MTD	mg/m2	20		multiple			day	3	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/8021737	Homo sapiens										Median: 2 cycles		17	7	Cancer					1.1			21	day		p.1455
1553	1061					MTD	mg/m2	220		multiple			day	1	unhealthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/7799021	Homo sapiens										Administered daily for 5 consecutive days. The treatment was repeated every 3 weeks. 26 cycles. MTD is in etoposide equivalents.		72	8	Cancer					39			5	day		p.203
1554	1061					Recommended	mg/m2	100		multiple			day	1	unhealthy	intravenous			https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020457s013lbl.pdf	Homo sapiens							max			The usual dose ranges from 50 to 100 mg/m2/day on days 1 through 5 to 100 mg/m2/day on days 1, 3, and 5.				Testicular cancer											p.1
1555	1061					Recommended	mg/m2	60		multiple			day	1	unhealthy	oral	F		https://pubmed.ncbi.nlm.nih.gov/9469322	Homo sapiens							max			The starting dose was 50 mg/m2/d (30 mg/m2/d for prior radiotherapy) for 21 days, every 28 days. A dose escalation to a maximum dose of 60 mg/m2/d was prescribed.		83	97	Ovarian carcinoma					39			21	day		p.407
1556	1062		adult			Highest studied dose	mg	100		single					healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/6329583/	Homo sapiens										20 to 100 mg			136												
1557	1062		children			Overdose	mg	1500		single					unknown	oral	unknown		https://pubmed.ncbi.nlm.nih.gov/28425352/	Homo sapiens													517												
1558	1063					Highest studied dose	mg	120		multiple			day	1	unhealthy	intramuscular	M+F		https://pubmed.ncbi.nlm.nih.gov/9392980	Homo sapiens												70	12	Chronic asthma					37			3	day		p.323
1559	1063					Overdose	mg	200		single					unhealthy	intrabursal	F		https://pubmed.ncbi.nlm.nih.gov/10667036	Homo sapiens						46				accidental; Triamcinolone Acetonide was injected as a depot preparation in the swollen bursa and around the hip joint, but pertinently not in the joint.			1	Bursitis of the hip											p.13
1560	1064		adult			Recommended	mg	145		multiple			day	1	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021656s029lbl.pdf	Homo sapiens													439	dyslipidemia											
1561	1064					Highest studied dose	mg	200		multiple			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/7225166/	Homo sapiens										Fenofibrate was given in increasing doses (200 X 1, 150 X 2 and 200 X 2 mg/day). Each such treatment period lasted for 2 months.			46	hyperlipoproteinaemia								2	month		
1562	1064						mg	200		multiple			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/12028504/	Homo sapiens						49.5				micronized fenoﬁbrate 200 mg/day for 12 weeks			87	dyslipidemia								12	week		
1563	1065					Recommended	%	0.25		steady			day	3	unhealthy	ophthalmic			https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019216s025lbl.pdf	Homo sapiens										Instill one drop into the conjunctival sac two to four times daily.				orticosteroid-responsive inflammation of the palpebral and bulbar conjunctiva								10	day		
1564	1065						%	0.1		steady			day	4	healthy	ophthalmic	M+F		https://pubmed.ncbi.nlm.nih.gov/30267699	Homo sapiens						41.7							76						41.7			4	week		
1565	1066					Overdose	mg	180		single					unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/24580061	Homo sapiens						12							1	Developmental delay											p.210
1566	1066					Overdose	mg	252		single					unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/31308582	Homo sapiens						16							1	Conduct disorder											p.47
1567	1066					Recommended	mg	12		multiple			day	1	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021999s036lbl.pdf	Homo sapiens														Schizophrenia											p.1
1568	1066					Recommended	mg	234		multiple			month	2	unhealthy	intramuscular	M+F		https://pubmed.ncbi.nlm.nih.gov/25938474	Homo sapiens						37.7				Subjects assigned to the paliperidone palmitate group were initiated with 2 injections in the deltoid muscle that were given approximately 1 week apart: 234 mg on day 1 and 156 mg on day 8 (± 4 days). Flexible monthly maintenance doses of paliperidone palmitate within a range of 78–234 mg (50–150 mg equivalents; recommended target maintenance dose was 156 mg) were started on day 38.			226	Schizophrenia											p.565
1569	1066					Recommended	mg	234		multiple			month	2	unhealthy	intramuscular			https://www.janssenlabels.com/package-insert/product-monograph/prescribing-information/INVEGA+SUSTENNA-pi.pdf	Homo sapiens										The recommended initiation of INVEGA SUSTENNA® is with a dose of 234 mg on treatment day 1 and 156 mg one week later, both administered in the deltoid muscle.				Schizophrenia|Schizoaffective disorder											p.1
1570	1066					Recommended	mg	9		multiple			day	1	unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/24580061	Homo sapiens						38							1	Schizophrenia											p.210
1571	1066					Studied dose	mg	15		multiple			day	1	unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/24556260	Homo sapiens						30							1	Schizophrenia											
1572	1067					Overdose	mg	400		single			day	1	healthy	intravenous	F		https://pubmed.ncbi.nlm.nih.gov/1506835/	Homo sapiens						29							1						29			1	day		
1573	1067					Overdose	mg	60		single			day	1	unhealthy	intravenous	M		https://pubmed.ncbi.nlm.nih.gov/22144931/	Homo sapiens													1	bilateral inguinal hernia								1	day		
1574	1067					Studied dose	%	1		single			day	1	unhealthy	intravenous	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/019627_S035_DIPRIVAN_MEDR.pdf	Homo sapiens													109	pain								1	day		
1575	1067					Studied dose	%	2		single			day	1	unhealthy	intravenous	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/019627_S035_DIPRIVAN_MEDR.pdf	Homo sapiens													113	pain								1	day		
1576	1068					MTD	mg	103		single			day	1	healthy	intravenous	M		https://pubmed.ncbi.nlm.nih.gov/9175963/	Homo sapiens						28							12									1	day		
1577	1068					Studied dose	mg	40		single			day	1	healthy	intramuscular			https://pubmed.ncbi.nlm.nih.gov/24945125/	Homo sapiens										8 ml of 0.5% bupivacaine			1									1	day		
1578	1068					Studied dose	mg	750		single			day	1	healthy	subcutaneous	F		https://pubmed.ncbi.nlm.nih.gov/6797328/	Homo sapiens						23				150 ml of 0.5%			1						23			1	day		
1579	1069		adult			Recommended	mg	22.5		multiple			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/3028633/	Homo sapiens							mean			single daily dosage regimen ranging between 5 and 40 mg			276	hypertension								8	week		
1580	1069					Recommended	mg	10		single			day	1	healthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/204308Orig1s000MedR.pdf	Homo sapiens						32.4							51									1	day		nda/2013/204308Orig1s000MedR.pdf - p.40
1581	1070		adult			Highest studied dose	mg/m2	1000		steady			day	3	unhealthy	oral	unknown		https://pubmed.ncbi.nlm.nih.gov/348320/	Homo sapiens										500 - 1000 mg/m2			32	advanced carcinoma of the colon or rectum								7	day		
1582	1070		adult			Highest studied dose	mg/m2	5.3		multiple			week	3	unhealthy	oral	unknown		https://pubmed.ncbi.nlm.nih.gov/6849198/	Homo sapiens							mean						28	malignant brain tumors				radiotherapy				3	week		
1583	1070		preterm newborn			Overdose	mg	1350		steady			day	3	unhealthy	oral	F		https://pubmed.ncbi.nlm.nih.gov/9195118/	Homo sapiens													1	bloody stools and apnoea								1	day		
1584	1070					Overdose	g	12.5		single					unhealthy	oral	F		https://pubmed.ncbi.nlm.nih.gov/7717611/	Homo sapiens						58							1	chronic depressive illness					58						
1585	1070					Overdose	g	8.5		single					unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/15956228/	Homo sapiens						62							1	extensive past medical history, including end-stage renal disease					62						
1586	1072						g	2		single					healthy	intramuscular	M		https://pubmed.ncbi.nlm.nih.gov/5035788	Homo sapiens												45	7						29						
1587	1072						g	2		single					healthy	intravenous	M		https://pubmed.ncbi.nlm.nih.gov/5035788	Homo sapiens												45	7						29						
1588	1072						g	2		single					healthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/5035788	Homo sapiens												45	7						29						
1589	1072						g	4		multiple			day	1	unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/14880425	Homo sapiens						74				4 gm. per day in divided doses			1						74			24	day		
1590	1075					Higher than recommended	mg	120		multiple			day	1	unhealthy	intramuscular	M+F		https://pubmed.ncbi.nlm.nih.gov/2021388	Homo sapiens												57	12	Asthma					28			3	day		p.588
1591	1075					Highest studied dose	mg	360		single					unhealthy	intramuscular	M+F		https://pubmed.ncbi.nlm.nih.gov/7582277	Homo sapiens						37.5							6	Asthma											p.1465
1592	1075					Overdose	mg	200		single					unhealthy	intrabursal	F		https://pubmed.ncbi.nlm.nih.gov/10667036	Homo sapiens						46							1	Bursitis											p.13
1593	1076		adult			Studied dose	mg	0.2		multiple			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/5273245/	Homo sapiens							mean			93 patients (52%) received a daily maintenance dose of one tablet, 78 (44 %) received two tablets, and 8 received three tablets per day.			179	heart failure	0.05 mg; 2 tablets per day			digoxin				10	week		
1594	1076					Studied dose	mg	0.1		multiple			day	1	healthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/7816418/	Homo sapiens												29	10						23			14	day		
1595	1077		adult			Overdose	mg	3000		single			day	1	unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/23795312/	Homo sapiens													1	HIV infection								1	day		
1596	1077		adult				mg	1000		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT00852969	Homo sapiens													15	Chronic Kidney Disease								14	week		
1597	1077					Highest studied dose	g	2		multiple			day	1	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020381s054lbl.pdf	Homo sapiens										median duration		75	95	Hyperlipidemia | Dyslipidemia					21			16	week		
1598	1077					Overdose	g	11		single			day	1	unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/16496499/	Homo sapiens						56							1	schizophrenia					56			1	day		
1599	1077					Overdose	g	22.5		single			2 days	1	healthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/20138459/	Homo sapiens						23							1						23			2	day		
1600	1077					Studied dose	mg	1250		multiple			day	1	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020381s054lbl.pdf	Homo sapiens							mean			median duration		75	402	Hyperlipidemia | Dyslipidemia					21			16	week		
1601	1080		adult				ug	2000		multiple			day	2	unhealthy	oral			https://pubmed.ncbi.nlm.nih.gov/5382073	Homo sapiens													8	pernicious anaemia								14	day		
1602	1080					Highest studied dose	g	20		single					unhealthy	intravenous	M		https://pubmed.ncbi.nlm.nih.gov/17543660	Homo sapiens						26.9							1						26.9						
1603	1080					Overdose	g	5		single					unhealthy	intravenous	F		https://pubmed.ncbi.nlm.nih.gov/31000316	Homo sapiens						3				5 g (373 mg/kg)			1	cyanide toxicity					3						
1604	1080						g	5		single					unhealthy	intravenous	M		https://pubmed.ncbi.nlm.nih.gov/28994688	Homo sapiens						62							1	Vasoplegic Syndrome					62						
1605	1080						mg	20		multiple			day	1	unhealthy	intramuscular	M		https://pubmed.ncbi.nlm.nih.gov/19821145	Homo sapiens						13							1						13						
1606	1081		adult				mg/mL	50		multiple			week	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01354964	Homo sapiens										Participants received weekly oral vitamin D drops using a weight-based calculated dosage to reach a target level of ≥30 ng/ml at second visit and a goal level of ≥50 ng/ml at third visit.			11	Insulin Resistance								6	month		
1607	1081					Highest studied dose	ug	200		multiple			day	1	healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/18326608	Homo sapiens						33.4				monthly increasing doses of 2,000 I.U. (50μg, week 1 to 4), 4,000 I. U. (100μg, week 5 to 8) and 8,000 I.U. (200μg, week 9 to 12) of cholecalciferol per day			25									3	week		
1608	1081					Highest studied dose	unit	100000		single					healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/18326608	Homo sapiens										2 capsules each labeled to contain 50 000 IU (1.25 mg) cholecalciferol		84	30						27						
1609	1081					Overdose	unit	2000000		single					unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/25269374	Homo sapiens												95	2						90						
1610	1081						unit	100000		single					healthy	intramuscular	M+F		https://pubmed.ncbi.nlm.nih.gov/18326608	Homo sapiens						34.9							12												
1611	1083					Highest studied dose	ug	25		multiple			day	2	unhealthy	respiratory	M+F		https://pubmed.ncbi.nlm.nih.gov/20214460	Homo sapiens						63.8							147	Chronic obstructive pulmonary disease											p.21
1612	1083					Recommended	ug	30		multiple			day	2	unhealthy	respiratory			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/021912s013lbl.pdf	Homo sapiens							total			A total daily dose of greater than 30 mcg is not recommended. One 15 mcg/2 mL vial every 12 hours				Chronic obstructive pulmonary disease											p.1
1613	1083						ug	15		steady			day	2	unhealthy	respiratory			https://clinicaltrials.gov/ct2/show/NCT00909779	Homo sapiens													420	COPD								1	year		
1614	1085					Higher than recommended	mg	90		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	6	metastatic solid tumors					32			28	day		Table 3
1615	1085					Highest studied dose	mg	100		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	13	metastatic solid tumors					32			28	day		Table 4
1616	1085					Highest studied dose	mg	100		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	17	metastatic solid tumors					32			28	day		Table 4
1617	1085					Highest studied dose	mg	120		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	4	metastatic solid tumors					32			28	day		Table 4
1618	1085					Highest studied dose	mg	120		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	5	metastatic solid tumors					32			28	day		Table 4
1619	1085					Highest studied dose	mg	160		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	4	metastatic solid tumors					32			28	day		Table 3
1620	1085					Highest studied dose	mg	90		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	7	metastatic solid tumors					32			28	day		Table 4
1621	1085					MTD	mg	120		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	9	metastatic solid tumors					32			28	day		Table 3
1622	1085					MTD	mg	70		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	5	metastatic solid tumors					32			28	day		Table 4
1623	1085					Recommended	mg	50		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	3	metastatic solid tumors					32			28	day		Table 3
1624	1085					Recommended	mg	70		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	4	metastatic solid tumors					32			28	day		Table 3
1625	1085					Studied dose	mg	35		steady			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19789325/	Homo sapiens												81	7	metastatic solid tumors					32			28	day		Table 3
1626	1086		adult			Overdose	mg/m2	150		single					unhealthy	intravenous			https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022534s000lbl.pdf	Homo sapiens										1-hour infusions			1									1	hour		
1627	1086		adult			Overdose	mg/m2	200		single					unhealthy	intravenous			https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022534s000lbl.pdf	Homo sapiens										1-hour infusions			1									1	hour		
1628	1086		adult			Recommended	mg/m2	60		multiple			3 weeks	1	unhealthy	intravenous			https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022534s000lbl.pdf	Homo sapiens																									
1629	1086		adult				mg/m2	100		multiple			3 weeks	1	unhealthy	intravenous			https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022534s000lbl.pdf	Homo sapiens																									
1630	1086					MTD	mg/m2	43		multiple			week	1	unhealthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/9626217	Homo sapiens						58						81	10	Advanced Refractory Cancer					41			6	week		
1631	1086						mg/m2	52		multiple			week	1	unhealthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/9626217	Homo sapiens						58						81	3	Advanced Refractory Cancer					41			6	week		
1632	1086						mg/m2	75		multiple			3 weeks	1	unhealthy	intravenous	F		https://pubmed.ncbi.nlm.nih.gov/8761385	Homo sapiens						51						65	39	advanced breast cancer:					36			31.1	month		
1633	1087		adult			Recommended	%	0.01		multiple			day	1	unhealthy	topical	M+F		https://pdf.hres.ca/dpd_pm/00056991.PDF	Homo sapiens										Thin layer DUOBRII (Halobetasol Propionate and Tazarotene Lotion 0.01% w/w halobetasol propionate and 0.045% w/w tazarotene) applied topically, once daily to the affected area to cover approximately 3%-12% BSA for 8 weeks.			270	plaque psoriasis	0.045%; 1/day			tazarotene				8	week		
1634	1087					Recommended	g	2		multiple			day	2	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/208183Orig1s000MedR.pdf	Homo sapiens						51	median			Ultravate (halobetasol propionate) lotion, 0.05% twice daily. Average daily amount used 4 g (median) for 15 days (median).		86	277	plaque psoriasis					18			15	day		
1635	1088					Recommended	mg	0.451		multiple			day	1	healthy	oral	F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203593Orig1s000lbl.pdf	Homo sapiens								0.02 mg, q.d		24 white tablets, each containing 3 mg drospirenone (DRSP), 0.02 mg ethinyl estradiol (EE) as betadex clathrate and 0.451 mg levomefolate calcium • 4 light orange tablets, each containing 0.451 mg levomefolate calcium			1056	Pregnancy prevention	3 mg, q.d			drospirenone, p.o						ethinyl estradiol (betadex clathrate), p.o	p.19
1636	1088					Recommended	mg	0.451		multiple			day	1	healthy|unhealthy	oral	F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203593Orig1s000lbl.pdf	Homo sapiens								0.02 mg, q.d		24 white tablets, each containing 3 mg drospirenone (DRSP), 0.02 mg ethinyl estradiol (EE) as betadex clathrate and 0.451 mg levomefolate calcium • 4 light orange tablets, each containing 0.451 mg levomefolate calcium				Pregnancy prevention|premenstrual dysphoric disorder|acne	3 mg, q.d			drospirenone, p.o						ethinyl estradiol (betadex clathrate), p.o	p.2
1637	1088					Recommended	mg	0.451		multiple			day	1	unhealthy	oral	F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203593Orig1s000lbl.pdf	Homo sapiens								0.02 mg, q.d		24 white tablets, each containing 3 mg drospirenone (DRSP), 0.02 mg ethinyl estradiol (EE) as betadex clathrate and 0.451 mg levomefolate calcium • 4 light orange tablets, each containing 0.451 mg levomefolate calcium			285	Premenstrual dysphoric disorder	3 mg, q.d			drospirenone, p.o						ethinyl estradiol (betadex clathrate), p.o	p.19
1638	1088					Recommended	mg	0.451		multiple			day	1	unhealthy	oral	F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203593Orig1s000lbl.pdf	Homo sapiens								0.02 mg, q.d		24 white tablets, each containing 3 mg drospirenone (DRSP), 0.02 mg ethinyl estradiol (EE) as betadex clathrate and 0.451 mg levomefolate calcium • 4 light orange tablets, each containing 0.451 mg levomefolate calcium			536	Acne	3 mg, q.d			drospirenone, p.o						ethinyl estradiol (betadex clathrate), p.o	p.19
1639	1089		adult				mg	100		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT00790205	Homo sapiens							max			Sitagliptin, one 50 mg or one 100 mg tablet (dose dependant on renal function) orally, once daily.			7266	Type 2 Diabetes								5	year		
1640	1089		adult				mg	100		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01099618	Homo sapiens													16	Type 2 Diabetes								3	year		
