id	adverseevents_frequency	adverseevents_frequency_units	adverseevents_liability	adverseevents_severity	adverseevents_type	adverseevents_comment	adverseevents_dlt	tox_id
4468	1 pts		Cachexia	serious				374
4469	1 pts		Neutrophil count decreased	serious				374
4470	1 pts		Spinal compression fracture	serious				374
4471	1 pts		Prostatic haemorrhage	serious				374
4472	1 pts		Hypertension	serious				374
4473	1 pts		Cataract	serious				374
4474	19 pts		Back pain	below serious				374
4475	15 pts		Arthralgia	below serious				374
4476	17 pts		Constipation	below serious				374
4477	14 pts		Nausea	below serious				374
4478	25 pts		Fatigue	below serious				374
4479	13 pts		Nasopharyngitis	below serious				374
4480	24 pts		Decreased appetite	below serious				374
4481	17 pts		Dizziness	below serious				374
4482	16 pts		Hypertension	below serious				374
4483	10 pts		Insomnia	below serious				374
4484	10 pts		Musculoskeletal pain	below serious				374
4485	10 pts		Asthenia	below serious				374
4486	3 pts		Anaemia	serious				375
4487	1 pts		Lymph node pain	serious				375
4488	1 pts		Thrombocytopenia	serious				375
4489	1 pts		Conjunctivitis	serious				375
4490	2 pts		Abdominal distension	serious				375
4491	7 pts		Abdominal pain	serious				375
4492	1 pts		Abdominal pain upper	serious				375
4493	5 pts		Ascites	serious				375
4494	1 pts		Constipation	serious				375
4495	1 pts		Lower gastrointestinal haemorrhage	serious				375
4496	1 pts		Nausea	serious				375
4497	1 pts		Oesophageal varices haemorrhage	serious				375
4498	2 pts		Upper gastrointestinal haemorrhage	serious				375
4499	2 pts		Vomiting	serious				375
4500	2 pts		Asthenia	serious				375
4501	1 pts		Chest pain	serious				375
4502	2 pts		General physical health deterioration	serious				375
4503	2 pts		Oedema peripheral	serious				375
4504	1 pts		Pain	serious				375
4505	1 pts		Pyrexia	serious				375
4506	1 pts		Hepatic failure	serious				375
4507	1 pts		Clostridium difficile colitis	serious				375
4508	1 pts		Lower respiratory tract infection	serious				375
4509	2 pts		Sepsis	serious				375
4510	1 pts		Alanine aminotransferase increased	serious				375
4511	1 pts		Aspartate aminotransferase increased	serious				375
4512	2 pts		Blood bilirubin increased	serious				375
4513	1 pts		Blood creatinine increased	serious				375
4514	1 pts		Decreased appetite	serious				375
4515	1 pts		Fluid intake reduced	serious				375
4516	1 pts		Hyperkalaemia	serious				375
4517	1 pts		Metabolic acidosis	serious				375
4518	3 pts		Back pain	serious				375
4519	1 pts		Bone pain	serious				375
4520	2 pts		Muscular weakness	serious				375
4521	14 pts		Malignant neoplasm progression	serious				375
4522	1 pts		Metastases to central nervous system	serious				375
4523	2 pts		Headache	serious				375
4524	1 pts		Spinal cord compression	serious				375
4525	1 pts		Mental status changes	serious				375
4526	1 pts		Hydronephrosis	serious				375
4527	4 pts		Renal failure acute	serious				375
4528	1 pts		Cough	serious				375
4529	1 pts		Epistaxis	serious				375
4530	1 pts		Pulmonary embolism	serious				375
4531	12 pts		Anaemia	below serious				375
4532	6 pts		Abdominal distension	below serious				375
4533	14 pts		Abdominal pain	below serious				375
4534	12 pts		Ascites	below serious				375
4535	15 pts		Constipation	below serious				375
4536	9 pts		Dyspepsia	below serious				375
4537	28 pts		Nausea	below serious				375
4538	11 pts		Vomiting	below serious				375
4539	11 pts		Asthenia	below serious				375
4540	37 pts		Fatigue	below serious				375
4541	7 pts		Oedema peripheral	below serious				375
4542	16 pts		Aspartate aminotransferase increased	below serious				375
4543	15 pts		Weight decreased	below serious				375
4544	33 pts		Decreased appetite	below serious				375
4545	10 pts		Back pain	below serious				375
4546	7 pts		Headache	below serious				375
4547	13 pts		Insomnia	below serious				375
4548	12 pts		Gynaecomastia	below serious				375
4549	11 pts		Cough	below serious				375
4550	13 pts		Pruritus	below serious				375
4551	6 pts		Hypertension	below serious				375
4552	33		Convulsions	grade 3-4				376
4553	17		Fatigue	grade 3-4				379
4554	3		Fatigue		discontinuation	leads to discontinuation		379
4555	33		Rash		discontinuation	leads to discontinuation	TRUE	377
4556	33		Seizure		discontinuation	leads to discontinuation	TRUE	378
4557	4		Seizure		discontinuation	leads to discontinuation	TRUE	383
4558	5		Seizure		discontinuation	leads to discontinuation	TRUE	382
4559	0.9		Seizure		discontinuation	leads to discontinuation		380
4560	50.6		Asthenia	grade 1-4				380
4561	9		Asthenia	grade 3-4				380
4562	50.6		Fatigue	grade 1-4				380
4563	9		Fatigue	grade 3-4				380
4564	15.4		Peripheral edema	grade 1-4				380
4565	1		Peripheral edema	grade 3-4				380
4566	26.4		Back pain	grade 1-4				380
4567	5.3		Back pain	grade 3-4				380
4568	20.5		Arthralgia	grade 1-4				380
4569	2.5		Arthralgia	grade 3-4				380
4570	15		Musculoskeletal pain	grade 1-4				380
4571	1.3		Musculoskeletal pain	grade 3-4				380
4572	9.8		Muscular weakness	grade 1-4				380
4573	1.5		Muscular weakness	grade 3-4				380
4574	2.6		Musculoskeletal stiffness	grade 1-4				380
4575	0.3		Musculoskeletal stiffness	grade 3-4				380
4576	21.8		Diarrhea	grade 1-4				380
4577	1.1		Diarrhea	grade 3-4				380
4578	20.3		Hot flush	grade 1-4				380
4579	6.4		Hypertension	grade 1-4				380
4580	2.1		Hypertension	grade 3-4				380
4581	12.1		Headache	grade 1-4				380
4582	0.9		Headache	grade 3-4				380
4583	9.5		Dizziness	grade 1-4				380
4584	0.5		Dizziness	grade 3-4				380
4585	9.5		Vertigo	grade 1-4				380
4586	0.5		Vertigo	grade 3-4				380
4587	7.4		Cauda equina syndrome	grade 1-4				380
4588	6.6		Cauda equina syndrome	grade 3-4				380
4589	6.6		Paresthesia	grade 1-4				380
4590	4.3		Amnesia	grade 1-4				380
4591	4.3		Memory impairment	grade 1-4				380
4592	4.3		Cognitive disorder	grade 1-4				380
4593	4.3		Disturbance in attention	grade 1-4				380
4594	0.3		Amnesia	grade 3-4				380
4595	0.3		Memory impairment	grade 3-4				380
4596	0.3		Cognitive disorder	grade 3-4				380
4597	0.3		Disturbance in attention	grade 3-4				380
4598	4		Hypoesthesia	grade 1-4				380
4599	0.3		Hypoesthesia	grade 3-4				380
4600	10.9		Nasopharyngitis	grade 1-4				380
4601	10.9		Upper respiratory tract infection	grade 1-4				380
4602	10.9		Sinusitis	grade 1-4				380
4603	10.9		Rhinitis	grade 1-4				380
4604	10.9		Pharyngitis	grade 1-4				380
4605	10.9		Laryngitis	grade 1-4				380
4606	8.5		Pneumonia	grade 1-4				380
4607	8.5		Lower respiratory tract infection	grade 1-4				380
4608	8.5		Bronchitis	grade 1-4				380
4609	8.5		Lung infection	grade 1-4				380
4610	2.4		Pneumonia	grade 3-4				380
4611	2.4		Lower respiratory tract infection	grade 3-4				380
4612	2.4		Bronchitis	grade 3-4				380
4613	2.4		Lung infection	grade 3-4				380
4614	8.8		Insomnia	grade 1-4				380
4615	6.5		Anxiety	grade 1-4				380
4616	0.3		Anxiety	grade 3-4				380
4617	6.9		Hematuria	grade 1-4				380
4618	1.8		Hematuria	grade 3-4				380
4619	4.8		Pollakiuria	grade 1-4				380
4620	4.6		Fall	grade 1-4				380
4621	0.3		Fall	grade 3-4				380
4622	3.8		Pruritus	grade 1-4				380
4623	3.5		Dry skin	grade 1-4				380
4624	3.3		Epistaxis	grade 1-4				380
4625	0.1		Epistaxis	grade 3-4				380
4626	15		Neutropenia	grade 1-4				380
4627	3		Bilirubin increased	grade 1-4				380
4628	1		Infection	grade 5	discontinuation	leads to discontinuation		380
4629	1		Sepsis	grade 5	discontinuation	leads to discontinuation		380
4630	0.2		Thrombocytopenia		discontinuation	leads to discontinuation		381
4631	0.2		Colonic obstruction		discontinuation	leads to discontinuation		381
4632	0.2		Diarrhea		discontinuation	leads to discontinuation		381
4633	0.6		Fatigue		discontinuation	leads to discontinuation		381
4634	0.2		Rash		discontinuation	leads to discontinuation		381
4635	2 pts		Abdominal pain	serious				384
4636	2 pts		Acute myocardial infarction	serious				384
4637	2 pts		Carotid artery stenosis	serious				384
4638	2 pts		Cerebrovascular accident	serious				384
4639	2 pts		Constipation	serious				384
4640	2 pts		Humerus fracture	serious				384
4641	3 pts		Lobar pneumonia	serious				384
4642	5 pts		Myocardial infarction	serious				384
4643	2 pts		Disorder peripheral vascular	serious				384
4644	2 pts		Transient ischaemic attack	serious				384
4645	1 pts		Angina unstable	serious				384
4646	1 pts		Atrial fibrillation	serious				384
4647	1 pts		Atrial thrombosis	serious				384
4648	1 pts		Sick sinus syndrome	serious				384
4649	1 pts		Supraventricular tachycardia	serious				384
4650	1 pts		Retinal detachment	serious				384
4651	1 pts		Abdominal hernia	serious				384
4652	1 pts		Abdominal hernia obstructive	serious				384
4653	1 pts		Diverticulum	serious				384
4654	1 pts		Gastric haemorrhage	serious				384
4655	1 pts		Pancreatitis	serious				384
4656	1 pts		Chest pain	serious				384
4657	1 pts		Condition aggravated	serious				384
4658	1 pts		Cholecystitis	serious				384
4659	1 pts		Cholelithiasis	serious				384
4660	1 pts		Drug hypersensitivity	serious				384
4661	1 pts		Pneumonia haemophilus	serious				384
4662	1 pts		Haemophilus pneumonia	serious				384
4663	1 pts		Urosepsis	serious				384
4664	1 pts		Clavicle fracture	serious				384
4665	1 pts		Femoral neck fracture	serious				384
4666	1 pts		Intentional overdose	serious				384
4667	1 pts		Multiple drug overdose	serious				384
4668	1 pts		Open fracture	serious				384
4669	1 pts		Procedural complication	serious				384
4670	1 pts		Thoracic vertebral fracture	serious				384
4671	1 pts		Ulna fracture	serious				384
4672	1 pts		Diabetic ketoacidosis	serious				384
4673	1 pts		Arthritis	serious				384
4674	1 pts		Osteoarthritis spinal	serious				384
4675	1 pts		Bladder transitional cell carcinoma recurrent	serious				384
4676	1 pts		Breast cancer	serious				384
4677	1 pts		Bronchioloalveolar carcinoma	serious				384
4678	1 pts		Lung adenocarcinoma metastatic	serious				384
4679	1 pts		Lung cancer metastatic	serious				384
4680	1 pts		Squamous cell carcinoma	serious				384
4681	1 pts		T-cell lymphoma	serious				384
4682	1 pts		Cerebral infarction	serious				384
4683	1 pts		Convulsion	serious				384
4684	1 pts		Myelopathy	serious				384
4685	1 pts		Presyncope	serious				384
4686	1 pts		Anxiety	serious				384
4687	1 pts		Depression	serious				384
4688	1 pts		Scleroderma renal crisis	serious				384
4689	1 pts		Acute respiratory failure	serious				384
4690	1 pts		Pulmonary embolism	serious				384
4691	1 pts		Angioneurotic oedema	serious				384
4692	85 pts		Headache	below serious				384
4693	76 pts		Nasopharyngitis	below serious				384
4694	65 pts		Upper respiratory tract infection	below serious				384
4695	42 pts		Diarrhoea	below serious				384
4696	29 pts		Cough	below serious				384
4697	27 pts		Hypertension	below serious				384
4698	27 pts		Sinusitis	below serious				384
4699	1 pts		Acute myocardial infarction	serious				385
4700	2 pts		Angina unstable	serious				385
4701	1 pts		Atrioventricular block	serious				385
4702	1 pts		Cardiac failure	serious				385
4703	1 pts		Cardiac fibrillation	serious				385
4704	1 pts		Extrasystoles	serious				385
4705	1 pts		Mitral valve incompetence	serious				385
4706	1 pts		Angle closure glaucoma	serious				385
4707	1 pts		Cataract cortical	serious				385
4708	1 pts		Open angle glaucoma	serious				385
4709	1 pts		Retinal detachment	serious				385
4710	1 pts		Acute abdomen	serious				385
4711	1 pts		Diarrhoea	serious				385
4712	1 pts		Intestinal ischaemia	serious				385
4713	1 pts		Pancreatitis acute	serious				385
4714	1 pts		Chest pain	serious				385
4715	2 pts		Sudden cardiac death	serious				385
4716	8 pts		Pneumonia	serious				385
4717	1 pts		Sepsis	serious				385
4718	1 pts		Femur fracture	serious				385
4719	1 pts		Foot fracture	serious				385
4720	1 pts		Bladder cancer	serious				385
4721	1 pts		Bladder cancer recurrent	serious				385
4722	1 pts		Bronchial carcinoma	serious				385
4723	1 pts		Adenocarcinoma lung	serious				385
4724	1 pts		Lung neoplasm malignant	serious				385
4725	1 pts		Meningioma	serious				385
4726	1 pts		Metastatic bronchial carcinoma	serious				385
4727	1 pts		Metastatic malignant melanoma	serious				385
4728	1 pts		Pancreatic carcinoma	serious				385
4729	1 pts		Renal neoplasm	serious				385
4730	1 pts		Tongue neoplasm malignant stage unspecified	serious				385
4731	1 pts		Transitional cell carcinoma	serious				385
4732	1 pts		Dizziness	serious				385
4733	1 pts		Ischaemic stroke	serious				385
4734	1 pts		Sciatica	serious				385
4735	1 pts		Depression suicidal	serious				385
4736	1 pts		Renal failure acute	serious				385
4737	1 pts		Phimosis	serious				385
4738	1 pts		Acute respiratory failure	serious				385
4739	2 pts		Epistaxis	serious				385
4740	1 pts		Pneumothorax	serious				385
4741	2 pts		Pulmonary embolism	serious				385
4742	1 pts		Vocal cord polyp	serious				385
4743	1 pts		Cardiovascular insufficiency	serious				385
4744	1 pts		Deep vein thrombosis	serious				385
4745	1 pts		Femoral artery occlusion	serious				385
4746	1 pts		Hypertensive crisis	serious				385
4747	1 pts		Iliac artery embolism	serious				385
4748	1 pts		Iliac artery thrombosis	serious				385
4749	1 pts		Peripheral ischaemia	serious				385
4750	102 pts		Nasopharyngitis	below serious				385
4751	30 pts		Back pain	below serious				385
4752	29 pts		Cough	below serious				385
4753	1 pts		Ileitis	serious				386
4754	1 pts		Diverticulum	serious				386
4755	5 pts		Cough	below serious				386
4756	5 pts		Upper respiratory tract infection	below serious				386
4757	5 pts		Appendicitis	serious				388
4758	1 pts		Infectious colitis	serious				388
4759	1 pts		Arthritis bacterial	serious				388
4760	14 pts		Cellulitis	serious				388
4761	1 pts		Peritonitis bacterial	serious				388
4762	3 pts		Pneumonia bacterial	serious				388
4763	1 pts		Osteomyelitis	serious				388
4764	1 pts		Extradural abscess	serious				388
4765	2 pts		Clostridium difficile colitis	serious				388
4766	1 pts		Tongue abscess	serious				388
4767	1 pts		Tooth abscess	serious				388
4768	66 pts		Pneumonia	serious				388
4769	1 pts		Pulmonary sepsis	serious				388
4770	1 pts		Septic shock	serious				388
4771	1 pts		Urosepsis	serious				388
4772	1 pts		Pneumococcal pneumonia	serious				388
4773	1 pts		Streptococcal bacteraemia	serious				388
4774	1 pts		Tuberculosis	serious				388
4775	1 pts		Cystitis	serious				388
4776	2 pts		Pyelonephritis	serious				388
4777	2 pts		Gastroenteritis viral	serious				388
4778	1 pts		Pneumonia viral	serious				388
4779	1 pts		Anal cancer	serious				388
4780	1 pts		Anal canal cancer	serious				388
4781	1 pts		Bladder transitional cell carcinoma	serious				388
4782	1 pts		Carcinoid tumour of the stomach	serious				388
4783	1 pts		Adenocarcinoma of colon	serious				388
4784	1 pts		Dermatofibrosarcoma protuberans	serious				388
4785	2 pts		Hepatic cancer	serious				388
4786	2 pts		Hepatic cancer metastatic	serious				388
4787	1 pts		Hepatocellular carcinoma	serious				388
4788	1 pts		Hepatic adenoma	serious				388
4789	1 pts		Laryngeal cancer	serious				388
4790	1 pts		Benign meningioma	serious				388
4791	1 pts		Adenocarcinoma	serious				388
4792	1 pts		Metastatic squamous cell carcinoma	serious				388
4793	4 pts		Squamous cell carcinoma	serious				388
4794	1 pts		Squamous cell carcinoma of head and neck	serious				388
4795	1 pts		Non-Hodgkin's lymphoma	serious				388
4796	5 pts		Adenocarcinoma lung	serious				388
4797	1 pts		Lung adenocarcinoma stage IV	serious				388
4798	1 pts		Adenocarcinoma lung stage IV	serious				388
4799	1 pts		Lung cancer non-small cell stage IIIB	serious				388
4800	6 pts		Squamous cell carcinoma of lung	serious				388
4801	1 pts		Oesophageal carcinoma	serious				388
4802	1 pts		Pancreatic carcinoma	serious				388
4803	4 pts		Prostate cancer	serious				388
4804	1 pts		Clear cell renal cell carcinoma	serious				388
4805	2 pts		Renal cell carcinoma	serious				388
4806	1 pts		Lung neoplasm	serious				388
4807	1 pts		Lung cancer metastatic	serious				388
4808	6 pts		Lung neoplasm malignant	serious				388
4809	2 pts		Malignant melanoma	serious				388
4810	1 pts		Bowen's disease	serious				388
4811	2 pts		Transitional cell carcinoma	serious				388
4812	1 pts		Vaginal cancer stage 0	serious				388
4813	6 pts		Anaemia	serious				388
4814	1 pts		Haemorrhagic anaemia	serious				388
4815	1 pts		Immune thrombocytopenic purpura	serious				388
4816	3 pts		Drug hypersensitivity	serious				388
4817	1 pts		Diabetic ketoacidosis	serious				388
4818	1 pts		Gout	serious				388
4819	1 pts		Obesity	serious				388
4820	5 pts		Hyperglycaemia	serious				388
4821	1 pts		Lactic acidosis	serious				388
4822	4 pts		Hyponatraemia	serious				388
4823	4 pts		Dehydration	serious				388
4824	2 pts		Anxiety	serious				388
4825	1 pts		Substance use disorder	serious				388
4826	1 pts		Basal ganglia haemorrhage	serious				388
4827	1 pts		Carotid artery occlusion	serious				388
4828	9 pts		Cerebrovascular accident	serious				388
4829	1 pts		Lacunar infarction	serious				388
4830	1 pts		Carotid artery disease	serious				388
4831	7 pts		Syncope	serious				388
4832	1 pts		Paraplegia	serious				388
4833	1 pts		Neuropathy peripheral	serious				388
4834	1 pts		Radiculopathy	serious				388
4835	8 pts		Transient ischaemic attack	serious				388
4836	1 pts		Retinal aneurysm	serious				388
4837	1 pts		Macular fibrosis	serious				388
4838	1 pts		Vertigo positional	serious				388
4839	2 pts		Atrioventricular block second degree	serious				388
4840	1 pts		Hypertensive heart disease	serious				388
4841	1 pts		Cardiomyopathy	serious				388
4842	1 pts		Ischaemic cardiomyopathy	serious				388
4843	21 pts		Coronary artery disease	serious				388
4844	2 pts		Coronary artery occlusion	serious				388
4845	2 pts		Coronary artery stenosis	serious				388
4846	21 pts		Cardiac failure congestive	serious				388
4847	14 pts		Acute myocardial infarction	serious				388
4848	10 pts		Angina pectoris	serious				388
4849	7 pts		Angina unstable	serious				388
4850	1 pts		Pericardial effusion	serious				388
4851	3 pts		Bradycardia	serious				388
4852	1 pts		Tachycardia	serious				388
4853	2 pts		Right ventricular failure	serious				388
4854	24 pts		Atrial fibrillation	serious				388
4855	4 pts		Atrial flutter	serious				388
4856	1 pts		Sinus tachycardia	serious				388
4857	6 pts		Cardiac arrest	serious				388
4858	1 pts		Cardio-respiratory arrest	serious				388
4859	1 pts		Pulseless electrical activity	serious				388
4860	1 pts		Ventricular arrhythmia	serious				388
4861	1 pts		Ventricular extrasystoles	serious				388
4862	3 pts		Ventricular tachycardia	serious				388
4863	4 pts		Aortic aneurysm	serious				388
4864	1 pts		Aortic occlusion	serious				388
4865	1 pts		Shock	serious				388
4866	1 pts		Haematoma	serious				388
4867	2 pts		Peripheral venous disease	serious				388
4868	5 pts		Deep vein thrombosis	serious				388
4869	1 pts		Pelvic venous thrombosis	serious				388
4870	1 pts		Superficial thrombophlebitis	serious				388
4871	3 pts		Disorder peripheral vascular	serious				388
4872	2 pts		Claudication intermittent	serious				388
4873	3 pts		Peripheral arterial occlusive disease	serious				388
4874	3 pts		Hypertension	serious				388
4875	8 pts		Hypotension	serious				388
4876	1 pts		Arteriovenous fistula	serious				388
4877	1 pts		Vena cava thrombosis	serious				388
4878	1 pts		Pickwickian syndrome	serious				388
4879	2 pts		Respiratory arrest	serious				388
4880	4 pts		Hypoxia	serious				388
4881	1 pts		Pulmonary fibrosis	serious				388
4882	1 pts		Haemothorax	serious				388
4883	4 pts		Pleural effusion	serious				388
4884	1 pts		Pulmonary hypertension	serious				388
4885	2 pts		Pulmonary oedema	serious				388
4886	16 pts		Acute respiratory failure	serious				388
4887	1 pts		Chronic respiratory failure	serious				388
4888	1 pts		Gastrointestinal polyp haemorrhage	serious				388
4889	1 pts		Intestinal polyp	serious				388
4890	2 pts		Colitis ischaemic	serious				388
4891	4 pts		Small intestinal obstruction	serious				388
4892	1 pts		Duodenal ulcer haemorrhage	serious				388
4893	1 pts		Faecaloma	serious				388
4894	1 pts		Gastric haemorrhage	serious				388
4895	1 pts		Gastric ulcer haemorrhage	serious				388
4896	6 pts		Abdominal pain	serious				388
4897	1 pts		Enterovesical fistula	serious				388
4898	1 pts		Ileus	serious				388
4899	1 pts		Intestinal ischaemia	serious				388
4900	1 pts		Incarcerated inguinal hernia	serious				388
4901	2 pts		Intestinal perforation	serious				388
4902	1 pts		Large intestinal obstruction	serious				388
4903	1 pts		Large intestinal stenosis	serious				388
4904	1 pts		Haematemesis	serious				388
4905	1 pts		Melaena	serious				388
4906	1 pts		Enlargement parotid gland	serious				388
4907	1 pts		Cholangitis	serious				388
4908	1 pts		Cholangitis acute	serious				388
4909	2 pts		Cholecystitis	serious				388
4910	2 pts		Cholecystitis acute	serious				388
4911	1 pts		Jaundice cholestatic	serious				388
4912	1 pts		Stasis dermatitis	serious				388
4913	1 pts		Subcutaneous emphysema	serious				388
4914	1 pts		Bursitis	serious				388
4915	6 pts		Back pain	serious				388
4916	4 pts		Musculoskeletal chest pain	serious				388
4917	6 pts		Osteoarthritis	serious				388
4918	1 pts		Cervical spinal stenosis	serious				388
4919	4 pts		Lumbar spinal stenosis	serious				388
4920	1 pts		Spinal column stenosis	serious				388
4921	1 pts		Pollakiuria	serious				388
4922	1 pts		Bladder necrosis	serious				388
4923	1 pts		Renal mass	serious				388
4924	5 pts		Renal failure	serious				388
4925	2 pts		Renal impairment	serious				388
4926	2 pts		Nephrolithiasis	serious				388
4927	1 pts		Renal artery thrombosis	serious				388
4928	1 pts		Haematuria	serious				388
4929	1 pts		Breast mass	serious				388
4930	1 pts		Prostatomegaly	serious				388
4931	1 pts		Asthenia	serious				388
4932	1 pts		Fatigue	serious				388
4933	1 pts		Sudden death	serious				388
4934	2 pts		Systemic inflammatory response syndrome	serious				388
4935	5 pts		Chest pain	serious				388
4936	17 pts		Non-cardiac chest pain	serious				388
4937	1 pts		Hepatic enzyme increased	serious				388
4938	1 pts		Coronary vascular graft stenosis	serious				388
4939	3 pts		Haemorrhage subarachnoid	serious				388
4940	1 pts		Ankle fracture	serious				388
4941	5 pts		Femoral neck fracture	serious				388
4942	3 pts		Femur fracture	serious				388
4943	1 pts		Forearm fracture	serious				388
4944	5 pts		Hip fracture	serious				388
4945	1 pts		Humerus fracture	serious				388
4946	1 pts		Radial head dislocation	serious				388
4947	1 pts		Radius fracture	serious				388
4948	8 pts		Fall	serious				388
4949	1 pts		Fat embolism	serious				388
4950	6 pts		Road traffic accident	serious				388
4951	1 pts		Radiation dysphagia	serious				388
4952	1 pts		Radiation mucositis	serious				388
4953	1 pts		Fractured sacrum	serious				388
4954	1 pts		Spinal compression fracture	serious				388
4955	1 pts		Spinal fracture	serious				388
4956	4 pts		Fracture rib	serious				388
4957	1 pts		Device malfunction	serious				388
4958	65 pts		Sinusitis	below serious				388
4959	90 pts		Urinary tract infection	below serious				388
4960	78 pts		Viral upper respiratory tract infection	below serious				388
4961	40 pts		Anaemia	below serious				388
4962	44 pts		Dizziness	below serious				388
4963	64 pts		Hypertension	below serious				388
4964	67 pts		Cough	below serious				388
4965	60 pts		Constipation	below serious				388
4966	38 pts		Gastrooesophageal reflux disease	below serious				388
4967	77 pts		Nausea	below serious				388
4968	50 pts		Arthralgia	below serious				388
4969	40 pts		Muscle spasms	below serious				388
4970	69 pts		Back pain	below serious				388
4971	1 pts		Acute myocardial infarction	serious				387
4972	1 pts		Atrial fibrillation	serious				387
4973	1 pts		Cardiac failure acute	serious				387
4974	1 pts		Chest pain	serious				387
4975	1 pts		Bronchitis	serious				387
4976	1 pts		Chronic obstructive pulmonary disease	serious				387
4977	1 pts		Pleural effusion	serious				387
4978	8 pts		Dysgeusia	below serious				387
4979						No AEs are reported		389
4980						No AEs are reported		393
4981	12.5		Muscle spasm					390
4982	12.5		Dysgeusia					390
4983	12.5		Somnolence					390
4984	0.4		Fatigue		discontinuation	leads to discontinuation		392
4985	0.2		Non-cardiac chest pain		discontinuation	leads to discontinuation		392
4986	0.4		Dizziness		discontinuation	leads to discontinuation		392
4987	0.2		Dyspnea		discontinuation	leads to discontinuation		392
4988	2.9		COPD		discontinuation	leads to discontinuation		392
4989	0.2		Pruritus		discontinuation	leads to discontinuation		392
4990	0.3		Non-cardiac chest pain		discontinuation	leads to discontinuation		391
4991	0.2		Headache		discontinuation	leads to discontinuation		391
4992	0.2		Dyspnea		discontinuation	leads to discontinuation		391
4993	2		COPD		discontinuation	leads to discontinuation		391
4994	0.2		Pruritus		discontinuation	leads to discontinuation		391
4995	0.2		Syncope		discontinuation	leads to discontinuation		391
4996			Adverse event		discontinuation	leads to dose reduction. Specific AEs are not mentioned	TRUE	394
4997	1 pts		Sepsis	serious	discontinuation	leads to discontinuation		395
4998	1 pts		Colon cancer	serious	discontinuation	leads to discontinuation		395
4999	75		Lymphopenia	grade 3-5				395
5000	50		Thrombocytopenia	grade 3-5				395
5001	50		Anaemia	grade 3-5				395
5002	50		Neutropenia	grade 3-5				395
5003	75		Pyrexia	grade 1-2				395
5004	50		Blood creatinine increased	grade 1-2				395
5005	25		White blood cell count increased	grade 1-2				395
5006	25		White blood cell count decreased	grade 3-5				395
5007	50		Nausea	grade 1-2				395
5008	50		Stomatitis	grade 1-2				395
5009	25		Neutrophil count increased	grade 1-2				395
5010	25		Nasopharyngitis	grade 1-2				395
5011	50		Vomiting	grade 1-2				395
5012	50		C-reactive protein increased	grade 1-2				395
5013	50		Hypophosphataemia	grade 1-2				395
5014	50		Hypertension	grade 1-2				395
5015	25		Malaise	grade 1-2				395
5016	25		Aspartate aminotransferase increased	grade 1-2				395
5017	25		Blood lactate dehydrogenase increased	grade 1-2				395
5018	25		Haematocrit decreased	grade 1-2				395
5019	25		Red blood cell count decreased	grade 1-2				395
5020	25		Weight gain	grade 1-2				395
5021	2		Congestive heart failure		discontinuation	leads to discontinuation		396
5022	1		Cardiac arrest		discontinuation	leads to discontinuation		396
5023	1		Dyspnea		discontinuation	leads to discontinuation		396
5024	1		Blood creatinine increased		discontinuation	leads to discontinuation		396
5025	1		Acute renal failure		discontinuation	leads to discontinuation		396
5026	2		Pneumonia		discontinuation	leads to discontinuation		397
5027	1		Pyrexia		discontinuation	leads to discontinuation		397
5028	1		Thrombocytopenia		discontinuation	leads to discontinuation		397
5029	4 pts		Nasopharyngitis	below serious				405
5030	2 pts		Nasopharyngitis	below serious				399
5031	1 pts		Atrial fibrillation	serious				406
5032	1 pts		Angina pectoris	serious				406
5033	1 pts		Clostridial infection	serious				406
5034	1 pts		Gastroenteritis	serious				406
5035	2 pts		Prostate cancer	serious				406
5036	1 pts		Malignant melanoma	serious				406
5037	1 pts		Metastases to lymph nodes	serious				406
5038	1 pts		Cervical spinal stenosis	serious				406
5039	1 pts		Osteoarthritis	serious				406
5040	1 pts		Spinal column stenosis	serious				406
5041	1 pts		Renal failure acute	serious				406
5042	1 pts		Angioplasty	serious				406
5043	1 pts		Gastric banding	serious				406
5044	1 pts		Atrial fibrillation	serious				400
5045	1 pts		Cardiac failure	serious				400
5046	1 pts		Supraventricular tachycardia	serious				400
5047	1 pts		Appendicitis	serious				400
5048	1 pts		Sepsis	serious				400
5049	1 pts		Bladder cancer	serious				400
5050	1 pts		Colon cancer metastatic	serious				400
5051	1 pts		Lung carcinoma cell type unspecified recurrent	serious				400
5052	1 pts		Lumbar spinal stenosis	serious				400
5053	3 pts		Chest pain	serious				400
5054	1 pts		Calculus ureteric	serious				400
5055	1 pts		Haematuria	serious				400
5056	1 pts		Cerebral haemorrhage traumatic	serious				400
5057	1 pts		Post procedural haematoma	serious				400
5058	1 pts		Anemia	serious				400
5059	1 pts		Diverticulitis	serious				401
5060	1 pts		Pyelonephritis acute	serious				401
5061	1 pts		Hernia inguinal	serious				401
5062	1 pts		Non-cardiac chest pain	serious				401
5063	1 pts		Liver function test abnormal	serious				401
5064	1 pts		Breast cancer	serious				401
5065	1 pts		Orthostatic hypotension	serious				401
5066	49 pts		Hypertension	below serious				401
5067	15 pts		Nasopharyngitis	below serious				401
5068	1 pts		Bronchitis acute	serious				404
5069	1 pts		Radius fracture	serious				404
5070	1 pts		Bipolar disorder	serious				404
5071	47 pts		Hypertension	below serious				404
5072	25 pts		Nasopharyngitis	below serious				404
5073	5 pts		Nasopharyngitis	below serious				402
